"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Gravenhage"
"Nummer";;"HSB12"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"'s-Gravenhage"
;;"25";"Segers-Hoogendoorn, R.G.C.";"6";"6"
;;"26";"van Gijssel, A.K.";"0";"0"
;;"27";"Goudriaan, L.H.";"1";"1"
;;"28";"van Lagen, M.";"1";"1"
;;"29";"van der Spek, A.M.";"2";"2"
;;"30";"Out, F.M.S.";"5";"5"
;;"31";"Silos, J.J.";"3";"3"
;;"32";"Tuncer, Y.";"5";"5"
;;"33";"Broekhuis, J.C.";"0";"0"
;;"34";"van den Oever, J.A.";"6";"6"
;;"35";"van den Berg, J.A.M.J.";"1";"1"
;;"36";"Beers, A.M.A.G.";"2";"2"
;;"37";"van Luik, D.A.N.";"2";"2"
;;"38";"van Dekken, B.";"2";"2"
;;"39";"Luijten, S.C.A.";"0";"0"
;;"40";"Dost, H.J.";"1";"1"
;;"41";"Buijs, T.S.F.";"2";"2"
;;"42";"van de Giessen, L.H.";"0";"0"
;;"43";"Bracke, D.G.A.J.";"1";"1"
;;"44";"Joosten, J.P.J.";"4";"4"
;;"45";"Meppelink, E.M.";"6";"6"
;;"46";"van Dijk, Q.A.";"2";"2"
;;"47";"van Lankvelt, F.J.M.";"0";"0"
;;"48";"Siegmann, A.H.";"3";"3"
;;"49";"van de Kamp, L.B.";"3";"3"
"6";"SP (Socialistische Partij)";;;"6457";"6457"
;;"1";"Marijnissen, L.M.C.";"5311";"5311"
;;"2";"Beckerman, S.M.";"201";"201"
;;"3";"van Kent, B.";"201";"201"
;;"4";"Dijk, J.P.";"37";"37"
;;"5";"van Nispen, M.";"25";"25"
;;"6";"Dobbe, S.E.M.";"83";"83"
;;"7";"Temmink, N.G.J.";"37";"37"
;;"8";"ten Broeke, M.J.";"6";"6"
;;"9";"van Dijk, J.J.";"51";"51"
;;"10";"Meijer, B.W.V.";"39";"39"
;;"11";"Elfrink, G.E.";"6";"6"
;;"12";"Wolters Gregório, J.";"6";"6"
;;"13";"Boerwinkel, E.M.J.";"5";"5"
;;"14";"Alberts, R.";"7";"7"
;;"15";"van der Nat, H.F.A.";"10";"10"
;;"16";"Memiş, M.";"35";"35"
;;"17";"van Dijk, D.";"14";"14"
;;"18";"de Ridder, N.";"13";"13"
;;"19";"Yahyaoui, J.";"52";"52"
;;"20";"van Boven, A.W.";"2";"2"
;;"21";"Coppus, T.H.C.";"0";"0"
;;"22";"Topma, X.M.";"1";"1"
;;"23";"van Wijngaarden, T.J.J.";"13";"13"
;;"24";"Coşkun, T.S.J.";"14";"14"
;;"25";"van den Hout, S.G.";"9";"9"
;;"26";"van der Wijk, N.H.F.";"2";"2"
;;"27";"Verdaasdonk, I.";"1";"1"
;;"28";"van Rossum, L.";"15";"15"
;;"29";"Rongen, K.S.";"2";"2"
