"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
;;"1";"Marijnissen, L.M.C.";"35695";"365";"660";"280";"836";"697";"407";"4337";"1982";"3533";"1083";"489";"380";"4289";"872";"343";"343";"766";"1021";"714";"345";"732";"330";"597";"291";"374";"1115";"341";"560";"877";"2199";"2725";"1812"
;;"2";"Beckerman, S.M.";"729";"6";"11";"4";"24";"11";"7";"121";"45";"101";"24";"11";"4";"62";"11";"2";"8";"10";"30";"12";"6";"11";"5";"6";"5";"11";"16";"10";"9";"20";"35";"54";"37"
;;"3";"van Kent, B.";"117";"3";"1";"0";"1";"1";"1";"41";"10";"8";"1";"0";"1";"2";"2";"0";"1";"2";"3";"1";"0";"1";"1";"3";"0";"1";"8";"0";"1";"4";"4";"7";"8"
;;"4";"Dijk, J.P.";"118";"3";"2";"1";"5";"3";"0";"14";"6";"8";"3";"3";"1";"8";"2";"0";"1";"2";"3";"1";"3";"7";"0";"6";"0";"0";"3";"3";"0";"5";"8";"11";"6"
;;"5";"van Nispen, M.";"189";"0";"7";"0";"8";"7";"0";"23";"7";"25";"6";"3";"3";"12";"7";"1";"1";"4";"8";"4";"2";"4";"1";"1";"3";"4";"5";"4";"3";"11";"9";"11";"5"
;;"6";"Dobbe, S.E.M.";"358";"2";"3";"0";"5";"6";"0";"74";"20";"48";"5";"7";"1";"26";"2";"5";"6";"7";"6";"7";"6";"5";"2";"2";"2";"2";"13";"4";"7";"9";"18";"35";"23"
;;"7";"Temmink, N.G.J.";"147";"0";"0";"2";"4";"2";"2";"25";"14";"21";"4";"3";"0";"15";"3";"3";"1";"1";"3";"5";"0";"3";"1";"1";"1";"3";"3";"0";"2";"1";"10";"5";"9"
;;"8";"ten Broeke, M.J.";"28";"0";"0";"0";"0";"0";"0";"5";"4";"4";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4";"3"
;;"9";"van Dijk, J.J.";"109";"2";"0";"0";"4";"4";"3";"20";"3";"15";"2";"3";"1";"6";"3";"0";"0";"2";"3";"2";"0";"1";"0";"1";"1";"1";"6";"3";"1";"3";"7";"7";"5"
;;"10";"Meijer, B.W.V.";"42";"1";"0";"0";"1";"1";"0";"6";"2";"6";"1";"0";"1";"7";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"1";"4";"0";"0";"0";"0";"1";"2";"3"
;;"11";"Elfrink, G.E.";"21";"0";"0";"0";"0";"0";"1";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"2";"0";"4";"2"
;;"12";"Wolters Gregório, J.";"23";"0";"0";"1";"0";"0";"0";"3";"4";"2";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"1";"2"
;;"13";"Boerwinkel, E.M.J.";"15";"0";"0";"0";"2";"0";"0";"2";"0";"2";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2"
;;"14";"Alberts, R.";"45";"1";"2";"0";"2";"0";"0";"9";"1";"8";"2";"0";"1";"7";"1";"1";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1"
;;"15";"van der Nat, H.F.A.";"15";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1"
;;"16";"Memiş, M.";"346";"1";"10";"0";"1";"4";"8";"175";"17";"13";"3";"5";"2";"2";"2";"2";"8";"5";"19";"0";"7";"7";"1";"2";"2";"9";"0";"7";"4";"15";"9";"3";"3"
;;"17";"van Dijk, D.";"54";"1";"0";"1";"1";"0";"0";"10";"3";"5";"4";"1";"0";"3";"0";"1";"0";"1";"0";"2";"3";"0";"2";"1";"1";"0";"0";"0";"2";"1";"2";"6";"3"
;;"18";"de Ridder, N.";"37";"0";"0";"0";"4";"0";"0";"5";"4";"4";"2";"3";"0";"2";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"3";"1"
;;"19";"Yahyaoui, J.";"74";"1";"2";"1";"0";"3";"0";"17";"1";"16";"3";"0";"0";"9";"1";"0";"2";"1";"2";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"2";"4";"3";"2"
;;"20";"van Boven, A.W.";"189";"0";"0";"1";"3";"0";"0";"4";"1";"128";"5";"1";"0";"11";"4";"0";"0";"1";"1";"7";"0";"1";"0";"3";"0";"0";"7";"0";"0";"0";"7";"3";"1"
;;"21";"Coppus, T.H.C.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"6";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0"
;;"24";"Coşkun, T.S.J.";"16";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"4"
;;"25";"van den Hout, S.G.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
;;"26";"van der Wijk, N.H.F.";"6";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"27";"Verdaasdonk, I.";"96";"1";"6";"1";"1";"4";"6";"17";"2";"6";"7";"3";"1";"2";"2";"4";"1";"1";"2";"0";"1";"1";"2";"1";"3";"3";"0";"0";"5";"4";"3";"6";"0"
;;"28";"van Rossum, L.";"19";"1";"0";"0";"0";"0";"0";"3";"0";"2";"1";"0";"0";"3";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"2";"1";"0"
;;"29";"Rongen, K.S.";"6";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"25";"0";"0";"0";"0";"0";"0";"1";"1";"4";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"13";"0"
;;"31";"Cramer, A.";"11";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
;;"32";"van Scheltinga, E.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"33";"van Unen, G.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"34";"Kuin, R.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"35";"Harris, D.C.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Veen, J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"37";"Zandvliet, S.K.D.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Spanner, A.M.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"39";"Boer, M.I.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Ramesar, J.S.";"17";"0";"0";"0";"1";"0";"0";"0";"3";"4";"1";"1";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
;;"41";"ten Heuw, M.A.";"5";"0";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"5";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"de Man, W.J.";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"9";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0"
;;"46";"de Vries, E.";"177";"4";"2";"1";"2";"14";"1";"8";"107";"3";"0";"4";"0";"0";"2";"1";"1";"3";"0";"0";"1";"1";"1";"9";"0";"0";"0";"0";"0";"5";"4";"1";"2"
;;"47";"Eikenaar, E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"48";"Clemens, J.M.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"49";"Courbois, P.A.O.";"4";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Leijten, R.M.";"665";"11";"14";"2";"10";"12";"7";"107";"40";"75";"9";"14";"6";"65";"9";"17";"3";"11";"9";"15";"8";"9";"6";"9";"4";"8";"24";"8";"7";"22";"47";"41";"36"
"7";"Forum voor Democratie";;;"16165";"202";"314";"112";"333";"331";"186";"2692";"1235";"1870";"539";"263";"198";"1112";"268";"225";"185";"375";"488";"299";"175";"288";"164";"244";"145";"264";"273";"203";"228";"476";"801";"990";"687"
;;"1";"Baudet, T.H.P.";"11523";"153";"208";"81";"244";"224";"128";"1924";"917";"1391";"384";"186";"130";"834";"160";"140";"141";"256";"358";"212";"125";"210";"94";"164";"93";"176";"198";"147";"145";"334";"569";"687";"510"
;;"2";"Jansen, F.J.H.";"234";"2";"6";"3";"5";"5";"1";"35";"10";"23";"5";"4";"6";"8";"5";"6";"1";"5";"11";"11";"2";"1";"6";"1";"5";"6";"3";"3";"6";"6";"10";"24";"9"
;;"3";"van Meijeren, G.F.C.";"3011";"33";"70";"17";"58";"66";"40";"504";"202";"318";"108";"58";"50";"205";"62";"51";"31";"81";"87";"60";"38";"49";"42";"48";"29";"66";"46";"41";"54";"87";"140";"162";"108"
;;"4";"van Houwelingen, P.";"370";"4";"11";"1";"6";"14";"2";"59";"28";"35";"16";"10";"7";"20";"6";"6";"7";"8";"10";"5";"4";"7";"4";"9";"7";"7";"7";"3";"11";"11";"13";"20";"12"
;;"5";"Dekker, R.J.";"264";"2";"7";"1";"5";"5";"6";"49";"7";"40";"9";"2";"2";"9";"11";"3";"2";"8";"6";"3";"2";"11";"1";"6";"2";"2";"5";"3";"3";"7";"14";"23";"8"
;;"6";"de Vos, L.G.";"141";"0";"1";"2";"0";"6";"4";"25";"8";"14";"4";"2";"0";"12";"3";"2";"0";"3";"4";"2";"2";"3";"6";"3";"2";"3";"1";"1";"2";"3";"7";"9";"7"
;;"7";"Russcher, T.K.";"7";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"8";"Etalle, M.J.S.";"10";"0";"0";"0";"0";"0";"0";"0";"2";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Bakir, A.";"39";"0";"0";"0";"0";"1";"0";"10";"2";"3";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"3";"0";"0";"11";"0";"1";"0"
;;"10";"Dessing, J.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"11";"Vastenhouw, J.";"6";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"12";"Al Biyati, I.";"11";"0";"0";"0";"3";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"13";"de Knegt, R.E.R.";"19";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"41";"2";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"28";"1"
;;"15";"van Schijndel, A.H.J.W.";"8";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2"
;;"16";"Antolini, B.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"17";"Bos, M.";"7";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"18";"Koopman, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"42";"0";"1";"0";"0";"0";"0";"3";"0";"9";"2";"0";"0";"2";"11";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"4";"3";"2"
;;"20";"van den Boomgaard, M.R.";"4";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Boom-Bekkers, Y.J.A.M.";"34";"3";"1";"0";"7";"0";"0";"1";"0";"5";"2";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"1";"1";"2";"0";"3";"1";"1"
;;"22";"Bethlehem, C.J.";"41";"0";"1";"4";"0";"0";"0";"1";"0";"1";"0";"0";"0";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"5";"3";"17"
;;"23";"Knoester, N.A.";"77";"1";"2";"0";"0";"1";"0";"42";"5";"0";"0";"0";"1";"0";"0";"0";"2";"7";"4";"0";"1";"0";"1";"0";"2";"1";"0";"2";"3";"2";"0";"0";"0"
;;"24";"van Dinther-Spoek, P.";"49";"0";"2";"0";"0";"5";"0";"0";"27";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"1";"4";"1";"0";"0";"0";"1";"3";"0";"1";"0"
;;"25";"Akkermans-Linssen, M.W.J.";"21";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"13";"2"
;;"26";"Nab, B.";"9";"0";"0";"0";"0";"0";"0";"5";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Lindner, T.B.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0"
;;"28";"Hadderingh, B.S.T.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"29";"Wittebrood, J.C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"30";"Bilgin, T.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1"
;;"31";"Luurssen, G.A.A.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"33";"0";"0";"0";"1";"0";"1";"3";"0";"1";"2";"0";"0";"0";"4";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"2";"1";"0";"0";"11";"2";"0"
;;"33";"Heller, T.H.G.";"21";"0";"0";"0";"0";"1";"0";"0";"15";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"34";"Postuma, J.V.";"12";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
;;"35";"Vos, A.V.B.";"5";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"38";"van der Voort, J.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"40";"Wijngaard, M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"44";"Schaap, D.V.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"46";"Zwitser, T.";"20";"1";"0";"0";"0";"0";"0";"2";"1";"4";"0";"0";"0";"2";"3";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0"
;;"47";"van den Oetelaar, J.C.M.";"18";"0";"0";"0";"2";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"9";"0";"0"
;;"48";"Kerseboom, S.";"26";"0";"0";"1";"0";"0";"1";"5";"0";"4";"2";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"2";"1";"2"
;;"49";"Cliteur, P.B.";"18";"1";"2";"1";"0";"0";"2";"4";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1"
"8";"Partij voor de Dieren";;;"15009";"110";"266";"71";"366";"258";"208";"3299";"658";"2356";"381";"259";"194";"738";"334";"147";"212";"252";"388";"411";"239";"275";"184";"192";"100";"154";"213";"162";"160";"455";"613";"896";"458"
;;"1";"Ouwehand, E.";"11143";"91";"200";"47";"278";"209";"154";"2331";"521";"1578";"289";"215";"161";"531";"257";"104";"170";"203";"294";"310";"187";"216";"144";"156";"76";"111";"165";"138";"131";"349";"476";"689";"362"
;;"2";"Kostić, I.";"708";"5";"11";"5";"14";"10";"16";"188";"25";"143";"16";"5";"7";"40";"13";"4";"3";"12";"16";"14";"8";"14";"5";"10";"3";"8";"9";"3";"2";"22";"25";"40";"12"
;;"3";"Teunissen, C.";"429";"1";"10";"0";"6";"8";"2";"107";"14";"69";"11";"4";"2";"28";"10";"9";"8";"2";"13";"14";"2";"9";"5";"5";"4";"4";"4";"1";"5";"19";"13";"25";"15"
;;"4";"Wassenberg, F.P.";"195";"1";"2";"1";"3";"4";"5";"49";"9";"23";"6";"5";"2";"12";"7";"3";"4";"5";"2";"1";"2";"2";"6";"3";"0";"9";"3";"1";"1";"3";"6";"12";"3"
;;"5";"Akerboom, E.S.";"397";"2";"5";"5";"11";"5";"4";"103";"14";"68";"9";"10";"6";"20";"7";"5";"6";"4";"11";"11";"9";"6";"8";"1";"2";"4";"5";"0";"2";"12";"14";"14";"14"
;;"6";"van Raan, L.";"75";"0";"3";"0";"2";"0";"1";"21";"2";"13";"0";"0";"1";"4";"1";"0";"0";"0";"3";"2";"2";"0";"0";"1";"0";"0";"3";"1";"0";"4";"3";"4";"4"
;;"7";"van Schaik, M.";"162";"0";"1";"1";"5";"0";"1";"40";"6";"45";"3";"0";"0";"7";"3";"0";"1";"2";"2";"5";"2";"1";"0";"2";"1";"0";"3";"2";"2";"5";"12";"6";"4"
;;"8";"Krijger, A.L.";"368";"1";"2";"2";"13";"2";"3";"113";"15";"83";"7";"1";"1";"18";"8";"3";"6";"5";"8";"8";"5";"2";"4";"2";"0";"3";"5";"4";"4";"6";"12";"14";"8"
;;"9";"Plusquin, P.S.M.L.";"101";"0";"1";"0";"1";"2";"3";"32";"7";"15";"1";"1";"2";"4";"2";"1";"0";"1";"2";"3";"0";"3";"0";"1";"1";"3";"0";"1";"0";"2";"3";"6";"3"
;;"10";"Groenewege, P.J.L.";"24";"1";"1";"1";"0";"2";"1";"4";"1";"3";"2";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
;;"11";"van Heuven, M.";"28";"0";"1";"0";"0";"0";"2";"6";"2";"4";"0";"1";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"2";"1"
;;"12";"van Hassel, F.";"32";"1";"1";"0";"1";"0";"1";"9";"1";"6";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"5";"0"
;;"13";"Bunnik, R.J.";"66";"0";"2";"0";"1";"1";"2";"21";"2";"14";"1";"1";"0";"2";"2";"1";"1";"0";"0";"1";"5";"1";"0";"1";"0";"0";"0";"0";"1";"0";"3";"2";"1"
;;"14";"Schmeets, H.H.J.";"21";"1";"0";"0";"1";"2";"0";"4";"1";"5";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1"
;;"15";"Pınar, K.";"49";"0";"0";"0";"0";"0";"0";"30";"1";"5";"0";"0";"0";"4";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"2";"0"
