"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
;;"8";"Krijger, A.L.";"2336";"2336"
;;"9";"Plusquin, P.S.M.L.";"92";"92"
;;"10";"Groenewege, P.J.L.";"30";"30"
;;"11";"van Heuven, M.";"22";"22"
;;"12";"van Hassel, F.";"39";"39"
;;"13";"Bunnik, R.J.";"129";"129"
;;"14";"Schmeets, H.H.J.";"39";"39"
;;"15";"Pınar, K.";"211";"211"
;;"16";"Jones, M.G.";"110";"110"
;;"17";"Bosma, J.";"109";"109"
;;"18";"Barker, R.N.";"13";"13"
;;"19";"van Wijlandt, K.";"7";"7"
;;"20";"Batteau, J.M.";"27";"27"
;;"21";"Hollebeek, J.P.";"23";"23"
;;"22";"Dicke, I.M.";"174";"174"
;;"23";"Salemans, B.R.";"7";"7"
;;"24";"Bersch, F.";"3";"3"
;;"25";"de Gram, F.";"9";"9"
;;"26";"Krediet, L.";"135";"135"
;;"27";"de Vos, D.J.C.";"97";"97"
;;"28";"van der Velde, M.C.";"14";"14"
;;"29";"van Viegen, A.H.K.";"6";"6"
;;"30";"Gerritsen, L.";"25";"25"
;;"31";"Veenstra, M.";"15";"15"
;;"32";"Vlasveld, A.I.";"12";"12"
;;"33";"Janssens, T.A.O.";"7";"7"
;;"34";"Coşkun, Z.P.";"106";"106"
;;"35";"van der Pluijm, L.C.";"0";"0"
;;"36";"Peeks, S.J.";"13";"13"
;;"37";"Pallandt, C.M.J.";"9";"9"
;;"38";"Pechler, W.I.";"7";"7"
;;"39";"van Lierop, J.";"7";"7"
;;"40";"Spruit, V.";"44";"44"
;;"41";"Kuijer, B.";"1";"1"
;;"42";"Markandu, G.";"89";"89"
;;"43";"Oudshoorn, J.";"2";"2"
;;"44";"Hanoeman, R.R.";"15";"15"
;;"45";"Samshuijzen, E.";"1";"1"
;;"46";"Brouwer, M.";"4";"4"
;;"47";"Onderdelinden, S.E.";"10";"10"
;;"48";"Rozema, J.G.";"4";"4"
;;"49";"van de Peppel, S.";"10";"10"
;;"50";"Minnaert, X.D.E.";"52";"52"
"9";"ChristenUnie";;;"4113";"4113"
;;"1";"Bikker, M.H.";"1376";"1376"
;;"2";"Grinwis, P.A.";"92";"92"
;;"3";"Ceder, D.G.M.";"2188";"2188"
;;"4";"te Rietstap, A.H.";"22";"22"
;;"5";"Gooijer-Medema, J.K.";"87";"87"
;;"6";"Drost, N.";"19";"19"
;;"7";"Holtman, T.S.";"9";"9"
;;"8";"Otter-van den Bosch, C.";"18";"18"
;;"9";"van der Graaf, S.J.F.";"68";"68"
;;"10";"Klein, M.C.A.";"14";"14"
;;"11";"Niesink, C.C.M.";"13";"13"
;;"12";"Setz, J.N.";"6";"6"
;;"13";"van der Krift, H.J.C.";"9";"9"
;;"14";"Langen, A.L.";"4";"4"
