"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"20";"Hammelburg, A.R.";"8";"2";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"1"
;;"21";"Hollander, J.";"75";"11";"0";"10";"4";"10";"5";"3";"3";"8";"10";"8";"3"
;;"22";"ten Dolle, L.";"24";"4";"0";"1";"2";"6";"1";"1";"1";"4";"1";"2";"1"
;;"23";"Blommers, D.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0"
;;"24";"van Breugel, C.";"15";"2";"1";"3";"5";"0";"0";"0";"0";"0";"1";"0";"3"
;;"25";"Teunissen, J.C.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"Çimen, M.";"6";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0"
;;"27";"Oualhadj, A.";"8";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"4";"0"
;;"28";"Putuhena, M.";"6";"3";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Keij, E.J.";"5";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Brink, V.J.";"7";"2";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1"
;;"31";"van Dorst, P.A.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Wijnja, G.H.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"33";"de Vries, M.M.";"5";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1"
;;"34";"Schoonbeek, F.";"7";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1";"3";"0"
;;"35";"Mathlouti, M.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Koops, J.H.";"232";"24";"19";"136";"6";"4";"9";"12";"8";"0";"1";"2";"11"
;;"38";"Hagen, K.B.";"14";"1";"1";"3";"0";"1";"1";"0";"2";"3";"0";"1";"1"
;;"39";"Hiemstra, G.J.";"4";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"41";"Tjeerdema, H.";"11";"1";"2";"1";"0";"3";"1";"0";"0";"1";"0";"1";"1"
;;"42";"Woudstra, E.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Olsthoorn, A.";"4";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"44";"van Peski, C.J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"47";"van Driel, M.";"27";"2";"0";"6";"5";"7";"2";"0";"3";"0";"1";"1";"0"
