"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
"15";"BBB";;;"28602";"1903";"2983";"4531";"2829";"1464";"1711";"1795";"2776";"1714";"2001";"1399";"3496"
;;"1";"van der Plas, C.A.M.";"22610";"1413";"2432";"3613";"2291";"1071";"1360";"1384";"2213";"1393";"1610";"1107";"2723"
;;"2";"Keijzer, M.C.G.";"2225";"175";"218";"302";"252";"103";"142";"115";"219";"138";"147";"118";"296"
;;"3";"Tuinman, G.P.";"235";"26";"21";"28";"22";"16";"13";"16";"19";"8";"27";"11";"28"
;;"4";"Vermeer, H.";"87";"2";"8";"14";"12";"7";"3";"6";"8";"4";"6";"4";"13"
;;"5";"Helder, L.M.J.S.";"81";"8";"5";"18";"9";"2";"6";"6";"6";"7";"2";"1";"11"
;;"6";"Pierik, C.R.";"131";"4";"22";"4";"16";"12";"3";"5";"30";"3";"16";"4";"12"
;;"7";"van Zanten, C.R.";"58";"3";"3";"12";"8";"2";"1";"2";"5";"6";"3";"6";"7"
;;"8";"Rummenie, J.F.";"7";"2";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"2"
;;"9";"Pouw-Verweij, N.J.F.";"102";"10";"12";"12";"12";"4";"2";"5";"16";"5";"6";"6";"12"
;;"10";"Rikkers-Oosterkamp, M.G.F.";"238";"23";"8";"20";"13";"15";"9";"11";"24";"27";"48";"15";"25"
;;"11";"Wijen-Nass, M.J.M.H.";"23";"1";"6";"2";"4";"1";"1";"2";"2";"1";"1";"0";"2"
;;"12";"Oostenbrink, M.";"21";"2";"3";"6";"2";"0";"0";"0";"2";"1";"2";"2";"1"
;;"13";"Rekers, J.D.";"19";"1";"4";"6";"1";"0";"0";"1";"0";"1";"1";"1";"3"
;;"14";"Hendriks, A.J.";"17";"0";"2";"1";"6";"0";"0";"1";"1";"1";"0";"1";"4"
;;"15";"Govaert, C.A.H.M.";"22";"5";"3";"3";"1";"0";"2";"1";"0";"2";"1";"3";"1"
;;"16";"van Vliet, L.R.";"70";"4";"8";"14";"7";"7";"3";"1";"15";"2";"4";"0";"5"
;;"17";"Hemmen, H.M.";"731";"29";"67";"286";"18";"3";"52";"161";"8";"24";"8";"41";"34"
;;"18";"van Vuuren, C.H.";"21";"2";"3";"2";"0";"0";"2";"1";"2";"0";"3";"2";"4"
;;"19";"van der Meer, S.";"655";"31";"35";"57";"88";"147";"18";"9";"116";"17";"49";"9";"79"
;;"20";"Stoop, C.J.";"6";"1";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"van Veen, A.";"8";"2";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1"
;;"22";"van Lissum, J.T.M.";"5";"0";"0";"2";"1";"0";"0";"1";"0";"1";"0";"0";"0"
;;"23";"Stegink, T.W.";"40";"0";"8";"2";"3";"4";"0";"0";"10";"3";"4";"2";"4"
;;"24";"Huiskamp, F.M.";"8";"2";"0";"2";"0";"1";"1";"1";"0";"0";"0";"1";"0"
;;"25";"Eppink, D.J.";"21";"1";"4";"5";"1";"1";"0";"1";"2";"1";"2";"0";"3"
;;"26";"Hankers, H.F.";"7";"1";"1";"0";"1";"0";"0";"2";"0";"0";"1";"0";"1"
;;"27";"Berghout, N.C.G.";"7";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"4"
;;"28";"Roubos, G.L.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Evers, G.J.A.";"29";"2";"5";"6";"2";"1";"1";"2";"6";"1";"0";"1";"2"
;;"30";"Sijbolts, M.A.";"45";"3";"2";"6";"2";"1";"2";"6";"0";"4";"0";"4";"15"
;;"31";"Poppe, W.P.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"32";"Swaag, J.H.";"10";"3";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2"
;;"33";"Waalkens, D.E.";"534";"123";"29";"39";"22";"4";"60";"44";"13";"47";"13";"42";"98"
;;"34";"de Ridder, R.J.G.";"4";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Jaspers, W.C.P.H.";"15";"0";"10";"1";"0";"0";"0";"2";"0";"1";"1";"0";"0"
;;"36";"Floors, G.W.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Luitwieler-Bosma, J.M.";"34";"4";"1";"4";"3";"6";"2";"1";"3";"2";"5";"1";"2"
;;"38";"Rood, I.";"7";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"1";"0"
;;"39";"van Noort, M.";"3";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Cromwijk, J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"41";"van Wijk, J.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Bos-Zandstra, K.J.";"18";"1";"0";"3";"0";"1";"2";"0";"0";"6";"2";"2";"1"
;;"43";"Egelmeers, P.C.J.M.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Baltus, A.W.M.";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"van der Wereld-Verkerk, P.C.";"12";"2";"2";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1"
;;"46";"Schoone, L.";"14";"2";"0";"7";"1";"1";"1";"1";"0";"0";"0";"1";"0"
;;"47";"Spätgens, J.M.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"48";"Zeedzen, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Schuiling, H.";"199";"4";"13";"12";"8";"48";"9";"1";"51";"3";"34";"3";"13"
;;"50";"Wielink, R.";"209";"7";"42";"28";"17";"4";"10";"6";"1";"2";"1";"5";"86"
"16";"BIJ1";;;"449";"100";"25";"97";"40";"43";"21";"10";"18";"21";"17";"32";"25"
;;"1";"Olf, E.M.";"145";"29";"8";"35";"13";"11";"10";"2";"7";"7";"6";"9";"8"
;;"2";"Mc Cray, L.";"72";"25";"3";"10";"6";"7";"7";"1";"3";"2";"2";"3";"3"
;;"3";"Salmi, L.";"37";"7";"2";"7";"1";"5";"0";"1";"0";"5";"0";"9";"0"
;;"4";"Courtar, G.O.";"27";"5";"2";"8";"2";"2";"1";"0";"0";"1";"3";"3";"0"
;;"5";"de Miranda, E.N.";"13";"5";"1";"2";"2";"2";"0";"0";"0";"0";"1";"0";"0"
;;"6";"Berend, C.E.W.R.";"35";"6";"1";"9";"2";"3";"1";"1";"5";"1";"0";"3";"3"
;;"7";"Luhrs, Y.";"14";"5";"2";"1";"1";"1";"0";"0";"0";"2";"1";"0";"1"
;;"8";"Gal, Y.";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"ten Caat, J.";"28";"4";"0";"8";"9";"0";"1";"0";"2";"0";"0";"0";"4"
;;"10";"Zandee, J.I.N.";"9";"3";"1";"2";"0";"1";"0";"0";"0";"0";"0";"2";"0"
;;"11";"Bakker, D.L.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Wienen, R.D.";"22";"1";"3";"6";"1";"4";"0";"0";"1";"1";"1";"2";"2"
;;"13";"Bijleveld, D.";"19";"6";"1";"2";"2";"1";"0";"4";"0";"1";"0";"0";"2"
;;"14";"Vrede, R.I.";"7";"1";"0";"1";"0";"1";"0";"0";"0";"1";"2";"1";"0"
;;"15";"Timmer, R.S.Y.";"16";"1";"1";"3";"1";"5";"1";"1";"0";"0";"1";"0";"2"
"17";"Piratenpartij - De Groenen";;;"217";"33";"13";"38";"28";"15";"16";"11";"6";"12";"10";"16";"19"
;;"1";"van Treuren, M.A.";"117";"17";"8";"26";"15";"8";"8";"5";"2";"3";"4";"11";"10"
;;"2";"Sadloe, S.";"30";"5";"3";"5";"4";"3";"1";"3";"1";"2";"1";"2";"0"
;;"3";"van Zwoll, R.M.E.";"9";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2"
;;"4";"Pontier, M.A.";"9";"2";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"3"
;;"5";"Brandsma, W.A.";"15";"5";"0";"1";"1";"0";"3";"0";"0";"3";"0";"1";"1"
;;"6";"ter Haar, O.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Zimmerman, H.K.";"7";"1";"0";"1";"1";"0";"2";"0";"1";"1";"0";"0";"0"
;;"8";"van Rijn, M.P.";"3";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
;;"9";"Berendsen, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"10";"Yadegari, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Pot, A.A.M.";"6";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1"
;;"12";"Werner, D.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"van Deijk, D.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Russchenberg, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hallegraeff, D.S.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Bresser, A.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Abendroth, A.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"18";"Darvish-Zadeh, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schrama, D.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"20";"Werner-Wafelman, L.S.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"21";"Plesa, B.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"22";"Bouma, E.";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"23";"Bethlehem, C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Dekkers, S.A.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Nes, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Linnenbank, A.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"Braun, P.W.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"28";"Doting, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Teders, N.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bakkers, T.F.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van Gelderen, J.J.";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"baron van Till, J.W.J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"van Breemen, W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Blaak, M.G.M.H.";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"18";"BVNL / Groep Van Haga";;;"1965";"236";"128";"362";"258";"142";"85";"124";"129";"100";"96";"108";"197"
;;"1";"van Haga, W.R.";"1399";"157";"91";"271";"181";"106";"54";"89";"88";"71";"76";"69";"146"
;;"2";"Krol, H.C.M.";"55";"6";"7";"17";"8";"1";"4";"4";"3";"2";"2";"0";"1"
;;"3";"van Keimpema, J.S.";"218";"17";"19";"30";"33";"11";"11";"14";"25";"6";"8";"16";"28"
;;"4";"Dercksen, R.G.J.";"5";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0";"0";"0"
;;"5";"Koopmans - van der Veen, W.J.";"35";"4";"1";"2";"6";"5";"1";"1";"2";"4";"4";"0";"5"
;;"6";"van Aalst, R.R.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"7";"Emons, I.M.A.";"6";"0";"0";"1";"0";"0";"0";"2";"0";"2";"0";"0";"1"
;;"8";"Shahbazi Fishtali, S.";"14";"5";"0";"6";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"9";"de Kok, A.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"10";"van Tellingen, H.P.";"6";"0";"0";"1";"0";"4";"1";"0";"0";"0";"0";"0";"0"
;;"11";"van der Velden, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Ramautarsing, Y.J.S.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"13";"Bosscher, C.J.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Wijnschenk, H.H.R.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Hulleman, S.P.X.";"54";"10";"4";"5";"6";"6";"4";"4";"2";"5";"2";"5";"1"
;;"16";"Schuiling, A.";"66";"15";"4";"7";"8";"1";"4";"4";"0";"3";"0";"14";"6"
;;"17";"van der Veen, T.A.";"3";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Schilder, P.C.J.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"19";"Vogelzang, S.J.";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
;;"20";"Pestman, R.J.E.";"23";"5";"0";"5";"0";"0";"4";"1";"2";"1";"0";"3";"2"
;;"21";"Vulders, S.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"22";"van der Wiele, D.";"4";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Brunke, R.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Gorter-de Vos, M.";"5";"1";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0"
;;"25";"van Dalen, E.H.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Wiersma, K.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Kassel, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"28";"Wymenga-Kooistra, G.";"9";"2";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1"
;;"29";"Jonk, S.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Zuidema, C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van der Meeren, C.J.R.F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Mensing, C.M.";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Durlacher, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Dienjes, C.S.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Bekker, M.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Laarhoven, E.L.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Eradus, R.F.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Westhoff, R.J.H.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Beverloo, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Buuren, M.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Overeem, A.C.";"19";"3";"1";"4";"6";"2";"0";"2";"0";"1";"0";"0";"0"
;;"42";"Thiessens, F.B.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Brouwer, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"44";"Manders, T.T.A.J.";"5";"2";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0"
;;"45";"Filippini, L.T.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"46";"Verweij, D.W.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"47";"Elens, R.B.";"6";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0";"1"
;;"48";"Rolloos, M.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"49";"Talsma, J.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Smolders, H.A.J.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"19";"Nieuw Sociaal Contract";;;"51908";"6909";"3892";"11258";"5671";"3629";"2836";"2910";"2444";"3410";"1971";"3271";"3707"
;;"1";"Omtzigt, P.H.";"45634";"5898";"3550";"10254";"5174";"3237";"2375";"2592";"2210";"2753";"1762";"2636";"3193"
;;"2";"van Vroonhoven-Kok, J.N.";"1381";"225";"97";"218";"140";"139";"71";"63";"73";"89";"64";"92";"110"
;;"3";"Uitermark, J.J.M.";"309";"44";"19";"53";"24";"33";"20";"20";"23";"16";"11";"22";"24"
;;"4";"Veldkamp, C.C.J.";"64";"11";"4";"20";"3";"3";"4";"2";"5";"4";"1";"3";"4"
;;"5";"Palmen-Schlangen, S.T.P.H.";"222";"33";"9";"50";"22";"19";"7";"11";"15";"9";"8";"27";"12"
;;"6";"van Hijum, Y.J.";"80";"10";"4";"9";"1";"19";"4";"0";"10";"3";"5";"0";"15"
;;"7";"Soepboer, A.J.";"157";"31";"9";"20";"15";"14";"9";"4";"7";"12";"8";"16";"12"
;;"8";"Joseph, A.S.";"51";"8";"2";"7";"6";"7";"2";"6";"2";"1";"5";"2";"3"
;;"9";"Six Dijkstra, J.P.S.";"42";"19";"3";"8";"4";"4";"0";"0";"2";"1";"0";"1";"0"
;;"10";"Welzijn, R.M.";"40";"15";"1";"3";"3";"3";"6";"1";"2";"2";"0";"3";"1"
;;"11";"Postma, W.L.";"11";"1";"0";"3";"2";"0";"2";"0";"0";"2";"1";"0";"0"
;;"12";"Zeedijk-Raeven, F.A.";"24";"2";"0";"3";"5";"2";"0";"2";"2";"2";"2";"2";"2"
;;"13";"Idsinga, F.L.";"7";"1";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"2"
;;"14";"Jansen, D.E.M.C.";"1399";"278";"68";"227";"101";"36";"138";"94";"23";"120";"34";"210";"70"
;;"15";"van Oostenbruggen, T.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
;;"16";"Kahraman, I.";"31";"5";"4";"3";"12";"1";"1";"0";"1";"0";"0";"3";"1"
;;"17";"Hertzberger, R.Y.";"100";"18";"11";"8";"5";"7";"12";"7";"9";"11";"2";"6";"4"
;;"18";"Bruyning, F.H.";"22";"6";"0";"3";"0";"6";"0";"2";"1";"2";"1";"0";"1"
;;"19";"van Dijk, O.C.";"11";"0";"0";"0";"1";"1";"0";"0";"7";"1";"0";"0";"1"
;;"20";"Holman, H.";"753";"85";"34";"103";"25";"16";"35";"27";"11";"275";"15";"88";"39"
;;"21";"Boomsma, D.T.";"16";"7";"1";"0";"1";"2";"0";"0";"1";"0";"2";"1";"1"
;;"22";"Heite, A.";"737";"113";"17";"93";"27";"32";"111";"53";"14";"90";"13";"141";"33"
;;"23";"Saris, I.G.";"33";"5";"2";"0";"7";"9";"2";"2";"1";"0";"3";"1";"1"
;;"24";"Wingelaar, N.T.P.";"14";"1";"3";"5";"1";"1";"0";"1";"0";"2";"0";"0";"0"
;;"25";"Koops, W.J.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"26";"Achahbar, N.";"27";"2";"1";"7";"7";"3";"2";"1";"1";"1";"0";"2";"0"
;;"27";"van Waveren, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"de Korte-Verhoef, M.C.";"21";"2";"0";"2";"3";"1";"2";"3";"1";"2";"0";"1";"4"
;;"29";"Boelhouwer, N.P.";"8";"1";"1";"1";"0";"1";"0";"1";"0";"2";"0";"0";"1"
;;"30";"Schouten, M.A.C.";"5";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0"
;;"31";"Kouwenhoven, A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"32";"Verouden, V.C.H.M.";"4";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heine, J.A.H.";"612";"67";"44";"140";"71";"22";"27";"12";"21";"4";"32";"9";"163"
;;"34";"Pouwelse, S.F.W.";"7";"1";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"35";"de Leeuw-Jongejans, M.M.";"11";"2";"2";"3";"0";"1";"1";"1";"0";"0";"0";"1";"0"
;;"36";"Hartog, I.C.";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"37";"van Bruchem, R.H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van de Ven, M.A.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"de Neijs, E.D.E.";"3";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Hassoo, W.";"10";"2";"0";"0";"2";"0";"2";"1";"1";"0";"0";"0";"2"
;;"41";"Graafland-van Duijn, M.A.";"23";"4";"3";"4";"3";"2";"1";"0";"0";"1";"1";"1";"3"
;;"42";"den Hartogh, A.";"7";"2";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0"
;;"43";"Wessels, R.";"4";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Geleijnse, S.";"16";"3";"2";"2";"2";"0";"1";"2";"1";"2";"0";"0";"1"
"20";"Splinter";;;"306";"56";"17";"58";"33";"31";"14";"21";"9";"15";"7";"25";"20"
;;"1";"van Kooten-Arissen, F.M.";"226";"40";"14";"47";"21";"21";"11";"13";"7";"10";"6";"20";"16"
;;"2";"Ipenburg, N.";"30";"9";"2";"2";"4";"7";"1";"4";"0";"0";"0";"1";"0"
;;"3";"Bogers, T.J.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"4";"Vos, J.";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1"
;;"5";"Jansma, D.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Mu'ayyed Mir-Damádi, N.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Rasenberg, N.E.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"8";"Janssen, P.G.";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"van der Weide, Y.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"10";"Wehnes, E.";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"de Backer, R.E.";"3";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"12";"Hoedeman, A.D.J.";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Rechards, B.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Weyers, J.A.W.P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"15";"van Dam, G.A.J.";"16";"1";"0";"2";"0";"3";"1";"1";"1";"3";"0";"2";"2"
;;"16";"Abrahams, J.M.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"17";"Kuin, D.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Gerritsen, M.C.G.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Leijendekkers, L.S.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"20";"de Ruiter, T.K.";"4";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Pijnenburg, G.A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Schot, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"23";"Ezendam, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Peeters, L.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"de Groot, D.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"van den Heuvel-Łuczycki, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Bruijstens, P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Keizer, M.B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Gol, T.M.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"de Koning, T.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Keyser, I.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"21";"LP (Libertaire Partij)";;;"111";"20";"4";"24";"12";"10";"4";"6";"1";"6";"8";"4";"12"
;;"1";"van Lamoen, T.J.";"72";"11";"2";"17";"8";"7";"3";"3";"1";"6";"7";"3";"4"
;;"2";"Burggraaf, B.W.";"5";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2"
;;"3";"Verhagen, P.H.";"4";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"4";"Zijlstra, J.";"4";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
;;"5";"Meijer, T.D.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"6";"Huijs, T.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"7";"Pailer, S.";"10";"3";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"2"
;;"8";"Loman, W.P.J.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
