"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"20";"Hammelburg, A.R.";"64";"3";"3";"2";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"31";"2";"0";"0";"0";"4";"3";"0";"1";"1";"3";"6";"0"
;;"21";"Hollander, J.";"183";"27";"6";"1";"1";"0";"0";"2";"4";"0";"0";"0";"1";"3";"89";"4";"2";"2";"0";"8";"7";"0";"8";"6";"6";"4";"2"
;;"22";"ten Dolle, L.";"227";"22";"1";"9";"5";"0";"0";"10";"3";"2";"1";"0";"0";"4";"105";"9";"1";"0";"4";"7";"8";"2";"9";"2";"9";"12";"2"
;;"23";"Blommers, D.";"113";"16";"1";"4";"0";"0";"2";"0";"3";"0";"2";"0";"0";"2";"64";"3";"0";"2";"1";"1";"1";"1";"2";"2";"0";"2";"4"
;;"24";"van Breugel, C.";"267";"38";"2";"8";"3";"1";"0";"5";"2";"1";"2";"0";"1";"6";"134";"3";"0";"0";"1";"7";"9";"0";"12";"6";"6";"13";"7"
;;"25";"Teunissen, J.C.M.";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"15";"1";"1";"0";"0";"4";"1";"0";"1";"0";"1";"1";"1"
;;"26";"Çimen, M.";"64";"3";"0";"1";"1";"0";"0";"3";"0";"1";"0";"0";"0";"2";"32";"1";"0";"3";"0";"3";"2";"2";"1";"3";"1";"2";"3"
;;"27";"Oualhadj, A.";"60";"3";"0";"2";"2";"0";"1";"1";"0";"0";"0";"0";"0";"1";"35";"0";"0";"0";"0";"3";"3";"0";"2";"0";"4";"1";"2"
;;"28";"Putuhena, M.";"113";"13";"0";"0";"0";"0";"1";"6";"1";"1";"1";"0";"0";"3";"44";"3";"0";"3";"2";"6";"5";"0";"10";"2";"4";"3";"5"
;;"29";"Keij, E.J.";"41";"8";"1";"2";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"13";"2";"0";"0";"0";"2";"2";"0";"2";"1";"2";"1";"0"
