"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
;;"11";"Ercan, C.";"64";"8";"1";"2";"0";"2";"0";"4";"2";"0";"0";"0";"0";"2";"34";"0";"0";"0";"0";"3";"0";"1";"2";"0";"1";"1";"1"
;;"12";"Hamel, J.E.R.";"356";"15";"7";"11";"6";"1";"0";"89";"2";"0";"3";"1";"2";"3";"141";"3";"2";"7";"5";"12";"13";"2";"9";"2";"6";"4";"10"
;;"13";"van Ewijk, W.H.E.";"19";"2";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"7";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1"
;;"14";"van Laar, S.A.";"114";"12";"0";"2";"1";"0";"0";"2";"0";"0";"1";"0";"0";"4";"66";"1";"0";"2";"3";"3";"2";"0";"4";"3";"0";"5";"3"
;;"15";"Tai, M.T.";"27";"4";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"14";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0"
;;"16";"Pajak, V.L.";"67";"6";"0";"4";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"41";"0";"0";"0";"0";"3";"2";"0";"5";"1";"0";"1";"0"
;;"17";"Eigenhuis, F.";"260";"175";"8";"3";"0";"1";"0";"1";"18";"0";"0";"0";"3";"12";"22";"2";"1";"0";"0";"3";"2";"0";"1";"2";"4";"0";"2"
;;"18";"Verbeek, E.L.I.";"75";"5";"1";"4";"1";"0";"0";"1";"3";"0";"2";"0";"0";"0";"43";"1";"1";"0";"0";"2";"3";"0";"1";"2";"0";"3";"2"
;;"19";"Hemmes, B.J.A.";"27";"2";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"1";"2";"0";"2";"0";"1";"1";"1"
;;"20";"Elsinga, D.";"73";"12";"0";"4";"0";"1";"1";"3";"1";"0";"1";"0";"2";"3";"24";"1";"2";"0";"1";"5";"5";"0";"2";"2";"1";"0";"2"
;;"21";"Dreteler, S.J.";"82";"4";"3";"2";"1";"0";"0";"0";"1";"0";"1";"0";"2";"0";"50";"2";"0";"1";"0";"5";"1";"1";"2";"0";"2";"3";"1"
"11";"JA21";;;"5229";"630";"128";"149";"56";"92";"60";"221";"156";"93";"66";"36";"79";"208";"861";"265";"57";"135";"189";"236";"245";"65";"242";"227";"207";"273";"253"
;;"1";"Eerdmans, B.J.";"3948";"472";"92";"115";"47";"73";"39";"180";"106";"79";"49";"25";"68";"154";"627";"199";"43";"111";"136";"188";"166";"55";"186";"167";"157";"202";"212"
;;"2";"Nanninga, A.";"866";"97";"25";"16";"5";"13";"16";"31";"34";"10";"17";"6";"9";"31";"164";"47";"9";"20";"28";"36";"46";"5";"37";"54";"30";"53";"27"
;;"3";"Ceulemans, S.";"31";"3";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"10";"2";"0";"1";"0";"3";"2";"0";"2";"0";"1";"2";"0"
;;"4";"Bakker-Derks, E.H.M.";"86";"11";"3";"1";"1";"3";"2";"2";"5";"1";"0";"2";"2";"5";"18";"3";"0";"0";"9";"0";"3";"0";"2";"1";"5";"3";"4"
;;"5";"van Doorn, D.M.A.";"20";"2";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"3";"1";"1";"2";"0";"1";"2"
;;"6";"Goudzwaard, M.";"16";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"1";"2";"1";"2";"0";"1";"1";"1"
;;"7";"Schyns, P.F.M.";"10";"2";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"8";"Uiterwijk, K.";"53";"7";"0";"0";"0";"1";"1";"2";"1";"0";"0";"0";"0";"3";"7";"7";"0";"0";"3";"1";"8";"1";"2";"2";"2";"5";"0"
;;"9";"Dijksterhuis, R.G.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"van den Berg, D.J.";"16";"4";"4";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0"
;;"11";"Omlo, H.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"12";"Hesselink, S.W.J.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"13";"Nuijten, K.";"5";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"11";"4";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0"
;;"15";"Soltani, M.";"14";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"1";"2";"0";"0";"1";"0";"0"
;;"16";"Baten, L.C.C.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"17";"Kövi, J.J.H.M.";"29";"2";"0";"8";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"4";"0";"2";"1";"0";"4";"1";"0";"0";"0";"2";"2";"0"
;;"18";"Wilson, L.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"19";"van Vugt, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"8";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
;;"21";"Lodders, I.A.G.";"13";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2"
;;"22";"Vos, L.L.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"26";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"7";"1";"0";"0";"3";"1";"2";"0";"2";"0";"0";"0";"2"
;;"27";"Bloemenkamp, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0"
;;"30";"Koetje, J.M.";"10";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0"
;;"31";"Buijs, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"12";"4";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"34";"de Groot, G.P.J.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"36";"Blijlevens, R.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"37";"Pastors, M.G.T.";"6";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"38";"Fortuijn, S.A.F.";"14";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"3";"1";"0";"3";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"23436";"956";"155";"786";"167";"1179";"38";"665";"324";"738";"532";"762";"1967";"442";"601";"4453";"1889";"389";"141";"557";"198";"268";"1169";"410";"1121";"723";"2806"
;;"1";"Stoffer, C.";"20474";"862";"145";"703";"133";"1036";"32";"571";"281";"677";"467";"667";"1729";"393";"506";"3832";"1494";"322";"130";"480";"179";"241";"1034";"374";"959";"658";"2569"
;;"2";"van Dijk, D.J.H.";"743";"23";"2";"22";"4";"36";"2";"36";"9";"16";"15";"23";"77";"10";"33";"160";"79";"11";"3";"22";"4";"5";"47";"8";"29";"14";"53"
;;"3";"Flach, A.J.";"166";"5";"2";"5";"0";"8";"0";"3";"0";"4";"5";"4";"6";"6";"6";"26";"12";"2";"0";"8";"5";"1";"9";"4";"4";"6";"35"
;;"4";"Middelkoop, P.N.";"305";"12";"0";"9";"1";"46";"1";"13";"2";"21";"6";"11";"13";"8";"17";"47";"18";"1";"1";"13";"0";"5";"14";"6";"7";"12";"21"
;;"5";"Vroegindeweij, W.J.";"111";"4";"0";"10";"2";"10";"0";"6";"2";"3";"4";"1";"4";"3";"6";"13";"4";"1";"2";"3";"2";"0";"2";"7";"1";"2";"19"
;;"6";"van der Maas, A.J.";"29";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"6";"0";"1";"1";"7";"1";"0";"0";"0";"0";"1";"0";"1";"0";"4";"2"
;;"7";"van der Wind, H.J.";"623";"7";"1";"16";"14";"7";"0";"8";"18";"9";"15";"16";"10";"7";"6";"27";"229";"39";"2";"10";"1";"9";"36";"3";"84";"13";"36"
;;"8";"Both, D.D.";"274";"2";"2";"2";"1";"2";"0";"1";"3";"1";"1";"9";"11";"2";"1";"215";"5";"1";"0";"1";"1";"3";"2";"0";"5";"1";"2"
;;"9";"Kloosterman, J.";"23";"3";"0";"0";"1";"3";"0";"1";"0";"1";"1";"1";"2";"0";"2";"4";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1"
;;"10";"van Heijst, R.C.";"60";"2";"1";"1";"0";"1";"0";"2";"0";"0";"1";"2";"0";"2";"4";"21";"4";"0";"0";"0";"0";"1";"5";"0";"1";"3";"9"
;;"11";"van der Wulp, A.D.";"10";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Polinder, H.J.";"25";"3";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"7";"3";"0";"0";"1";"1";"1";"0";"0";"1";"0";"2"
;;"13";"Slingerland, M.";"19";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"4";"2";"0";"0";"0";"0";"0";"1";"1";"0";"2";"2"
;;"14";"van Duijn, W.J.";"17";"1";"1";"0";"0";"2";"0";"0";"1";"1";"0";"1";"0";"0";"2";"2";"1";"0";"1";"2";"0";"0";"1";"0";"1";"0";"0"
;;"15";"Barth, L.G.I.";"13";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0";"1"
;;"16";"Lukasse, J.";"14";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"3";"0";"0";"1";"0";"0";"1";"0";"0";"1";"4"
;;"17";"Tanis, J.P.";"21";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"9"
;;"18";"Bosma, E.G.";"60";"7";"0";"8";"0";"0";"2";"8";"0";"0";"0";"0";"3";"3";"2";"7";"9";"2";"0";"2";"0";"0";"0";"0";"6";"0";"1"
;;"19";"Schipaanboord, G.P.";"25";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"4";"5";"0";"0";"4";"1";"0";"0";"0";"1";"0";"3"
;;"20";"Veldman, J.D.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"21";"Hartog, J.";"23";"4";"0";"0";"0";"14";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"22";"Koekoek, J.T.";"25";"1";"0";"0";"0";"4";"0";"0";"1";"0";"1";"1";"2";"2";"3";"3";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"23";"de Knegt, L.";"13";"2";"0";"0";"0";"1";"0";"1";"3";"0";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"24";"van Leeuwen, G.R.";"23";"1";"0";"1";"0";"0";"0";"4";"0";"0";"1";"2";"1";"0";"0";"4";"0";"1";"0";"2";"0";"0";"3";"0";"1";"0";"2"
;;"25";"Bakker, T.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1"
;;"26";"Kok, W.H.";"9";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1"
;;"27";"van Westreenen, S.";"23";"0";"0";"0";"6";"2";"1";"0";"0";"0";"0";"1";"2";"0";"1";"2";"2";"1";"0";"0";"0";"0";"1";"0";"1";"0";"3"
;;"28";"Noordergraaf, P.T.";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
;;"29";"Boersma, A.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"30";"Talen, L.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van de Waerdt, C.J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2"
;;"32";"Bulten, H.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Versteeg, A.";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"34";"Kisteman, L.";"26";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"15";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
;;"36";"van den Dikkenberg, L.C.";"70";"0";"0";"4";"0";"1";"0";"0";"0";"0";"5";"4";"19";"0";"0";"12";"7";"1";"0";"1";"0";"0";"0";"0";"13";"0";"3"
;;"37";"Herweijer, H.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"38";"van Laar, G.J.";"94";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"79";"0";"0";"5";"0";"0";"0";"2";"0";"0";"0";"0";"4";"0";"2"
;;"39";"Scheppink, A.J.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Heteren, R.";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"41";"van den Belt, B.";"12";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2"
;;"42";"van Iwaarden, D.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"43";"van Tuijl, L.O.";"8";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1"
;;"44";"Proos, A.J.";"29";"3";"0";"0";"0";"1";"0";"3";"0";"0";"0";"3";"0";"0";"0";"5";"2";"0";"0";"1";"2";"0";"3";"0";"1";"1";"4"
"13";"DENK";;;"26230";"4202";"251";"386";"63";"127";"30";"314";"139";"80";"96";"6";"154";"907";"12283";"1165";"44";"119";"526";"1084";"1241";"20";"586";"317";"365";"513";"1212"
;;"1";"van Baarle, S.R.T.";"14580";"2776";"166";"223";"50";"104";"24";"213";"104";"54";"69";"5";"114";"614";"5597";"755";"28";"91";"309";"645";"689";"18";"333";"233";"253";"337";"776"
;;"2";"Ergin, D.A.";"1155";"270";"30";"6";"1";"3";"0";"6";"4";"0";"3";"0";"3";"141";"317";"71";"0";"5";"14";"25";"35";"0";"15";"14";"14";"12";"166"
;;"3";"El Abassi, I.";"6934";"719";"25";"115";"6";"8";"3";"47";"14";"17";"18";"0";"24";"51";"4334";"228";"7";"16";"141";"316";"339";"1";"188";"37";"53";"97";"130"
;;"4";"Alrubey, A.";"519";"61";"8";"9";"0";"0";"0";"17";"8";"5";"3";"0";"3";"12";"211";"15";"2";"2";"18";"16";"64";"0";"17";"6";"3";"20";"19"
;;"5";"Gün, E.";"207";"41";"3";"3";"0";"1";"2";"2";"0";"2";"0";"0";"0";"11";"88";"6";"0";"0";"3";"7";"5";"0";"4";"7";"1";"4";"17"
;;"6";"Usta, Y.";"112";"22";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"10";"41";"11";"2";"0";"0";"6";"4";"0";"0";"0";"2";"2";"7"
;;"7";"Rijssel, N.E.";"87";"18";"3";"0";"0";"0";"0";"3";"1";"0";"1";"0";"1";"1";"26";"5";"0";"1";"0";"4";"8";"0";"1";"0";"4";"5";"5"
;;"8";"Maroof, A.";"157";"20";"3";"5";"3";"0";"0";"4";"0";"0";"0";"0";"0";"2";"65";"14";"2";"0";"1";"5";"11";"0";"1";"3";"5";"6";"7"
;;"9";"Mac Intosch, G.J.";"55";"12";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"21";"2";"0";"0";"0";"2";"5";"0";"9";"1";"0";"1";"0"
;;"10";"Safranti, M.";"40";"11";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"15";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8"
;;"11";"Bayrakci, Y.C.";"44";"12";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"18";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"4"
;;"12";"Ghazi, M.I.";"80";"9";"0";"1";"0";"1";"0";"3";"0";"0";"0";"0";"0";"3";"34";"7";"0";"0";"4";"7";"5";"1";"1";"3";"0";"0";"1"
;;"13";"Özçelik, S.";"109";"29";"2";"0";"0";"2";"0";"2";"0";"0";"0";"0";"1";"7";"40";"3";"1";"1";"2";"12";"0";"0";"0";"0";"2";"1";"4"
;;"14";"Kaya, A.";"87";"25";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"19";"19";"7";"0";"0";"4";"1";"1";"0";"0";"1";"1";"0";"6"
;;"15";"Konuksever-Tekin, A.";"61";"13";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"2";"20";"3";"0";"2";"2";"3";"2";"0";"0";"2";"2";"2";"2"
;;"16";"Fkihi, O.";"16";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"7";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0"
;;"17";"Çetinkaya, T.";"43";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"11";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"10"
;;"18";"Şahin, E.";"23";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"11";"2";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"2"
;;"19";"Kahramanoğlu, C.";"14";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Kaplan, Ç.";"9";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"21";"Manhoef, E.E.";"29";"6";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"10";"1";"1";"0";"0";"1";"3";"0";"0";"1";"1";"0";"1"
;;"22";"Tan, C.";"9";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0"
;;"23";"Kondu, F.";"14";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"175";"23";"1";"1";"0";"0";"0";"4";"0";"0";"0";"0";"1";"5";"115";"2";"0";"0";"1";"4";"5";"0";"2";"1";"4";"1";"5"
;;"25";"Ileri, F.";"24";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"15";"1";"0";"0";"2";"0";"1";"0";"1";"0";"0";"1";"0"
;;"26";"Buyatui, H.";"16";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Burik, M.";"78";"5";"0";"1";"0";"0";"0";"1";"1";"2";"1";"0";"0";"1";"51";"2";"0";"0";"1";"2";"6";"0";"0";"1";"0";"2";"1"
;;"28";"Muradin, N.";"25";"4";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"7";"2";"0";"0";"0";"1";"1";"0";"0";"1";"0";"3";"3"
;;"29";"Delener, I.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"3";"2";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Ağirbaş, A.";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"32";"Özcan, R.";"24";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"8";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"5"
;;"33";"Tangali, M.J.";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2"
;;"34";"Othman, R.";"26";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"13";"0";"0";"0";"1";"1";"5";"0";"0";"0";"1";"1";"1"
;;"35";"Yildirim, A.";"26";"7";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"2";"0";"0";"0";"0";"0";"3";"0";"3"
;;"36";"Akhatab, N.";"37";"6";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"14";"2";"1";"0";"0";"1";"1";"0";"1";"0";"0";"3";"2"
;;"37";"Ben Touhami, M.";"47";"8";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"14";"8";"0";"1";"1";"3";"5";"0";"1";"0";"0";"1";"0"
;;"38";"Bal, M.I.";"13";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1"
;;"39";"Pancar, Ş.";"11";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"1"
;;"40";"Akça, S.";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"23";"6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"2"
;;"42";"Icar, N.";"7";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1"
