Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
;;46;Dekker-Abdulaziz, H.;4;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0
;;47;van Driel, M.;7;0;0;0;3;2;0;0;0;1;0;0;1;0;0;0;0;0;0
;;48;Ruijs, L.J.M.;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
;;49;van der Gaag, P.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;50;Bosters, E.L.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;51;Hoevers, J.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;52;van de Vijver, V.F.;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;53;Vemer, P.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;;54;Wallast, R.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;55;André, E.S.;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
;;56;Wesseling, A.;4;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
;;57;Maessen, R.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;58;Schoonen, M.;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
;;59;Pi Van de Venne, P.R.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;60;Jenneskens, M.T.P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;61;Janssen, S.L.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;62;de Vries, L.;5;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0
;;63;Chaban, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;64;Louhenapessij, A.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;65;Nooitmeer, L.I.;5;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;;66;van Essen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;67;Nunnely, J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;68;Türkkol, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;69;van der Voort, P.H.J.;27;0;0;2;1;5;1;0;0;0;0;0;0;2;0;4;2;10;0
;;70;Hendrickx, M.T.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;71;Gräper-van Koolwijk, F.Q.;17;0;0;0;3;5;0;0;0;1;2;1;1;0;1;2;0;0;1
;;72;Weerwind, F.M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;73;van Huffelen, A.C.;5;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0
;;74;Kuipers, E.J.;17;0;0;1;1;5;0;0;0;2;0;0;1;2;1;2;1;1;0
;;75;Ollongren, K.H.;12;0;0;0;3;5;0;2;0;0;1;0;0;0;0;0;0;1;0
;;76;Dijkgraaf, R.H.;75;2;0;1;8;19;1;6;2;11;0;0;1;2;0;14;5;2;1
;;77;Uslu, G.;11;0;1;1;3;2;0;0;0;0;0;0;0;0;0;1;1;2;0
;;78;Pechtold, A.;17;0;0;0;0;6;0;0;0;2;1;0;2;1;1;1;2;0;1
;;79;Terlouw, J.C.;17;0;0;1;2;7;1;0;0;2;0;0;0;3;0;0;0;1;0
;;80;Kaag, S.A.M.;99;1;4;3;15;24;4;4;3;4;3;1;3;4;0;14;6;2;4
3;GROENLINKS / Partij van de Arbeid (PvdA);;;61195;1374;460;1454;5456;17171;2110;2792;240;4982;639;235;1979;2780;1008;8125;3904;4015;2471
;;1;Timmermans, F.C.G.M.;28016;722;226;756;2639;7281;1161;1366;105;2574;304;102;1099;1282;495;3061;1904;1732;1207
;;2;Lahlah, A.;5078;89;54;120;411;1702;163;222;24;423;78;28;190;192;58;539;301;271;213
;;3;Klaver, J.F.;4992;107;33;116;439;1402;210;236;21;465;45;17;194;219;58;552;333;306;239
;;4;Piri, K.P.;1115;22;17;33;89;333;57;48;11;91;17;8;46;36;14;112;72;58;51
;;5;Westerveld, E.M.;3276;73;29;62;267;1079;109;142;14;263;38;26;91;150;47;371;229;181;105
;;6;Patijn, M.H.;198;5;2;3;18;59;2;12;1;10;4;2;4;5;0;25;21;16;9
;;7;Kröger, S.C.;368;3;0;8;37;116;7;20;7;32;8;4;25;14;3;40;19;17;8
;;8;Bushoff, T.J.;477;21;13;2;35;123;29;26;8;78;16;4;20;21;7;22;19;15;18
;;9;van der Lee, T.M.T.;76;1;1;2;9;23;1;4;1;10;1;0;1;4;0;8;3;5;2
;;10;Mutluer, S.;107;2;0;3;12;47;1;2;0;7;1;0;1;1;1;14;5;5;5
;;11;Bromet, L.;615;9;5;16;45;223;16;31;3;34;13;6;26;23;8;67;39;31;20
;;12;de Hoop, H.E.;12231;226;48;250;1099;2888;202;504;13;671;41;12;151;616;234;2905;786;1156;429
;;13;Maatoug, S.;134;0;2;5;10;61;2;4;0;9;4;2;3;2;1;9;7;9;4
;;14;Mohandis, M.;63;0;0;2;10;23;1;2;1;6;1;0;2;1;3;3;0;2;6
;;15;Gabriëls, G.J.W.;34;2;1;1;2;13;1;1;0;3;3;1;0;3;1;0;1;1;0
;;16;Thijssen, J.;32;1;0;1;2;11;0;1;0;5;1;0;1;2;0;0;6;1;0
;;17;Bouchallikh, K.;155;4;0;5;9;61;5;2;0;14;4;0;4;2;1;21;7;11;5
;;18;Kathmann, B.C.;71;1;2;1;6;21;3;3;0;7;1;1;4;2;1;7;2;5;4
;;19;Slagt-Tichelman, E.;342;4;3;2;29;82;62;19;5;32;3;2;19;16;4;22;13;12;13
;;20;Tseggai, M.;89;0;0;1;5;34;0;2;0;8;0;0;2;4;5;12;2;6;8
;;21;White, R.J.;25;1;0;0;3;11;0;1;0;1;0;0;1;3;0;2;1;1;0
;;22;Pijpelink, A.;113;0;1;2;17;41;1;2;2;10;4;0;7;4;0;10;5;4;3
;;23;Chakor, G.;550;22;5;6;43;212;18;29;11;61;5;2;12;24;13;33;15;23;16
;;24;Nordkamp, J.;23;0;2;0;2;10;1;0;0;2;1;0;1;0;0;2;1;1;0
;;25;Stultiens, L.C.J.;25;0;0;0;2;12;0;0;0;3;0;1;0;2;0;1;2;2;0
;;26;Haage, M.W.;220;4;4;2;18;78;5;8;0;9;4;0;10;17;3;32;5;10;11
;;27;Hirsch, D.H.;297;1;4;1;14;126;2;8;7;22;10;6;7;18;6;34;15;10;6
;;28;de Jong, H.A.;62;0;0;2;2;19;1;0;0;2;0;0;2;5;0;24;1;3;1
;;29;Postma, J.P.;13;3;0;1;2;1;0;0;0;0;0;0;0;0;0;3;1;1;1
;;30;Oosting, I.;237;8;0;7;27;81;11;16;2;11;6;2;11;1;5;25;10;8;6
;;31;de Boer, M.M.;75;2;1;2;5;29;3;0;0;4;2;0;3;1;2;9;4;3;5
;;32;Daenen, J.W.B.;9;1;0;0;0;4;0;1;0;2;0;0;0;0;0;1;0;0;0
;;33;Ranshuijsen, A.B.;94;1;0;5;5;45;5;6;0;3;1;1;0;4;1;5;2;6;4
;;34;Köseoglu, E.;70;1;1;0;5;34;2;2;1;0;3;1;2;2;1;6;2;3;4
;;35;van Roemburg, E.T.W.;25;1;0;0;4;9;2;1;0;1;0;0;0;0;2;0;2;1;2
;;36;Nessar, A.;8;0;0;0;0;2;1;0;0;1;1;0;0;0;0;3;0;0;0
;;37;Muns, L.;14;0;0;1;0;6;3;0;0;1;0;0;0;0;0;2;1;0;0
;;38;Vrolijks, I.L.;143;3;0;6;13;61;2;3;0;9;1;0;2;7;3;14;11;3;5
;;39;Smits, P.L.;12;1;0;0;1;3;0;0;0;1;0;0;0;0;2;1;1;0;2
;;40;Nabih, M.;13;0;0;0;2;8;0;0;0;1;0;0;0;0;0;2;0;0;0
;;41;Rietveld, M.D.;5;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0
;;42;Torunoglu, Y.;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;2;1;0
;;43;de Bruijn, E.;77;0;0;0;5;27;4;2;2;7;1;0;5;5;0;8;4;6;1
;;44;Bosman, E.M.;16;1;0;2;3;1;0;0;0;1;1;0;0;1;4;0;0;2;0
;;45;Kuipers, C.M.;1426;28;4;25;92;705;16;60;1;82;11;7;21;85;22;100;42;77;48
;;46;van Schalkwijk, M.W.;28;0;1;0;4;10;0;3;0;0;0;0;1;2;0;3;0;4;0
;;47;Boshove, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Meijerink, E.G.;52;2;1;2;7;13;0;2;0;2;2;0;7;1;2;4;4;2;1
;;49;de Vries, J.H.;17;1;0;1;0;9;0;0;0;0;0;0;1;0;0;3;0;2;0
;;50;Hümmels, Y.A.;68;1;0;0;6;28;1;1;0;2;3;0;3;3;1;4;4;2;9
4;PVV (Partij voor de Vrijheid);;;102524;6157;608;2841;7374;16623;4572;4558;105;8387;764;146;4766;5164;3707;13185;8540;7210;7817
;;1;Wilders, G.;91789;5662;561;2563;6508;14628;4115;4065;90;7459;671;121;4398;4564;3369;11731;7694;6468;7122
;;2;Agema, M.;5441;211;30;158;404;1080;248;216;7;379;63;10;220;289;176;784;487;368;311
;;3;van Meetelen, R.F.;203;4;3;8;20;34;8;5;0;23;3;1;6;11;8;26;13;11;19
;;4;Markuszower, G.;55;1;0;0;6;16;1;3;0;2;0;0;1;3;0;9;3;5;5
