Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
;;42;Bos-Zandstra, K.J.;393;24;2;1;26;28;28;90;0;66;1;1;7;32;9;25;17;11;25
;;43;Egelmeers, P.C.J.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0
;;44;Baltus, A.W.M.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;45;van der Wereld-Verkerk, P.C.;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
;;46;Schoone, L.;20;1;1;1;1;6;1;1;1;1;0;0;0;0;0;4;1;0;1
;;47;Spätgens, J.M.;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;48;Zeedzen, D.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Bouma, S.B.;511;3;1;6;31;33;4;10;0;8;1;0;9;9;1;305;62;25;3
;;50;Talsma, A.;496;10;3;4;14;73;5;17;1;11;0;0;1;34;26;72;35;142;48
16;BIJ1;;;685;10;1;20;46;311;21;15;0;77;4;0;13;25;9;61;22;28;22
;;1;Olf, E.M.;220;3;0;10;16;98;8;8;0;20;1;0;4;9;3;17;7;6;10
;;2;Mc Cray, L.;140;1;1;0;4;62;6;3;0;27;0;0;1;2;4;14;4;9;2
;;3;Salmi, L.;60;3;0;1;7;27;1;1;0;3;0;0;1;3;0;6;3;4;0
;;4;Courtar, G.O.;29;1;0;1;4;13;1;0;0;2;0;0;0;1;0;4;0;2;0
;;5;de Miranda, E.N.;26;0;0;1;1;12;0;0;0;6;0;0;2;1;0;2;0;0;1
;;6;Berend, C.E.W.R.;64;0;0;3;6;29;3;0;0;6;0;0;1;2;0;5;5;2;2
;;7;Luhrs, Y.;22;1;0;0;2;10;0;0;0;4;0;0;1;0;0;0;0;2;2
;;8;Gal, Y.;5;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;ten Caat, J.;6;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2
;;10;Zandee, J.I.N.;18;0;0;0;0;7;0;1;0;4;0;0;1;3;0;2;0;0;0
;;11;Bakker, D.L.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wienen, R.D.;21;1;0;1;0;9;2;0;0;1;0;0;0;1;0;3;1;1;1
;;13;Bijleveld, D.;32;0;0;2;2;17;0;0;0;2;1;0;0;2;2;3;0;0;1
;;14;Vrede, R.I.;14;0;0;1;0;10;0;0;0;1;1;0;0;0;0;1;0;0;0
;;15;Timmer, R.S.Y.;26;0;0;0;3;11;0;2;0;1;1;0;1;0;0;3;2;1;1
17;Piratenpartij - De Groenen;;;377;7;5;11;29;104;6;15;3;28;7;2;12;20;15;41;23;28;21
;;1;van Treuren, M.A.;188;4;1;6;16;44;2;6;3;10;3;2;8;6;8;23;13;19;14
;;2;Sadloe, S.;51;1;1;2;4;16;0;2;0;2;2;0;2;4;1;4;2;3;5
;;3;van Zwoll, R.M.E.;13;0;0;0;0;4;1;1;0;1;1;0;1;0;0;2;1;1;0
;;4;Pontier, M.A.;10;0;0;0;2;3;2;1;0;2;0;0;0;0;0;0;0;0;0
;;5;Brandsma, W.A.;64;1;3;0;1;24;1;2;0;7;0;0;0;7;5;6;3;3;1
;;6;ter Haar, O.H.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;7;Zimmerman, H.K.;5;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0
;;8;van Rijn, M.P.;6;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;1;0;0
;;9;Berendsen, P.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Yadegari, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;Pot, A.A.M.;11;0;0;1;0;2;0;2;0;0;0;0;0;1;0;2;1;2;0
;;12;Werner, D.R.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Deijk, D.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Russchenberg, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hallegraeff, D.S.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Bresser, A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Abendroth, A.M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Darvish-Zadeh, P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Schrama, D.D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Werner-Wafelman, L.S.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Plesa, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bouma, E.;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
;;23;Bethlehem, C.;5;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;24;Dekkers, S.A.P.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;25;van Nes, T.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Linnenbank, A.C.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;27;Braun, P.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Doting, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Teders, N.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Bakkers, T.F.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Gelderen, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;baron van Till, J.W.J.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Breemen, W.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;34;Blaak, M.G.M.H.;5;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0
18;BVNL / Groep Van Haga;;;3450;121;14;70;245;494;151;217;2;263;27;3;134;228;130;498;326;241;286
;;1;van Haga, W.R.;2072;82;6;55;131;284;90;116;1;176;18;0;80;116;75;315;209;162;156
;;2;Krol, H.C.M.;67;1;1;2;1;15;8;3;0;7;1;0;4;2;1;9;4;4;4
;;3;van Keimpema, J.S.;504;13;6;4;43;60;28;55;0;23;4;0;31;28;10;75;57;34;33
;;4;Dercksen, R.G.J.;5;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1
;;5;Koopmans - van der Veen, W.J.;327;8;0;2;16;54;10;16;0;19;3;3;3;53;19;45;26;27;23
;;6;van Aalst, R.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;7;Emons, I.M.A.;9;0;0;0;0;3;1;0;0;0;0;0;0;0;2;0;2;1;0
;;8;Shahbazi Fishtali, S.;14;0;0;0;1;3;0;4;0;0;0;0;0;2;0;0;2;0;2
;;9;de Kok, A.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;van Tellingen, H.P.;5;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
;;11;van der Velden, P.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Ramautarsing, Y.J.S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Bosscher, C.J.;9;0;0;0;2;2;0;0;0;0;0;0;0;1;0;2;1;0;1
;;14;Wijnschenk, H.H.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hulleman, S.P.X.;91;3;0;3;11;12;1;6;0;9;0;0;6;2;1;16;10;5;6
;;16;Schuiling, A.;5;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0
;;17;van der Veen, T.A.;54;4;0;0;0;13;2;3;0;5;0;0;1;3;6;2;0;0;15
;;18;Schilder, P.C.J.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;19;Vogelzang, S.J.;31;1;0;0;0;1;1;1;1;0;1;0;0;4;3;5;3;0;10
;;20;Pestman, R.J.E.;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0
;;21;Vulders, S.;5;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van der Wiele, D.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Brunke, R.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Gorter-de Vos, M.;47;1;0;0;19;1;1;5;0;2;0;0;5;0;0;7;4;2;0
;;25;van Dalen, E.H.;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;26;Wiersma, K.J.;14;1;0;1;0;6;0;0;0;0;0;0;0;5;0;0;0;0;1
;;27;van Kassel, P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Wymenga-Kooistra, G.;29;1;0;0;1;0;6;3;0;13;0;0;0;1;0;2;2;0;0
;;29;Jonk, S.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Zuidema, C.;18;1;0;0;1;4;0;0;0;1;0;0;0;4;0;2;1;1;3
;;31;van der Meeren, C.J.R.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Mensing, C.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Durlacher, F.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Dienjes, C.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Bekker, M.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;36;Laarhoven, E.L.O.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Eradus, R.F.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Westhoff, R.J.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;39;Beverloo, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van Buuren, M.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;41;Overeem, A.C.;32;2;1;0;4;10;0;0;0;2;0;0;3;0;4;3;2;1;0
;;42;Thiessens, F.B.M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Brouwer, A.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Manders, T.T.A.J.;7;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
;;45;Filippini, L.T.C.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Verweij, D.W.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;47;Elens, R.B.;15;0;0;0;4;5;1;0;0;2;0;0;0;1;1;0;0;0;1
;;48;Rolloos, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Talsma, J.;57;1;0;1;3;5;0;2;0;1;0;0;1;4;8;5;0;1;25
;;50;Smolders, H.A.J.;3;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
19;Nieuw Sociaal Contract;;;68451;3004;545;1505;4815;10715;2584;3060;125;5888;541;122;2448;4047;2383;9717;5637;5221;6094
;;1;Omtzigt, P.H.;57163;2543;460;1331;4140;9023;2297;2603;106;5071;484;105;2233;3092;1765;8349;4886;4455;4220
;;2;van Vroonhoven-Kok, J.N.;1837;55;29;60;155;387;68;94;7;173;14;4;87;82;27;263;141;128;63
;;3;Uitermark, J.J.M.;458;11;2;10;37;88;10;27;1;40;8;5;8;35;14;64;27;38;33
;;4;Veldkamp, C.C.J.;95;4;0;5;4;16;8;2;0;2;2;0;4;5;11;10;9;6;7
;;5;Palmen-Schlangen, S.T.P.H.;270;6;2;7;23;53;7;14;2;19;2;2;6;14;5;38;29;26;15
;;6;van Hijum, Y.J.;135;2;2;4;3;30;1;6;0;8;0;0;4;3;1;32;23;5;11
;;7;Soepboer, A.J.;6993;335;20;73;331;793;101;241;2;425;11;1;52;752;532;752;420;482;1670
;;8;Joseph, A.S.;60;0;0;0;7;18;1;4;0;4;0;0;1;2;2;11;5;0;5
;;9;Six Dijkstra, J.P.S.;52;0;0;0;5;8;0;1;0;0;1;0;3;1;0;5;4;21;3
;;10;Welzijn, R.M.;51;0;0;2;7;14;2;4;0;3;1;0;1;1;0;2;5;4;5
;;11;Postma, W.L.;68;2;0;0;5;11;4;2;0;4;1;0;0;4;2;17;5;7;4
;;12;Zeedijk-Raeven, F.A.;33;1;5;0;2;10;0;1;0;3;0;0;2;0;1;3;2;1;2
;;13;Idsinga, F.L.;39;2;0;0;1;8;1;2;0;6;1;0;1;3;2;5;6;0;1
;;14;Jansen, D.E.M.C.;382;16;7;1;29;85;24;22;1;69;4;3;12;14;9;30;25;15;16
;;15;van Oostenbruggen, T.;12;1;0;0;0;0;1;0;0;1;0;0;1;0;0;5;1;1;1
;;16;Kahraman, I.;13;0;0;0;1;2;1;1;0;1;0;0;1;1;1;2;2;0;0
;;17;Hertzberger, R.Y.;110;0;0;2;9;32;8;5;1;8;2;0;6;5;0;16;9;4;3
;;18;Bruyning, F.H.;37;0;0;2;3;12;2;1;1;0;0;0;2;2;2;8;0;2;0
;;19;van Dijk, O.C.;9;0;0;0;0;2;0;0;0;3;0;0;0;0;0;1;2;1;0
;;20;Holman, H.;77;8;0;0;4;6;19;5;0;4;0;0;7;2;2;8;6;4;2
;;21;Boomsma, D.T.;17;0;0;1;1;5;1;1;0;1;0;0;0;2;0;2;2;1;0
;;22;Heite, A.;266;9;13;4;20;51;12;15;4;21;5;2;7;16;2;45;12;10;18
;;23;Saris, I.G.;46;2;2;1;4;15;1;1;0;3;0;0;0;1;1;12;1;1;1
;;24;Wingelaar, N.T.P.;11;0;0;0;1;3;0;0;0;0;0;0;1;0;0;3;2;1;0
;;25;Koops, W.J.;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;26;Achahbar, N.;22;1;0;1;2;4;0;0;0;1;1;0;0;1;0;5;2;2;2
;;27;van Waveren, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;de Korte-Verhoef, M.C.;11;0;0;0;3;1;0;1;0;1;0;0;0;0;0;1;2;1;1
;;29;Boelhouwer, N.P.;21;0;0;0;2;5;0;1;0;1;1;0;0;1;0;7;0;1;2
;;30;Schouten, M.A.C.;5;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0
;;31;Kouwenhoven, A.J.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;32;Verouden, V.C.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Heine, J.A.H.;44;0;1;0;4;9;9;3;0;7;0;0;4;2;1;2;1;1;0
;;34;Pouwelse, S.F.W.;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;35;de Leeuw-Jongejans, M.M.;10;0;0;0;3;1;1;1;0;0;0;0;0;0;0;3;1;0;0
;;36;Hartog, I.C.;14;1;0;0;4;3;0;0;0;0;0;0;1;0;0;1;1;2;1
;;37;van Bruchem, R.H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van de Ven, M.A.A.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;39;de Neijs, E.D.E.;10;0;0;0;1;3;1;0;0;3;0;0;0;0;1;0;1;0;0
;;40;Hassoo, W.;19;0;0;1;3;3;0;0;0;2;0;0;1;0;0;4;3;0;2
;;41;Graafland-van Duijn, M.A.;26;2;2;0;1;5;3;1;0;2;1;0;1;2;1;2;1;0;2
;;42;den Hartogh, A.;8;0;0;0;0;1;0;0;0;0;0;0;0;4;0;2;0;0;1
;;43;Wessels, R.;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
;;44;Geleijnse, S.;14;2;0;0;0;2;0;0;0;0;1;0;2;0;0;3;1;1;2
20;Splinter;;;437;7;2;15;35;125;9;19;0;27;5;2;17;17;9;56;29;40;23
;;1;van Kooten-Arissen, F.M.;320;4;2;7;29;96;7;9;0;20;3;1;13;14;8;39;25;26;17
;;2;Ipenburg, N.;28;1;0;2;3;7;0;1;0;1;0;0;1;1;1;5;2;1;2
;;3;Bogers, T.J.;5;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1
;;4;Vos, J.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;5;Jansma, D.M.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Mu'ayyed Mir-Damádi, N.;6;0;0;1;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0
;;7;Rasenberg, N.E.;6;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;2;0
;;8;Janssen, P.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;van der Weide, Y.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Wehnes, E.;23;0;0;3;1;4;1;2;0;0;0;0;0;0;0;3;1;8;0
;;11;de Backer, R.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hoedeman, A.D.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
;;13;Rechards, B.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;14;Weyers, J.A.W.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;15;van Dam, G.A.J.;18;1;0;1;1;4;0;2;0;4;0;0;2;1;0;1;0;0;1
;;16;Abrahams, J.M.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kuin, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Gerritsen, M.C.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Leijendekkers, L.S.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Ruiter, T.K.;7;0;0;0;0;2;1;2;0;1;0;0;0;0;0;1;0;0;0
;;21;Pijnenburg, G.A.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;22;Schot, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Ezendam, N.;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;24;Peeters, L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Groot, D.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van den Heuvel-Łuczycki, M.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bruijstens, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Keizer, M.B.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;29;Gol, T.M.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;de Koning, T.;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Keyser, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;LP (Libertaire Partij);;;182;9;0;2;18;50;9;8;1;13;1;1;4;7;2;20;15;11;11
;;1;van Lamoen, T.J.;126;7;0;1;14;28;8;6;1;11;1;1;2;4;2;14;12;6;8
;;2;Burggraaf, B.W.;4;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0
;;3;Verhagen, P.H.;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
;;4;Zijlstra, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;5;Meijer, T.D.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Huijs, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Pailer, S.;13;1;0;1;1;4;1;1;0;0;0;0;0;0;0;1;0;1;2
;;8;Loman, W.P.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van den Brink, G.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Backhuijs, W.Q.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Koopmans, S.F.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wassenaar, K.J.;29;1;0;0;2;12;0;0;0;2;0;0;0;2;0;4;1;4;1
;;13;Noortman, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Visser, P.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Mens, R.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Brokke, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kleinsmit, H.T.J.;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
;;18;Hartkamp, P.L.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Vermeulen, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;LEF - Voor de Nieuwe Generatie;;;202;7;1;3;12;66;12;12;1;15;2;0;9;9;2;15;15;12;9
;;1;van Duijn, D.C.;82;2;0;3;4;23;6;5;0;9;2;0;5;2;1;4;8;3;5
;;2;Zantman, N.M.;71;4;0;0;3;28;1;5;0;4;0;0;2;6;0;7;3;6;2
;;3;Neijts, Z.V.;12;0;1;0;1;4;3;0;0;1;0;0;0;1;0;1;0;0;0
;;4;Wijnker, M.I.;11;0;0;0;0;4;1;1;1;0;0;0;2;0;0;1;0;0;1
;;5;Bloem, J.F.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van Westerlaak, R.M.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van Diest, Y.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;8;Kherrazi, W.;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Pont, I.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Torres Noordenbos, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Gunning, M.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Berends, M.C.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Pickkers, L.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;14;Sjiem-Fat, S.D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Hulst, P.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Bijl, L.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
;;17;Twaalfhoven, M.;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;18;Melis, E.M.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;van Die, B.L.Y.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;van Rooij, M.H.M.;4;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Samen voor Nederland;;;263;16;3;8;14;38;15;8;1;29;4;0;17;14;8;28;23;20;17
;;1;Reijinga, M.;109;3;2;1;5;23;2;7;0;10;1;0;6;5;4;11;10;11;8
;;2;You-ala, S.;28;0;1;3;0;8;0;0;1;1;1;0;2;0;2;3;1;2;3
;;3;ten Seldam, W.;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
;;4;Olde Kalter, D.H.;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
;;5;Verspeek, M.R.;5;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;6;Huzen, J.;57;4;0;1;4;3;8;1;0;13;0;0;8;2;1;2;3;1;6
;;7;Buijs, L.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Vaneker, N.C.;3;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Kuiper, T.R.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Berndsen, V.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Bosman, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van den Berg, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Dekker, C.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Seijffert-Wubbels, J.M.;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
;;15;Korving, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Wagt, B.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Pluijm, D.L.L.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Verspeek, M.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Ebbers, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Timmer, B.;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Ijben, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bink, S.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;23;Roebersen, F.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;24;Ottenhoff, R.S.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Honders, A.J.;32;3;0;1;3;1;1;0;0;2;0;0;1;3;1;8;3;5;0
