"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"68";"Bruin, R.N.";"11";"0";"6";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"69";"van 't Hull-Bettink, G.D.W.";"14";"0";"1";"1";"1";"0";"0";"0";"0";"3";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"10";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"1";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"11";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1"
;;"73";"Van der Sanden, M.M.E.";"8";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"74";"Rodoe, H.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"75";"Schollink, C.D.";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
;;"76";"de Wolff, I.";"12";"0";"3";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"13";"1";"3";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0";"0"
;;"78";"Yildirim, M.";"12";"0";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"79";"Mulder, H.";"46";"1";"8";"2";"1";"3";"0";"3";"0";"2";"1";"1";"1";"0";"0";"0";"2";"3";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"3";"3";"1";"0";"0";"1";"1";"1";"1";"3"
;;"80";"van der Weijden, M.";"271";"4";"39";"24";"13";"4";"1";"7";"9";"15";"4";"7";"3";"5";"2";"2";"3";"13";"2";"5";"15";"14";"2";"2";"5";"9";"2";"6";"5";"10";"0";"4";"7";"9";"9";"1";"7";"2"
"2";"D66";;;"54341";"717";"6057";"7330";"829";"797";"457";"2119";"996";"3688";"337";"1005";"800";"1561";"485";"464";"1730";"1178";"334";"394";"1956";"2058";"159";"159";"893";"2416";"517";"899";"1586";"2174";"459";"1059";"958";"2210";"2203";"1209";"1161";"987"
;;"1";"Jetten, R.A.A.";"37878";"466";"4147";"4993";"585";"588";"334";"1542";"734";"2502";"237";"743";"570";"1074";"351";"337";"1266";"811";"225";"285";"1396";"1467";"114";"115";"636";"1514";"379";"473";"1156";"1540";"333";"766";"638";"1588";"1568";"877";"796";"732"
;;"2";"Paternotte, J.M.";"1507";"20";"201";"203";"21";"20";"15";"50";"23";"124";"10";"27";"20";"53";"8";"13";"44";"33";"11";"10";"48";"64";"6";"3";"23";"69";"11";"23";"40";"64";"17";"21";"18";"61";"54";"29";"34";"16"
;;"3";"Vijlbrief, J.A.";"722";"13";"94";"90";"9";"7";"5";"16";"9";"57";"3";"13";"9";"17";"9";"6";"41";"21";"6";"3";"41";"25";"4";"6";"9";"29";"6";"7";"11";"50";"5";"8";"4";"21";"30";"22";"10";"6"
;;"4";"Podt, A.";"5155";"53";"645";"740";"86";"62";"40";"177";"95";"414";"40";"99";"83";"194";"57";"50";"127";"170";"36";"34";"176";"194";"17";"19";"104";"245";"43";"33";"133";"209";"45";"60";"64";"191";"195";"50";"101";"74"
;;"5";"Sneller, J.C.";"123";"0";"17";"21";"1";"2";"0";"2";"1";"8";"0";"1";"1";"5";"0";"1";"3";"3";"2";"0";"6";"2";"0";"0";"1";"9";"0";"0";"3";"4";"1";"8";"2";"3";"6";"3";"5";"2"
;;"6";"Rooderkerk, I.";"609";"11";"71";"113";"13";"6";"1";"13";"9";"50";"5";"11";"14";"28";"5";"4";"15";"13";"6";"8";"20";"20";"0";"1";"8";"43";"5";"5";"12";"17";"6";"9";"6";"18";"24";"2";"9";"8"
;;"7";"Paulusma, W.";"610";"5";"79";"71";"9";"8";"6";"15";"11";"51";"7";"16";"12";"26";"4";"4";"27";"22";"7";"0";"20";"34";"0";"0";"11";"37";"5";"5";"12";"24";"2";"13";"8";"13";"18";"12";"11";"5"
;;"8";"van der Werf, J.J.";"680";"8";"82";"90";"6";"8";"5";"39";"10";"42";"2";"7";"8";"24";"10";"3";"18";"10";"4";"5";"17";"21";"4";"2";"8";"39";"3";"9";"14";"28";"7";"15";"24";"20";"15";"43";"14";"16"
;;"9";"Bamenga, P.";"142";"1";"16";"27";"1";"1";"0";"3";"0";"12";"1";"2";"0";"10";"1";"1";"5";"0";"2";"0";"4";"8";"0";"0";"2";"15";"0";"2";"3";"6";"0";"2";"1";"10";"3";"1";"2";"0"
;;"10";"de Groot, T.C.";"355";"5";"35";"39";"7";"4";"2";"10";"3";"23";"0";"11";"2";"4";"0";"3";"20";"6";"0";"3";"14";"26";"1";"0";"3";"50";"1";"0";"6";"19";"5";"4";"6";"8";"15";"6";"7";"7"
;;"11";"Synhaeve, M.";"1444";"11";"92";"298";"22";"21";"14";"38";"31";"86";"4";"10";"12";"16";"7";"5";"27";"17";"7";"16";"72";"50";"5";"3";"8";"103";"19";"4";"43";"23";"8";"8";"9";"149";"142";"12";"24";"28"
;;"12";"van Ginneken, L.M.";"593";"4";"64";"95";"17";"5";"2";"4";"10";"53";"5";"6";"7";"26";"3";"7";"22";"22";"6";"3";"20";"13";"0";"1";"10";"51";"1";"3";"13";"18";"7";"13";"6";"30";"29";"5";"6";"6"
;;"13";"Belhaj, S.";"250";"4";"30";"43";"3";"6";"1";"2";"4";"21";"3";"3";"6";"13";"2";"0";"7";"3";"0";"4";"13";"12";"2";"0";"2";"18";"1";"5";"8";"6";"3";"2";"1";"5";"11";"2";"3";"1"
;;"14";"Boulakjar, F.";"42";"0";"5";"9";"0";"0";"0";"1";"0";"8";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"1";"0";"0";"4";"5";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"15";"Sahla, F.";"65";"0";"5";"13";"2";"1";"0";"4";"2";"8";"1";"2";"0";"3";"0";"0";"1";"0";"0";"1";"2";"3";"0";"0";"3";"6";"1";"2";"0";"1";"0";"1";"0";"0";"1";"0";"0";"2"
;;"16";"Klos, F.C.O.";"46";"0";"3";"11";"3";"0";"1";"0";"2";"6";"1";"0";"1";"1";"0";"0";"0";"0";"2";"0";"5";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1";"1";"3";"1";"0"
;;"17";"Kat, H.";"95";"0";"14";"21";"1";"1";"0";"3";"1";"10";"1";"1";"1";"9";"2";"1";"2";"0";"0";"0";"5";"3";"0";"0";"0";"9";"0";"0";"0";"4";"1";"0";"1";"2";"2";"0";"0";"0"
;;"18";"Warmerdam, S.";"18";"0";"2";"4";"1";"1";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"19";"Alberg, S.T.";"53";"0";"4";"14";"2";"0";"2";"0";"2";"4";"1";"1";"0";"1";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1";"8";"0";"0";"1";"3";"0";"1";"0";"2";"0";"0";"1";"1"
;;"20";"Hammelburg, A.R.";"26";"0";"5";"3";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"21";"Hollander, J.";"98";"0";"11";"17";"1";"0";"0";"3";"0";"8";"1";"3";"2";"3";"2";"3";"2";"5";"1";"1";"2";"4";"1";"2";"0";"7";"1";"0";"2";"2";"2";"2";"2";"2";"4";"0";"2";"0"
;;"22";"ten Dolle, L.";"1387";"95";"31";"62";"2";"10";"7";"120";"10";"21";"1";"2";"3";"9";"0";"1";"45";"3";"1";"2";"5";"22";"0";"0";"13";"17";"10";"317";"22";"42";"0";"98";"143";"15";"9";"112";"98";"39"
;;"23";"Blommers, D.";"54";"1";"5";"11";"3";"0";"0";"0";"1";"6";"0";"0";"1";"0";"0";"0";"2";"1";"1";"0";"2";"1";"1";"0";"0";"4";"0";"0";"3";"4";"1";"1";"1";"0";"4";"0";"0";"0"
;;"24";"van Breugel, C.";"98";"0";"15";"11";"4";"1";"1";"1";"3";"9";"1";"1";"2";"2";"0";"0";"1";"8";"3";"1";"4";"2";"0";"1";"0";"11";"5";"0";"6";"1";"0";"0";"0";"3";"1";"0";"0";"0"
;;"25";"Teunissen, J.C.M.";"20";"0";"6";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2"
;;"26";"Çimen, M.";"36";"0";"4";"7";"0";"0";"0";"1";"0";"3";"0";"1";"0";"4";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"2";"1";"3";"0";"0";"1";"2";"0";"1"
;;"27";"Oualhadj, A.";"23";"0";"5";"3";"1";"1";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"1";"0"
;;"28";"Putuhena, M.";"29";"0";"1";"4";"1";"0";"1";"3";"1";"5";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
;;"29";"Keij, E.J.";"24";"0";"2";"6";"1";"0";"1";"1";"0";"4";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1"
;;"30";"Brink, V.J.";"30";"0";"4";"3";"1";"0";"1";"3";"0";"1";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"1";"1";"0";"0";"1";"2";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0"
;;"31";"van Dorst, P.A.";"18";"0";"1";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1";"0";"0"
;;"32";"Wijnja, G.H.";"24";"0";"3";"2";"0";"2";"0";"1";"0";"1";"1";"0";"0";"0";"2";"0";"3";"0";"3";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"33";"de Vries, M.M.";"30";"1";"4";"5";"0";"0";"2";"0";"1";"1";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"1";"3";"0";"0";"1";"0";"1";"0";"1";"1"
;;"34";"Schoonbeek, F.";"9";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2"
;;"35";"Mathlouti, M.";"6";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
;;"37";"Koops, J.H.";"9";"0";"1";"4";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Hagen, K.B.";"122";"3";"11";"24";"3";"5";"0";"5";"0";"12";"0";"3";"5";"3";"5";"1";"1";"0";"0";"2";"4";"6";"0";"0";"4";"4";"0";"1";"6";"2";"2";"0";"0";"2";"5";"0";"1";"2"
;;"39";"Hiemstra, G.J.";"8";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"18";"0";"0";"4";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1";"1"
;;"41";"Tjeerdema, H.";"6";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Woudstra, E.";"9";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"43";"Olsthoorn, A.";"9";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"44";"van Peski, C.J.";"12";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"2";"2";"1";"1"
;;"45";"van Hattum, B.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"37";"1";"3";"9";"0";"2";"0";"0";"0";"6";"0";"0";"0";"1";"0";"1";"0";"1";"2";"2";"0";"1";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1"
;;"47";"van Driel, M.";"27";"0";"2";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"1";"3";"1";"0";"0";"3";"3";"1";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"0";"0"
;;"48";"Ruijs, L.J.M.";"185";"3";"6";"19";"2";"3";"1";"19";"11";"5";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"5";"8";"0";"0";"1";"3";"5";"2";"52";"2";"0";"6";"0";"5";"2";"3";"7";"13"
;;"49";"van der Gaag, P.J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"37";"0";"1";"9";"0";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"9";"5";"0";"0";"0"
;;"51";"Hoevers, J.";"5";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"52";"van de Vijver, V.F.";"14";"0";"3";"3";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"53";"Vemer, P.";"7";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"54";"Wallast, R.D.";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"268";"0";"184";"10";"3";"8";"0";"2";"0";"6";"1";"2";"2";"2";"0";"2";"5";"0";"0";"1";"0";"10";"0";"0";"5";"1";"0";"1";"1";"15";"2";"0";"0";"3";"0";"1";"1";"0"
;;"56";"Wesseling, A.";"9";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
;;"57";"Maessen, R.J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"4";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"60";"Jenneskens, M.T.P.";"11";"0";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
;;"61";"Janssen, S.L.J.";"5";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"106";"0";"1";"23";"0";"2";"1";"6";"12";"2";"1";"0";"1";"0";"2";"0";"2";"0";"0";"0";"4";"8";"1";"0";"0";"2";"10";"0";"5";"1";"0";"3";"0";"9";"4";"1";"2";"3"
;;"63";"Chaban, S.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"64";"Louhenapessij, A.F.";"18";"0";"3";"1";"0";"0";"0";"0";"0";"6";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"33";"0";"2";"6";"0";"0";"0";"1";"0";"5";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"2";"2";"0";"1";"2";"1";"1";"1";"1";"0";"0";"0";"1"
;;"66";"van Essen, J.";"11";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0"
;;"67";"Nunnely, J.M.";"8";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"7";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van der Voort, P.H.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Hendrickx, M.T.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"71";"Gräper-van Koolwijk, F.Q.";"11";"0";"2";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"72";"Weerwind, F.M.";"11";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"van Huffelen, A.C.";"21";"0";"4";"4";"0";"1";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0"
;;"74";"Kuipers, E.J.";"71";"2";"8";"10";"0";"0";"1";"4";"0";"0";"3";"15";"5";"1";"0";"2";"3";"2";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"3";"2";"0";"0";"1";"4";"0";"0";"1";"0"
;;"75";"Ollongren, K.H.";"45";"0";"2";"6";"0";"0";"1";"0";"0";"8";"0";"0";"6";"1";"0";"1";"1";"1";"0";"1";"3";"2";"0";"0";"1";"0";"0";"1";"2";"4";"0";"0";"0";"1";"1";"2";"0";"0"
;;"76";"Dijkgraaf, R.H.";"217";"4";"26";"34";"1";"3";"3";"6";"3";"19";"1";"5";"3";"7";"2";"1";"8";"4";"0";"1";"10";"10";"0";"0";"1";"13";"3";"2";"3";"14";"1";"2";"3";"6";"6";"1";"8";"3"
;;"77";"Uslu, G.";"28";"1";"2";"7";"0";"2";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"1";"2";"1";"0";"1";"0";"1";"0";"0";"0"
;;"78";"Pechtold, A.";"147";"1";"11";"24";"2";"1";"1";"7";"2";"19";"0";"0";"2";"1";"2";"1";"2";"2";"2";"0";"9";"2";"0";"0";"2";"27";"0";"0";"4";"1";"2";"1";"0";"2";"7";"2";"5";"3"
;;"79";"Terlouw, J.C.";"129";"1";"12";"14";"1";"3";"1";"2";"1";"11";"0";"5";"3";"3";"0";"5";"6";"4";"0";"1";"3";"3";"1";"0";"19";"4";"0";"0";"2";"7";"1";"2";"2";"4";"5";"2";"1";"0"
;;"80";"Kaag, S.A.M.";"349";"2";"47";"51";"4";"6";"5";"7";"2";"23";"1";"7";"7";"4";"3";"7";"11";"5";"1";"3";"24";"13";"2";"1";"5";"26";"1";"3";"11";"25";"2";"4";"4";"9";"12";"3";"2";"6"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"137007";"1851";"14333";"22215";"1699";"2112";"1105";"5140";"2024";"9206";"788";"2226";"1781";"3396";"1087";"1089";"3967";"2407";"785";"866";"5047";"5613";"218";"323";"1993";"9118";"1345";"2419";"3473";"7250";"999";"2696";"1695";"4244";"4313";"3155";"2912";"2117"
;;"1";"Timmermans, F.C.G.M.";"66765";"771";"7327";"9422";"867";"1200";"600";"2657";"1015";"4349";"417";"1293";"906";"1612";"590";"648";"2067";"1231";"410";"426";"2537";"2857";"103";"188";"1000";"3530";"670";"1269";"1922";"3453";"530";"1394";"861";"2096";"1997";"1799";"1503";"1248"
;;"2";"Lahlah, A.";"15421";"90";"1631";"3113";"204";"190";"121";"398";"218";"1069";"91";"207";"251";"446";"103";"106";"443";"259";"79";"100";"586";"615";"30";"39";"213";"1142";"152";"205";"351";"925";"112";"202";"124";"450";"463";"264";"260";"169"
;;"3";"Klaver, J.F.";"13329";"99";"1616";"1940";"189";"225";"128";"510";"255";"978";"74";"222";"197";"366";"96";"113";"435";"253";"94";"105";"492";"557";"18";"28";"220";"648";"141";"243";"341";"718";"94";"230";"160";"380";"398";"308";"258";"200"
;;"4";"Piri, K.P.";"3036";"25";"385";"541";"37";"38";"36";"92";"34";"198";"22";"43";"42";"73";"26";"27";"93";"47";"17";"25";"141";"148";"4";"7";"52";"201";"34";"31";"77";"187";"22";"36";"7";"59";"62";"61";"77";"29"
;;"5";"Westerveld, E.M.";"21863";"774";"1744";"3897";"192";"284";"127";"1084";"327";"1188";"95";"230";"208";"452";"123";"108";"529";"269";"71";"93";"723";"847";"36";"35";"278";"1266";"219";"515";"507";"1198";"113";"644";"414";"894";"991";"473";"581";"334"
;;"6";"Patijn, M.H.";"742";"3";"99";"92";"18";"6";"7";"24";"8";"63";"6";"16";"14";"33";"6";"11";"23";"24";"4";"5";"24";"30";"2";"2";"14";"37";"9";"6";"16";"35";"4";"8";"26";"15";"10";"18";"16";"8"
;;"7";"Kröger, S.C.";"1278";"1";"133";"215";"22";"13";"5";"24";"11";"113";"8";"35";"8";"33";"20";"10";"31";"31";"19";"15";"61";"44";"2";"1";"23";"201";"10";"7";"12";"58";"7";"15";"6";"20";"25";"9";"23";"7"
