"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"24";"de Kort, A.H.J.";"36";"0";"5";"6";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"3";"3";"2";"0";"2";"1";"0";"0";"0";"2";"0";"0";"1";"2";"2";"1";"0";"0"
;;"25";"van den Hil, J.";"89";"0";"10";"11";"9";"3";"0";"2";"1";"6";"0";"2";"2";"3";"0";"0";"2";"4";"0";"3";"3";"5";"0";"0";"1";"4";"0";"2";"3";"1";"1";"1";"2";"2";"3";"1";"2";"0"
;;"26";"Valstar, P.J.";"52";"0";"12";"7";"1";"0";"0";"0";"0";"4";"0";"1";"2";"0";"2";"2";"0";"0";"2";"1";"1";"3";"3";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"5";"1";"0";"0";"0"
;;"27";"Bevers, H.";"46";"1";"3";"7";"2";"0";"1";"1";"0";"2";"0";"1";"0";"1";"1";"0";"0";"2";"0";"0";"2";"2";"0";"1";"1";"1";"0";"1";"1";"4";"0";"5";"1";"1";"2";"0";"0";"2"
;;"28";"Buijsse, M.R.G.";"37";"0";"1";"2";"4";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"0";"0";"5";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"8";"3";"0";"1"
;;"29";"Dral, R.M.";"126";"1";"18";"18";"9";"2";"0";"4";"3";"11";"1";"1";"4";"3";"1";"1";"2";"7";"0";"2";"4";"2";"0";"1";"1";"5";"3";"1";"1";"2";"1";"1";"4";"1";"5";"4";"2";"0"
;;"30";"Bikkers, B.T.";"15";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"31";"Verkuijlen, R.";"20";"0";"0";"1";"1";"0";"0";"2";"0";"2";"2";"0";"2";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0"
;;"32";"Richardson, S.M.";"98";"0";"9";"17";"2";"2";"1";"3";"4";"6";"0";"1";"2";"0";"0";"0";"0";"3";"0";"3";"7";"2";"0";"0";"0";"7";"0";"2";"4";"5";"0";"1";"1";"7";"4";"3";"1";"1"
;;"33";"de Beer, M.E.E.";"26";"0";"3";"2";"1";"0";"1";"2";"1";"3";"2";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1"
