"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"44";"Schaap, D.V.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"14";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"3";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"47";"van den Oetelaar, J.C.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"20";"0";"0";"6";"0";"0";"0";"0";"2";"0";"1";"1";"1";"0";"0";"3";"1";"0";"0";"1";"1";"1";"0";"0";"2"
;;"49";"Cliteur, P.B.";"13";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"1";"1";"1";"0";"1"
"8";"Partij voor de Dieren";;;"12045";"72";"641";"2724";"273";"350";"170";"296";"286";"166";"184";"348";"498";"158";"180";"3053";"389";"169";"179";"207";"605";"312";"256";"110";"419"
;;"1";"Ouwehand, E.";"8529";"61";"512";"1760";"194";"266";"127";"197";"199";"123";"145";"262";"373";"130";"137";"1965";"326";"134";"136";"163";"460";"249";"196";"83";"331"
;;"2";"Kostić, I.";"593";"0";"27";"163";"18";"18";"8";"14";"11";"8";"3";"23";"22";"2";"3";"198";"7";"4";"6";"6";"19";"12";"9";"1";"11"
;;"3";"Teunissen, C.";"294";"0";"19";"76";"9";"8";"2";"18";"6";"11";"2";"9";"14";"4";"3";"64";"4";"3";"4";"4";"14";"7";"4";"2";"7"
;;"4";"Wassenberg, F.P.";"139";"2";"6";"31";"2";"2";"2";"1";"2";"0";"2";"7";"8";"2";"2";"37";"5";"4";"0";"1";"7";"1";"2";"2";"11"
;;"5";"Akerboom, E.S.";"320";"2";"12";"86";"7";"9";"3";"8";"8";"5";"4";"5";"17";"2";"7";"94";"8";"2";"4";"3";"13";"3";"6";"0";"12"
;;"6";"van Raan, L.";"54";"0";"4";"15";"1";"2";"0";"0";"2";"1";"1";"3";"2";"0";"0";"18";"0";"0";"0";"0";"2";"1";"0";"0";"2"
;;"7";"van Schaik, M.";"188";"0";"6";"39";"4";"2";"4";"5";"4";"0";"3";"4";"5";"0";"4";"76";"5";"1";"1";"4";"8";"3";"5";"1";"4"
;;"8";"Krijger, A.L.";"288";"1";"11";"72";"5";"8";"1";"4";"7";"3";"4";"5";"8";"1";"3";"112";"5";"1";"3";"1";"14";"6";"4";"4";"5"
;;"9";"Plusquin, P.S.M.L.";"59";"0";"5";"11";"0";"2";"0";"2";"1";"1";"0";"0";"2";"1";"1";"27";"0";"0";"0";"0";"4";"0";"0";"1";"1"
;;"10";"Groenewege, P.J.L.";"39";"0";"4";"3";"1";"3";"4";"0";"0";"0";"0";"1";"0";"0";"0";"7";"1";"0";"1";"2";"4";"5";"1";"0";"2"
;;"11";"van Heuven, M.";"19";"0";"3";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1";"0";"1";"7";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"12";"van Hassel, F.";"20";"0";"1";"7";"0";"1";"0";"1";"0";"0";"0";"0";"2";"1";"0";"3";"0";"1";"0";"0";"0";"1";"1";"0";"1"
;;"13";"Bunnik, R.J.";"43";"0";"0";"15";"2";"0";"2";"0";"0";"0";"2";"1";"1";"1";"0";"10";"1";"1";"0";"2";"3";"0";"1";"0";"1"
;;"14";"Schmeets, H.H.J.";"17";"0";"1";"3";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"5";"0";"1";"0";"0";"1";"2";"1";"0";"0"
;;"15";"Pınar, K.";"43";"0";"2";"10";"1";"1";"0";"4";"0";"0";"1";"0";"1";"1";"3";"13";"0";"2";"0";"1";"2";"1";"0";"0";"0"
;;"16";"Jones, M.G.";"30";"0";"0";"7";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"15";"0";"0";"0";"1";"2";"0";"0";"0";"1"
;;"17";"Bosma, J.";"39";"0";"2";"5";"2";"0";"1";"0";"0";"0";"0";"0";"2";"2";"0";"17";"0";"0";"1";"0";"2";"1";"1";"3";"0"
;;"18";"Barker, R.N.";"6";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"19";"van Wijlandt, K.";"8";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"10";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"21";"Hollebeek, J.P.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Dicke, I.M.";"14";"0";"0";"3";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0";"0";"0";"2";"0";"0";"1"
;;"23";"Salemans, B.R.";"11";"0";"0";"3";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"24";"Bersch, F.";"4";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"25";"de Gram, F.";"5";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"26";"Krediet, L.";"14";"0";"0";"8";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
;;"27";"de Vos, D.J.C.";"30";"0";"3";"9";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"0";"5";"0";"0";"1";"2";"3";"0";"0";"0";"1"
;;"28";"van der Velde, M.C.";"6";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"van Viegen, A.H.K.";"13";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"8";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"30";"Gerritsen, L.";"18";"0";"0";"9";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Veenstra, M.";"7";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Vlasveld, A.I.";"411";"0";"1";"18";"14";"2";"2";"12";"30";"11";"9";"17";"1";"1";"0";"270";"8";"0";"3";"1";"5";"2";"0";"1";"3"
;;"33";"Janssens, T.A.O.";"19";"0";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"7";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"30";"0";"4";"9";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"9";"1";"0";"0";"0";"3";"0";"1";"0";"0"
;;"35";"van der Pluijm, L.C.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"36";"Peeks, S.J.";"13";"0";"0";"12";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pallandt, C.M.J.";"323";"3";"6";"178";"3";"12";"6";"10";"1";"0";"3";"0";"9";"4";"5";"9";"2";"5";"11";"6";"17";"5";"15";"4";"9"
;;"38";"Pechler, W.I.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"van Lierop, J.";"223";"0";"2";"125";"2";"6";"4";"6";"1";"1";"0";"1";"15";"2";"6";"6";"1";"4";"7";"7";"9";"3";"6";"5";"4"
;;"40";"Spruit, V.";"14";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"1";"0";"1";"0";"0"
;;"41";"Kuijer, B.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"42";"Markandu, G.";"35";"2";"0";"13";"1";"0";"0";"0";"0";"0";"1";"0";"5";"0";"2";"10";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"43";"Oudshoorn, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"45";"Samshuijzen, E.";"30";"0";"1";"1";"0";"0";"0";"1";"3";"1";"0";"3";"0";"0";"0";"7";"6";"0";"0";"0";"1";"2";"0";"0";"4"
;;"46";"Brouwer, M.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"47";"Onderdelinden, S.E.";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"3";"0";"0";"0"
;;"49";"van de Peppel, S.";"10";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"1"
;;"50";"Minnaert, X.D.E.";"39";"1";"1";"10";"0";"2";"0";"4";"0";"0";"0";"1";"2";"0";"0";"9";"2";"0";"1";"1";"2";"0";"0";"0";"3"
"9";"ChristenUnie";;;"5430";"15";"216";"510";"129";"139";"63";"52";"41";"35";"68";"72";"167";"35";"129";"487";"420";"57";"46";"74";"223";"367";"60";"18";"2007"
;;"1";"Bikker, M.H.";"4532";"14";"181";"401";"114";"108";"59";"34";"33";"26";"61";"60";"139";"22";"109";"352";"357";"47";"37";"59";"181";"335";"52";"16";"1735"
;;"2";"Grinwis, P.A.";"118";"0";"2";"6";"6";"4";"0";"4";"2";"0";"1";"0";"1";"1";"2";"14";"7";"5";"2";"3";"4";"7";"2";"0";"45"
;;"3";"Ceder, D.G.M.";"177";"0";"8";"25";"3";"7";"0";"4";"0";"1";"0";"3";"10";"1";"6";"24";"14";"1";"0";"4";"14";"6";"0";"0";"46"
;;"4";"te Rietstap, A.H.";"17";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"0";"0";"1";"3";"0";"0";"0";"7"
;;"5";"Gooijer-Medema, J.K.";"108";"0";"3";"18";"4";"6";"0";"2";"2";"0";"1";"0";"3";"3";"1";"20";"4";"0";"2";"2";"3";"0";"4";"1";"29"
;;"6";"Drost, N.";"54";"0";"1";"0";"0";"2";"2";"3";"0";"0";"0";"3";"1";"1";"0";"6";"5";"0";"0";"0";"2";"5";"0";"0";"23"
;;"7";"Holtman, T.S.";"17";"0";"2";"1";"0";"2";"0";"0";"0";"1";"0";"1";"1";"0";"0";"4";"1";"0";"0";"0";"1";"1";"0";"0";"2"
;;"8";"Otter-van den Bosch, C.";"27";"0";"2";"6";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"3";"0";"0";"0";"6"
;;"9";"van der Graaf, S.J.F.";"64";"0";"3";"7";"1";"5";"0";"0";"0";"1";"2";"0";"0";"0";"0";"4";"7";"0";"2";"0";"0";"4";"0";"0";"28"
;;"10";"Klein, M.C.A.";"6";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0"
;;"11";"Niesink, C.C.M.";"9";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"4"
;;"12";"Setz, J.N.";"8";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"13";"van der Krift, H.J.C.";"37";"0";"2";"7";"0";"0";"0";"0";"1";"1";"0";"4";"1";"1";"0";"12";"2";"0";"0";"0";"0";"0";"0";"1";"5"
;;"14";"Langen, A.L.";"8";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"15";"Koppejan, E.J.A.";"15";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"3";"2";"1";"0";"2"
;;"16";"van Wageningen, E.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Tijhof, B.D.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"18";"de Reus, W.T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"19";"0";"2";"2";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"4";"0";"0";"0";"0";"4";"0";"0";"0";"3"
;;"20";"Treurniet, M.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Palland, A.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Westerbeek, A.E.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Muilwijk, I.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
;;"24";"Westerink-Petersen, J.";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"2"
;;"25";"Dijkstra-Verbeek, I.A.W.";"8";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
;;"26";"van den Berg, G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"Broekmaat-Hagens, A.W.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"de Haan, M.E.";"7";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1"
;;"29";"Koerts, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"31";"Verweij, J.P.";"9";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"6"
;;"32";"Paalman-Dijkenga, I.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Kumar, A.D.J.M.";"12";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Visser, J.A.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0"
;;"36";"van der Pol, L.A.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Oudman, A.G.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"38";"van der Zande, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3"
;;"40";"van Oordt-Jonckheere, S.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Cornelissen, B.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"4";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"44";"van Dijk, G.G.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"46";"Bosman, F.G.";"19";"0";"0";"3";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"3";"0";"0";"1";"0";"1";"0";"0";"7"
;;"47";"Hoogenboom, E.";"10";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"7"
;;"48";"Stoorvogel, H.";"25";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"2";"3";"3";"0";"0";"0";"0";"0";"0";"11"
;;"49";"van den Berg, R.C.";"10";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"4"
;;"50";"de Graaf, B.A.";"42";"1";"5";"5";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"1";"7";"3";"0";"0";"2";"0";"2";"0";"0";"11"
"10";"Volt";;;"9572";"37";"413";"2627";"183";"269";"88";"195";"202";"132";"134";"300";"451";"84";"77";"2637";"244";"74";"148";"158";"429";"177";"197";"77";"239"
;;"1";"Dassen, L.A.J.M.";"5761";"25";"273";"1523";"104";"162";"56";"134";"131";"89";"97";"209";"282";"51";"47";"1444";"159";"48";"102";"103";"284";"114";"125";"54";"145"
;;"2";"Koekkoek, M.";"1936";"4";"87";"577";"40";"58";"14";"29";"36";"19";"16";"51";"90";"18";"20";"556";"36";"13";"27";"32";"74";"42";"29";"15";"53"
;;"3";"Boutkan, E.";"107";"0";"7";"29";"0";"3";"8";"4";"1";"2";"0";"1";"5";"0";"0";"19";"4";"3";"0";"5";"4";"2";"4";"1";"5"
;;"4";"Elfilali, I.";"448";"3";"16";"133";"10";"9";"2";"7";"7";"6";"6";"5";"12";"7";"1";"167";"13";"2";"3";"7";"14";"5";"4";"1";"8"
;;"5";"Hagoort, M.B.J.";"31";"0";"0";"12";"2";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"7";"1";"2";"1";"0";"2";"0";"0";"0";"0"
;;"6";"Frijters, R.M.J.";"392";"2";"8";"124";"5";"13";"3";"9";"7";"4";"3";"6";"16";"0";"0";"160";"2";"0";"4";"1";"11";"4";"8";"0";"2"
;;"7";"de Boer, R.W.";"18";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"9";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"8";"van der Lugt, S.";"147";"0";"5";"52";"7";"4";"1";"1";"1";"1";"1";"3";"9";"1";"0";"44";"2";"1";"1";"2";"4";"1";"2";"0";"4"
;;"9";"Beijnon, B.";"228";"0";"7";"54";"6";"1";"2";"1";"5";"2";"5";"4";"20";"2";"1";"75";"7";"0";"2";"2";"8";"3";"13";"3";"5"
;;"10";"Twickler, R.";"56";"1";"3";"16";"0";"1";"0";"0";"0";"1";"0";"2";"4";"0";"0";"11";"4";"0";"0";"0";"7";"2";"0";"0";"4"
;;"11";"Ercan, C.";"19";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"9";"0";"0";"1";"0";"1";"0";"1";"0";"0"
;;"12";"Hamel, J.E.R.";"46";"1";"0";"18";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"13";"0";"0";"1";"1";"2";"0";"1";"1";"4"
;;"13";"van Ewijk, W.H.E.";"57";"1";"1";"3";"2";"5";"1";"0";"1";"3";"2";"3";"3";"0";"0";"14";"7";"3";"1";"0";"1";"1";"2";"1";"2"
;;"14";"van Laar, S.A.";"40";"0";"1";"10";"0";"3";"0";"3";"1";"0";"0";"1";"0";"0";"1";"16";"0";"1";"0";"0";"1";"1";"1";"0";"0"
;;"15";"Tai, M.T.";"8";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"16";"Pajak, V.L.";"149";"0";"4";"37";"3";"4";"1";"2";"10";"5";"2";"5";"1";"1";"0";"53";"4";"0";"3";"3";"7";"0";"2";"1";"1"
;;"17";"Eigenhuis, F.";"12";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"18";"Verbeek, E.L.I.";"27";"0";"0";"7";"0";"2";"0";"2";"0";"0";"0";"1";"1";"0";"1";"10";"0";"0";"0";"0";"1";"0";"2";"0";"0"
;;"19";"Hemmes, B.J.A.";"14";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"3";"1";"1";"0";"2";"1";"0";"0";"0"
;;"20";"Elsinga, D.";"38";"0";"0";"10";"1";"1";"0";"0";"0";"0";"0";"4";"0";"1";"1";"12";"1";"0";"1";"0";"3";"1";"0";"0";"2"
;;"21";"Dreteler, S.J.";"38";"0";"1";"7";"2";"0";"0";"1";"1";"0";"0";"2";"2";"2";"3";"7";"1";"0";"0";"1";"1";"0";"3";"0";"4"
"11";"JA21";;;"4999";"37";"289";"860";"99";"227";"105";"126";"101";"79";"88";"137";"206";"74";"129";"844";"185";"112";"133";"130";"333";"196";"163";"60";"286"
;;"1";"Eerdmans, B.J.";"3922";"29";"229";"660";"77";"178";"85";"96";"79";"65";"73";"115";"156";"64";"106";"662";"135";"87";"107";"105";"258";"153";"131";"44";"228"
;;"2";"Nanninga, A.";"646";"6";"35";"140";"12";"28";"16";"15";"17";"9";"8";"11";"29";"7";"13";"90";"31";"10";"16";"19";"44";"26";"15";"10";"39"
;;"3";"Ceulemans, S.";"30";"0";"0";"3";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0";"1";"11";"2";"2";"0";"0";"2";"1";"2";"0";"0"
;;"4";"Bakker-Derks, E.H.M.";"74";"0";"0";"12";"1";"6";"3";"1";"1";"1";"0";"1";"3";"3";"0";"14";"3";"0";"5";"2";"8";"5";"1";"2";"2"
;;"5";"van Doorn, D.M.A.";"15";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"5";"2";"0";"1";"0";"2";"0";"0";"0";"0"
;;"6";"Goudzwaard, M.";"12";"0";"0";"3";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"7";"Schyns, P.F.M.";"13";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"6";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"8";"Uiterwijk, K.";"26";"0";"3";"4";"0";"1";"0";"2";"0";"0";"2";"2";"4";"0";"0";"3";"0";"1";"2";"0";"1";"0";"0";"0";"1"
;;"9";"Dijksterhuis, R.G.";"9";"0";"2";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"10";"van den Berg, D.J.";"5";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"11";"Omlo, H.";"8";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Hesselink, S.W.J.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Nuijten, K.";"85";"2";"0";"13";"8";"3";"0";"7";"1";"1";"1";"3";"8";"0";"0";"10";"6";"0";"0";"1";"3";"1";"9";"1";"7"
;;"14";"Roos, S.M.";"13";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1"
;;"15";"Soltani, M.";"5";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"16";"Baten, L.C.C.";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
