"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"60";"van Veen, J.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"61";"Vulpes, M.J.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"62";"van Os, J.L.P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"63";"van der Klauw, R.A.";"12";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"5"
;;"64";"Rahmani, A.";"6";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"65";"Bouma, R.A.";"5";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"21";"0";"1";"2";"2";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0";"1";"0";"0";"1";"3"
;;"67";"Talens, A.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"68";"Bruin, R.N.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"10";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"22";"0";"0";"4";"7";"1";"0";"1";"0";"0";"0";"0";"0";"0";"3";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"8";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"0";"0";"1";"0"
;;"74";"Rodoe, H.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0"
;;"76";"de Wolff, I.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0"
