"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"20";"van den Boomgaard, M.R.";"55";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"41";"0";"0";"4";"0";"0";"0";"0";"2";"1"
;;"21";"Kegel, E.W.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"3";"0"
;;"22";"Schenk, M.";"50";"0";"1";"0";"1";"4";"0";"1";"0";"9";"0";"7";"1";"0";"0";"0";"0";"0";"23";"0";"1";"1";"1";"0";"0";"0"
;;"23";"Bakker, S.A.";"14";"1";"0";"1";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"2";"0";"0";"1"
;;"24";"Verloop, F.M.S.";"35";"27";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0"
;;"25";"Westdijk, R.H.";"30";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"7";"3";"0";"0";"4"
;;"26";"van der Linde, M.L.";"11";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"0";"1";"0";"1"
;;"27";"de Lange, A.K.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Hadderingh, B.S.T.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"8";"1";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"30";"Bilgin, T.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Luurssen, G.A.A.";"4";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Minkels, J.D.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Heller, T.H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"20";"1";"2";"2";"0";"2";"0";"2";"0";"0";"2";"0";"0";"2";"1";"0";"3";"0";"1";"0";"0";"0";"0";"1";"0";"1"
;;"35";"Vos, A.V.B.";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"7";"0";"0";"1";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"37";"Panis, T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"41";"van Rij, S.";"14";"1";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"5";"0"
;;"42";"van Run, E.R.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"36";"2";"1";"0";"0";"6";"5";"2";"0";"0";"0";"0";"1";"0";"2";"0";"1";"1";"0";"2";"0";"0";"5";"1";"0";"7"
;;"44";"Schaap, D.V.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"45";"de Graaff, M.J.R.L.";"12";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0"
;;"46";"Zwitser, T.";"22";"4";"0";"1";"1";"1";"0";"3";"0";"1";"2";"0";"1";"1";"1";"0";"2";"0";"0";"0";"0";"0";"1";"1";"1";"1"
;;"47";"van den Oetelaar, J.C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"20";"1";"0";"1";"1";"1";"0";"2";"1";"1";"1";"0";"0";"1";"1";"0";"4";"0";"1";"1";"0";"0";"0";"1";"2";"0"
;;"49";"Cliteur, P.B.";"22";"1";"2";"0";"0";"1";"0";"4";"1";"2";"0";"0";"0";"1";"0";"0";"5";"0";"0";"0";"1";"1";"2";"1";"0";"0"
"8";"Partij voor de Dieren";;;"16839";"1385";"662";"1238";"329";"612";"282";"3385";"381";"274";"288";"546";"389";"401";"251";"306";"1479";"123";"507";"646";"319";"479";"288";"1084";"607";"578"
;;"1";"Ouwehand, E.";"11592";"969";"492";"808";"240";"483";"214";"1906";"262";"179";"221";"412";"279";"303";"176";"224";"1084";"86";"356";"451";"236";"371";"222";"740";"436";"442"
;;"2";"Kostić, I.";"799";"67";"38";"76";"10";"18";"13";"201";"15";"8";"9";"18";"13";"14";"13";"12";"71";"7";"15";"26";"17";"16";"11";"65";"25";"21"
;;"3";"Teunissen, C.";"676";"54";"17";"53";"8";"11";"9";"132";"11";"6";"8";"9";"21";"17";"12";"15";"88";"4";"8";"28";"10";"15";"7";"87";"23";"23"
;;"4";"Wassenberg, F.P.";"147";"14";"4";"10";"4";"7";"2";"20";"2";"1";"3";"7";"2";"4";"3";"8";"14";"1";"4";"2";"2";"4";"4";"14";"8";"3"
;;"5";"Akerboom, E.S.";"682";"57";"16";"32";"38";"29";"7";"126";"8";"66";"13";"46";"15";"9";"10";"6";"36";"3";"55";"18";"18";"13";"10";"29";"16";"6"
;;"6";"van Raan, L.";"99";"6";"3";"6";"0";"3";"0";"16";"1";"0";"5";"3";"2";"1";"0";"2";"11";"0";"6";"7";"3";"6";"0";"9";"3";"6"
;;"7";"van Schaik, M.";"950";"62";"10";"23";"10";"28";"2";"525";"52";"1";"8";"14";"26";"30";"6";"12";"27";"15";"24";"12";"11";"4";"4";"27";"10";"7"
;;"8";"Krijger, A.L.";"479";"35";"13";"34";"6";"9";"5";"160";"11";"4";"9";"12";"4";"5";"1";"11";"35";"2";"14";"26";"5";"13";"7";"27";"13";"18"
;;"9";"Plusquin, P.S.M.L.";"55";"7";"3";"5";"0";"1";"0";"14";"0";"1";"0";"0";"0";"2";"2";"2";"3";"0";"1";"2";"0";"1";"1";"3";"2";"5"
;;"10";"Groenewege, P.J.L.";"32";"3";"2";"5";"0";"0";"2";"6";"1";"0";"2";"0";"0";"1";"0";"0";"2";"0";"1";"1";"0";"2";"0";"1";"1";"2"
;;"11";"van Heuven, M.";"13";"1";"1";"2";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0"
;;"12";"van Hassel, F.";"26";"1";"1";"2";"0";"1";"0";"12";"0";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"2";"0"
;;"13";"Bunnik, R.J.";"315";"28";"6";"131";"1";"1";"9";"32";"1";"0";"3";"1";"1";"1";"13";"2";"11";"0";"5";"12";"1";"14";"17";"5";"0";"20"
;;"14";"Schmeets, H.H.J.";"61";"2";"3";"2";"1";"1";"1";"11";"1";"0";"0";"1";"1";"2";"2";"1";"10";"0";"1";"1";"1";"1";"2";"11";"2";"3"
;;"15";"Pınar, K.";"56";"5";"4";"5";"0";"2";"0";"17";"1";"0";"0";"0";"1";"0";"0";"1";"6";"2";"1";"5";"0";"0";"0";"4";"1";"1"
;;"16";"Jones, M.G.";"137";"8";"1";"3";"2";"3";"0";"81";"3";"1";"0";"4";"8";"3";"2";"2";"4";"1";"4";"0";"1";"1";"0";"2";"2";"1"
;;"17";"Bosma, J.";"48";"1";"1";"2";"0";"1";"0";"19";"0";"2";"0";"1";"2";"0";"0";"0";"6";"0";"1";"1";"1";"2";"1";"3";"2";"2"
;;"18";"Barker, R.N.";"16";"1";"2";"2";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"2";"0";"1"
;;"19";"van Wijlandt, K.";"8";"0";"1";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"19";"3";"0";"1";"0";"2";"0";"2";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"2";"1";"0";"0";"0";"1";"1";"1"
;;"21";"Hollebeek, J.P.";"10";"3";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"22";"Dicke, I.M.";"37";"3";"1";"4";"3";"1";"0";"11";"3";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0";"1";"2";"0";"1";"0";"1";"1"
;;"23";"Salemans, B.R.";"6";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"24";"Bersch, F.";"8";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"1"
;;"25";"de Gram, F.";"6";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Krediet, L.";"29";"4";"0";"2";"1";"0";"0";"9";"1";"0";"1";"2";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"3";"1";"1"
;;"27";"de Vos, D.J.C.";"49";"8";"3";"1";"1";"0";"3";"7";"1";"2";"1";"5";"2";"1";"2";"1";"2";"0";"1";"3";"0";"0";"0";"2";"2";"1"
;;"28";"van der Velde, M.C.";"17";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"1";"0";"2";"4";"0"
;;"29";"van Viegen, A.H.K.";"81";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"23";"1";"0";"0";"6";"35";"2"
;;"30";"Gerritsen, L.";"48";"6";"0";"4";"2";"1";"0";"11";"2";"1";"0";"0";"0";"0";"1";"0";"10";"0";"1";"3";"0";"0";"0";"5";"1";"0"
;;"31";"Veenstra, M.";"10";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
;;"32";"Vlasveld, A.I.";"9";"0";"0";"1";"0";"1";"1";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"33";"Janssens, T.A.O.";"11";"1";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"52";"4";"14";"1";"0";"1";"2";"5";"0";"0";"0";"0";"2";"2";"1";"0";"3";"0";"0";"4";"0";"4";"0";"7";"0";"2"
;;"35";"van der Pluijm, L.C.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"37";"Pallandt, C.M.J.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"38";"Pechler, W.I.";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0"
;;"39";"van Lierop, J.";"6";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"40";"Spruit, V.";"16";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"1";"0";"0";"0";"0";"0";"3";"1";"1"
;;"41";"Kuijer, B.";"5";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"32";"1";"2";"3";"0";"1";"0";"10";"1";"0";"0";"0";"1";"0";"0";"0";"2";"1";"2";"2";"1";"1";"0";"3";"0";"1"
;;"43";"Oudshoorn, J.";"9";"1";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0"
;;"44";"Hanoeman, R.R.";"20";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"5";"0";"0";"1";"2";"1";"0";"2";"2";"0"
;;"45";"Samshuijzen, E.";"7";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0"
;;"46";"Brouwer, M.";"6";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
;;"47";"Onderdelinden, S.E.";"21";"1";"3";"3";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"1";"4";"0"
;;"48";"Rozema, J.G.";"22";"2";"8";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1"
;;"49";"van de Peppel, S.";"32";"3";"5";"1";"0";"2";"1";"5";"0";"0";"0";"0";"1";"2";"0";"0";"3";"0";"0";"5";"0";"2";"0";"0";"1";"1"
;;"50";"Minnaert, X.D.E.";"65";"14";"2";"8";"0";"1";"0";"10";"2";"1";"1";"1";"1";"0";"1";"1";"6";"0";"1";"2";"1";"2";"1";"4";"3";"2"
"9";"ChristenUnie";;;"19814";"1829";"940";"2254";"125";"2207";"796";"1087";"254";"264";"271";"215";"279";"176";"1208";"112";"1156";"62";"289";"1255";"135";"1130";"1083";"555";"621";"1511"
;;"1";"Bikker, M.H.";"16106";"1479";"736";"1847";"93";"1898";"671";"731";"192";"213";"239";"173";"207";"146";"1015";"89";"918";"50";"238";"1030";"115";"969";"929";"395";"426";"1307"
;;"2";"Grinwis, P.A.";"470";"45";"21";"47";"1";"39";"17";"33";"8";"2";"3";"6";"11";"4";"26";"3";"30";"3";"11";"34";"2";"28";"19";"26";"17";"34"
;;"3";"Ceder, D.G.M.";"905";"99";"67";"95";"11";"100";"32";"87";"16";"12";"8";"8";"15";"7";"45";"4";"63";"6";"7";"44";"6";"32";"26";"36";"33";"46"
;;"4";"te Rietstap, A.H.";"49";"4";"3";"3";"0";"2";"2";"4";"0";"2";"1";"1";"1";"0";"1";"0";"6";"0";"1";"4";"0";"2";"1";"1";"3";"7"
;;"5";"Gooijer-Medema, J.K.";"682";"54";"16";"67";"6";"43";"14";"83";"11";"11";"0";"8";"10";"5";"26";"2";"43";"1";"7";"63";"6";"21";"30";"28";"102";"25"
;;"6";"Drost, N.";"165";"19";"3";"19";"4";"15";"8";"9";"3";"2";"2";"0";"5";"0";"7";"2";"5";"0";"1";"9";"0";"9";"18";"3";"5";"17"
;;"7";"Holtman, T.S.";"33";"6";"7";"3";"0";"4";"2";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"1";"2";"0";"2"
;;"8";"Otter-van den Bosch, C.";"71";"9";"5";"8";"0";"6";"6";"7";"2";"2";"1";"0";"1";"1";"4";"0";"3";"0";"0";"1";"0";"4";"5";"0";"2";"4"
;;"9";"van der Graaf, S.J.F.";"375";"38";"31";"24";"0";"21";"16";"45";"1";"6";"5";"9";"8";"6";"28";"1";"15";"0";"10";"30";"2";"15";"19";"16";"11";"18"
;;"10";"Klein, M.C.A.";"22";"2";"0";"4";"2";"2";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"1"
;;"11";"Niesink, C.C.M.";"30";"3";"0";"6";"0";"5";"3";"3";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"2";"0";"1";"0";"1";"0";"2"
;;"12";"Setz, J.N.";"24";"1";"0";"4";"0";"1";"2";"6";"0";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"2"
;;"13";"van der Krift, H.J.C.";"16";"1";"0";"3";"0";"1";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"1"
;;"14";"Langen, A.L.";"15";"1";"0";"1";"0";"0";"1";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"1"
;;"15";"Koppejan, E.J.A.";"12";"3";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"16";"van Wageningen, E.";"13";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"2";"0";"0";"0";"3"
;;"17";"Tijhof, B.D.";"6";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"18";"de Reus, W.T.";"11";"0";"0";"2";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"1";"0";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"131";"11";"3";"6";"0";"8";"1";"19";"6";"4";"3";"0";"2";"1";"1";"6";"23";"1";"4";"6";"1";"4";"1";"13";"7";"0"
;;"20";"Treurniet, M.";"24";"0";"3";"5";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"5";"0";"3";"1";"2";"0";"0"
;;"21";"Palland, A.S.";"6";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"22";"Westerbeek, A.E.";"40";"3";"2";"4";"1";"4";"1";"3";"0";"1";"0";"2";"1";"1";"1";"0";"6";"0";"0";"0";"0";"1";"0";"7";"2";"0"
;;"23";"Muilwijk, I.";"6";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Westerink-Petersen, J.";"18";"2";"0";"2";"0";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"1";"2";"0";"1"
;;"25";"Dijkstra-Verbeek, I.A.W.";"17";"1";"1";"2";"0";"3";"0";"2";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"2";"1";"0"
;;"26";"van den Berg, G.";"10";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2"
;;"27";"Broekmaat-Hagens, A.W.";"11";"0";"0";"3";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"28";"de Haan, M.E.";"102";"5";"4";"55";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"10";"0";"0";"1";"0";"0";"0";"8";"5";"0";"0";"9"
;;"29";"Koerts, A.J.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"12";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"2"
;;"31";"Verweij, J.P.";"7";"2";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"11";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"3";"0";"1"
;;"33";"Kumar, A.D.J.M.";"18";"1";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"3";"0";"4";"1";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"9";"0";"1";"0";"0";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"35";"Visser, J.A.";"9";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"1";"0";"0"
;;"36";"van der Pol, L.A.";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Oudman, A.G.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"38";"van der Zande, J.M.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Grandia, G.C.";"8";"0";"0";"2";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"14";"4";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"1";"1"
;;"41";"Cornelissen, B.";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"9";"0";"0";"1";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0"
;;"43";"Schutte, J.W.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"16";"0";"4";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"2";"1";"0";"0"
;;"45";"Adema, P.";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"46";"Bosman, F.G.";"8";"1";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"33";"2";"1";"3";"0";"1";"2";"3";"1";"2";"0";"0";"1";"0";"1";"0";"3";"0";"2";"2";"0";"2";"2";"0";"1";"4"
;;"48";"Stoorvogel, H.";"68";"7";"3";"7";"1";"9";"0";"4";"2";"2";"1";"2";"1";"0";"5";"1";"4";"0";"0";"4";"0";"1";"2";"2";"1";"9"
;;"49";"van den Berg, R.C.";"42";"6";"3";"4";"1";"6";"2";"2";"0";"0";"0";"0";"1";"0";"6";"0";"0";"0";"1";"4";"0";"1";"0";"0";"2";"3"
;;"50";"de Graaf, B.A.";"158";"13";"19";"12";"5";"16";"4";"11";"4";"2";"5";"3";"7";"1";"11";"1";"12";"0";"2";"7";"0";"3";"9";"6";"0";"5"
"10";"Volt";;;"13761";"1015";"409";"872";"204";"320";"123";"3536";"390";"223";"188";"415";"474";"386";"170";"295";"860";"114";"509";"552";"248";"305";"270";"923";"627";"333"
;;"1";"Dassen, L.A.J.M.";"7422";"590";"235";"493";"133";"181";"77";"1427";"199";"133";"122";"245";"256";"221";"100";"190";"494";"64";"305";"322";"161";"190";"162";"551";"368";"203"
;;"2";"Koekkoek, M.";"2903";"229";"78";"208";"41";"76";"24";"737";"83";"52";"38";"101";"96";"75";"36";"57";"199";"27";"113";"100";"50";"67";"66";"159";"108";"83"
;;"3";"Boutkan, E.";"745";"34";"5";"7";"5";"19";"1";"443";"38";"9";"5";"14";"37";"22";"2";"3";"17";"9";"31";"6";"12";"4";"3";"10";"6";"3"
;;"4";"Elfilali, I.";"1008";"58";"48";"64";"9";"17";"7";"360";"20";"11";"3";"11";"27";"20";"16";"18";"43";"4";"18";"70";"3";"17";"19";"69";"53";"23"
;;"5";"Hagoort, M.B.J.";"78";"2";"3";"4";"0";"1";"0";"16";"3";"1";"0";"5";"0";"4";"2";"0";"7";"1";"3";"2";"1";"3";"0";"15";"5";"0"
;;"6";"Frijters, R.M.J.";"453";"32";"10";"29";"0";"12";"3";"207";"11";"7";"4";"13";"14";"10";"5";"1";"23";"4";"10";"7";"5";"5";"5";"24";"8";"4"
;;"7";"de Boer, R.W.";"41";"3";"1";"1";"3";"0";"1";"7";"2";"1";"0";"0";"1";"0";"0";"0";"1";"0";"4";"1";"3";"2";"0";"7";"2";"1"
;;"8";"van der Lugt, S.";"308";"18";"6";"15";"5";"3";"3";"108";"9";"2";"2";"9";"15";"9";"0";"8";"21";"1";"4";"14";"5";"5";"3";"23";"16";"4"
