"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"34";"Postuma, J.V.";"14";"0";"0";"0";"3";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"0";"0"
;;"35";"Vos, A.V.B.";"10";"0";"0";"1";"0";"0";"0";"5";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"36";"Hartman, M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"38";"van der Voort, J.A.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Nijman, M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van Rij, S.";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"37";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"12";"0";"1";"4";"1";"1";"1";"7";"2";"0";"3"
;;"44";"Schaap, D.V.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"7";"2";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"46";"Zwitser, T.";"35";"5";"0";"0";"2";"0";"0";"1";"0";"3";"6";"0";"1";"2";"0";"0";"0";"0";"9";"1";"4";"0";"0";"0";"1";"0"
;;"47";"van den Oetelaar, J.C.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"19";"0";"2";"0";"4";"4";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"0";"0";"0";"0";"1"
;;"49";"Cliteur, P.B.";"13";"1";"1";"0";"4";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"8";"Partij voor de Dieren";;;"11263";"493";"137";"195";"1787";"1596";"160";"353";"248";"907";"410";"129";"228";"177";"260";"60";"69";"110";"2431";"140";"494";"216";"178";"275";"100";"110"
;;"1";"Ouwehand, E.";"8124";"360";"111";"144";"1247";"1111";"134";"264";"205";"675";"321";"100";"189";"130";"204";"49";"56";"90";"1582";"122";"365";"177";"141";"190";"73";"84"
;;"2";"Kostić, I.";"636";"27";"5";"14";"141";"122";"4";"21";"8";"39";"19";"6";"6";"10";"9";"2";"1";"2";"136";"3";"29";"7";"2";"17";"3";"3"
;;"3";"Teunissen, C.";"343";"15";"2";"6";"69";"55";"5";"7";"3";"25";"6";"5";"5";"3";"4";"1";"2";"3";"82";"4";"20";"3";"6";"8";"2";"2"
;;"4";"Wassenberg, F.P.";"139";"7";"1";"2";"23";"20";"2";"5";"4";"12";"8";"0";"0";"1";"5";"1";"0";"0";"35";"0";"5";"5";"0";"3";"0";"0"
;;"5";"Akerboom, E.S.";"344";"12";"2";"3";"47";"62";"3";"7";"6";"32";"18";"3";"8";"4";"5";"0";"3";"1";"82";"2";"11";"8";"6";"9";"8";"2"
;;"6";"van Raan, L.";"97";"10";"1";"0";"17";"15";"0";"1";"1";"10";"4";"1";"1";"1";"3";"3";"1";"0";"14";"0";"7";"1";"2";"3";"0";"1"
;;"7";"van Schaik, M.";"163";"3";"3";"2";"32";"31";"2";"1";"3";"10";"6";"1";"2";"2";"1";"0";"0";"2";"45";"3";"5";"4";"0";"3";"0";"2"
;;"8";"Krijger, A.L.";"342";"12";"1";"10";"60";"51";"3";"13";"2";"26";"10";"2";"4";"2";"4";"0";"1";"5";"105";"0";"5";"3";"9";"8";"2";"4"
;;"9";"Plusquin, P.S.M.L.";"63";"1";"1";"1";"9";"11";"1";"6";"0";"2";"0";"1";"2";"0";"1";"1";"0";"0";"13";"1";"0";"0";"0";"11";"1";"0"
;;"10";"Groenewege, P.J.L.";"17";"2";"0";"0";"3";"0";"0";"1";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0";"4";"0";"2";"0";"0";"0";"0";"0"
;;"11";"van Heuven, M.";"21";"1";"0";"1";"1";"4";"0";"3";"0";"3";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0";"1"
;;"12";"van Hassel, F.";"32";"1";"0";"1";"9";"4";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1";"10";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Bunnik, R.J.";"54";"1";"0";"0";"7";"11";"0";"1";"0";"5";"3";"0";"0";"2";"0";"0";"0";"0";"21";"0";"0";"0";"1";"2";"0";"0"
;;"14";"Schmeets, H.H.J.";"26";"1";"0";"1";"6";"5";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"6";"0";"1";"0";"0";"0";"2";"1"
;;"15";"Pınar, K.";"35";"2";"0";"0";"12";"3";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"11";"0";"0";"0";"3";"0";"0";"0"
;;"16";"Jones, M.G.";"18";"2";"0";"2";"2";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"1";"0"
;;"17";"Bosma, J.";"126";"9";"2";"2";"11";"15";"0";"4";"3";"9";"1";"0";"2";"2";"3";"0";"1";"1";"40";"1";"11";"1";"1";"4";"2";"1"
;;"18";"Barker, R.N.";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
;;"19";"van Wijlandt, K.";"8";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"20";"Batteau, J.M.";"19";"2";"0";"0";"5";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"0";"0"
;;"21";"Hollebeek, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Dicke, I.M.";"15";"1";"1";"0";"2";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"4";"0";"2";"0";"0";"0";"0";"0"
;;"23";"Salemans, B.R.";"7";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Bersch, F.";"6";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"25";"de Gram, F.";"8";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Krediet, L.";"33";"2";"0";"1";"6";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"8";"0";"4";"0";"0";"2";"1";"1"
;;"27";"de Vos, D.J.C.";"19";"1";"1";"0";"3";"2";"2";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1";"0";"5";"0";"0";"0";"0";"0";"0";"0"
;;"28";"van der Velde, M.C.";"18";"1";"0";"0";"4";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"1"
;;"29";"van Viegen, A.H.K.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"18";"0";"0";"0";"5";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"8";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Veenstra, M.";"10";"1";"0";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
;;"32";"Vlasveld, A.I.";"5";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Janssens, T.A.O.";"5";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Coşkun, Z.P.";"13";"1";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
;;"35";"van der Pluijm, L.C.";"5";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"44";"3";"2";"1";"5";"8";"0";"5";"0";"4";"0";"1";"0";"4";"2";"0";"1";"0";"5";"0";"1";"1";"0";"0";"0";"1"
;;"37";"Pallandt, C.M.J.";"5";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Pechler, W.I.";"6";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"39";"van Lierop, J.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Spruit, V.";"9";"0";"0";"0";"4";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"41";"Kuijer, B.";"21";"0";"1";"0";"2";"1";"0";"0";"0";"7";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"4";"0"
;;"42";"Markandu, G.";"308";"8";"2";"4";"22";"13";"2";"7";"8";"16";"4";"1";"2";"6";"11";"3";"1";"1";"161";"4";"15";"2";"5";"9";"0";"1"
;;"43";"Oudshoorn, J.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"12";"0";"0";"0";"3";"2";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"45";"Samshuijzen, E.";"7";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
;;"46";"Brouwer, M.";"7";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0"
;;"47";"Onderdelinden, S.E.";"6";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"7";"0";"1";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"8";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0"
;;"50";"Minnaert, X.D.E.";"40";"3";"0";"0";"10";"5";"1";"1";"0";"0";"4";"2";"0";"1";"2";"0";"0";"0";"4";"0";"2";"1";"0";"1";"0";"3"
"9";"ChristenUnie";;;"25644";"695";"152";"1099";"1066";"1645";"91";"3262";"601";"651";"3102";"50";"79";"802";"226";"876";"25";"740";"5035";"1031";"976";"175";"1708";"143";"50";"1364"
;;"1";"Bikker, M.H.";"18174";"538";"121";"842";"812";"1272";"76";"1460";"465";"519";"2435";"43";"63";"528";"179";"685";"19";"557";"3495";"695";"779";"144";"1255";"121";"38";"1033"
;;"2";"Grinwis, P.A.";"432";"10";"5";"21";"23";"27";"1";"63";"9";"11";"63";"0";"1";"6";"2";"11";"0";"9";"76";"15";"20";"2";"20";"1";"0";"36"
;;"3";"Ceder, D.G.M.";"719";"21";"2";"20";"68";"67";"2";"18";"6";"31";"87";"2";"3";"9";"5";"7";"1";"8";"287";"18";"21";"3";"15";"4";"1";"13"
;;"4";"te Rietstap, A.H.";"2774";"36";"8";"94";"19";"43";"1";"1559";"37";"19";"43";"1";"4";"201";"12";"61";"3";"52";"185";"210";"22";"7";"66";"0";"4";"87"
;;"5";"Gooijer-Medema, J.K.";"413";"9";"1";"16";"28";"37";"1";"18";"11";"10";"43";"0";"1";"8";"0";"13";"0";"6";"150";"14";"15";"0";"15";"2";"0";"15"
;;"6";"Drost, N.";"185";"2";"0";"10";"8";"21";"0";"8";"5";"3";"25";"1";"1";"1";"0";"6";"0";"4";"63";"3";"3";"2";"9";"0";"2";"8"
;;"7";"Holtman, T.S.";"97";"1";"0";"2";"9";"16";"2";"3";"5";"2";"5";"0";"1";"3";"3";"2";"0";"12";"18";"2";"0";"1";"6";"0";"0";"4"
;;"8";"Otter-van den Bosch, C.";"75";"2";"4";"0";"4";"10";"0";"7";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"29";"2";"4";"2";"4";"0";"0";"2"
;;"9";"van der Graaf, S.J.F.";"1029";"15";"5";"51";"32";"32";"4";"86";"7";"16";"165";"0";"1";"26";"13";"53";"1";"7";"303";"15";"74";"2";"20";"2";"2";"97"
;;"10";"Klein, M.C.A.";"39";"1";"0";"0";"1";"10";"0";"3";"0";"5";"9";"0";"0";"1";"0";"1";"0";"0";"6";"0";"1";"0";"0";"1";"0";"0"
;;"11";"Niesink, C.C.M.";"62";"1";"0";"2";"3";"3";"0";"7";"2";"1";"7";"0";"0";"0";"0";"4";"0";"0";"14";"2";"10";"0";"2";"0";"0";"4"
;;"12";"Setz, J.N.";"50";"2";"0";"3";"0";"5";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"2";"26";"1";"2";"0";"1";"0";"0";"3"
;;"13";"van der Krift, H.J.C.";"12";"0";"0";"0";"2";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
;;"14";"Langen, A.L.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Koppejan, E.J.A.";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"16";"van Wageningen, E.";"31";"0";"0";"0";"0";"6";"0";"3";"0";"2";"5";"0";"0";"0";"0";"0";"0";"2";"7";"1";"3";"0";"1";"0";"0";"1"
;;"17";"Tijhof, B.D.";"373";"18";"0";"0";"9";"10";"0";"1";"9";"4";"0";"0";"2";"2";"0";"3";"0";"34";"3";"11";"0";"6";"259";"1";"0";"1"
;;"18";"de Reus, W.T.";"4";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Mbwete, N.A.G.";"19";"1";"0";"2";"1";"4";"0";"1";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Treurniet, M.";"16";"0";"0";"0";"1";"3";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"1";"0";"0";"0"
;;"21";"Palland, A.S.";"91";"0";"0";"3";"1";"0";"0";"1";"0";"1";"22";"0";"0";"2";"1";"3";"0";"0";"41";"2";"1";"0";"2";"0";"0";"11"
;;"22";"Westerbeek, A.E.";"30";"2";"0";"0";"6";"3";"0";"4";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"3";"0";"1"
;;"23";"Muilwijk, I.";"8";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0";"0"
;;"24";"Westerink-Petersen, J.";"23";"0";"0";"0";"0";"4";"0";"1";"0";"1";"3";"0";"0";"0";"0";"1";"0";"1";"10";"1";"1";"0";"0";"0";"0";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"15";"2";"0";"0";"3";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"26";"van den Berg, G.";"22";"2";"1";"1";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0";"8";"2";"0";"0";"1";"0";"0";"1"
;;"27";"Broekmaat-Hagens, A.W.";"13";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"1"
;;"28";"de Haan, M.E.";"21";"2";"0";"0";"1";"1";"0";"1";"0";"0";"6";"0";"0";"0";"0";"3";"0";"0";"4";"2";"0";"0";"0";"1";"0";"0"
;;"29";"Koerts, A.J.";"5";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"11";"0";"1";"0";"0";"3";"0";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"31";"Verweij, J.P.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Paalman-Dijkenga, I.M.";"31";"1";"0";"1";"0";"0";"0";"1";"4";"0";"5";"0";"0";"0";"0";"0";"0";"0";"8";"1";"1";"0";"5";"2";"0";"2"
;;"33";"Kumar, A.D.J.M.";"15";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"7";"0";"3";"0";"0";"0";"0";"0";"1"
;;"34";"Kerklaan-van der Beek, E.M.";"125";"16";"1";"3";"2";"7";"2";"0";"31";"2";"2";"3";"0";"2";"3";"0";"0";"23";"10";"6";"0";"2";"9";"0";"1";"0"
;;"35";"Visser, J.A.";"11";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
;;"36";"van der Pol, L.A.";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0"
;;"37";"Oudman, A.G.";"19";"0";"0";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"1";"0"
;;"38";"van der Zande, J.M.";"5";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Grandia, G.C.";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"24";"0";"0";"2";"1";"4";"0";"1";"0";"2";"3";"0";"0";"0";"0";"1";"0";"3";"4";"3";"0";"0";"0";"0";"0";"0"
;;"41";"Cornelissen, B.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
;;"42";"Nede, N.N.";"12";"2";"0";"1";"2";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"43";"Schutte, J.W.";"91";"0";"0";"0";"0";"0";"0";"0";"0";"0";"76";"0";"0";"0";"0";"2";"0";"0";"5";"0";"0";"0";"1";"0";"0";"7"
;;"44";"van Dijk, G.G.";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"10";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"2"
;;"46";"Bosman, F.G.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"43";"0";"0";"0";"1";"3";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"2";"23";"2";"1";"0";"4";"1";"0";"2"
;;"48";"Stoorvogel, H.";"323";"6";"1";"13";"5";"11";"0";"6";"6";"6";"41";"0";"0";"6";"4";"7";"0";"7";"158";"11";"9";"2";"2";"2";"0";"20"
;;"49";"van den Berg, R.C.";"27";"0";"0";"4";"0";"4";"0";"0";"0";"3";"2";"0";"0";"1";"0";"1";"0";"1";"6";"1";"0";"0";"0";"0";"0";"4"
;;"50";"de Graaf, B.A.";"135";"3";"2";"3";"12";"15";"0";"4";"1";"3";"20";"0";"0";"2";"2";"5";"0";"2";"39";"3";"5";"1";"6";"0";"1";"6"
"10";"Volt";;;"9850";"366";"160";"169";"1454";"2237";"154";"274";"190";"834";"256";"92";"249";"104";"189";"43";"75";"109";"1827";"75";"254";"247";"114";"173";"133";"72"
;;"1";"Dassen, L.A.J.M.";"5562";"221";"103";"107";"841";"1158";"98";"160";"119";"516";"161";"62";"157";"66";"117";"24";"48";"63";"857";"50";"159";"177";"66";"93";"99";"40"
;;"2";"Koekkoek, M.";"2125";"83";"32";"33";"349";"525";"30";"56";"32";"168";"48";"18";"54";"19";"41";"9";"10";"23";"392";"11";"49";"39";"31";"42";"14";"17"
;;"3";"Boutkan, E.";"79";"0";"1";"0";"12";"25";"2";"1";"1";"6";"5";"2";"0";"0";"0";"1";"2";"2";"14";"0";"2";"1";"1";"0";"0";"1"
;;"4";"Elfilali, I.";"378";"17";"4";"5";"53";"102";"4";"9";"6";"24";"5";"0";"14";"4";"3";"3";"3";"5";"91";"1";"7";"4";"1";"9";"3";"1"
;;"5";"Hagoort, M.B.J.";"38";"2";"0";"1";"3";"14";"2";"0";"1";"6";"0";"0";"1";"0";"0";"1";"0";"0";"5";"1";"0";"0";"1";"0";"0";"0"
;;"6";"Frijters, R.M.J.";"350";"9";"6";"9";"43";"121";"3";"11";"8";"24";"7";"2";"6";"2";"5";"1";"1";"6";"58";"2";"6";"4";"4";"4";"7";"1"
;;"7";"de Boer, R.W.";"37";"0";"0";"0";"7";"10";"1";"0";"2";"6";"2";"0";"0";"1";"0";"0";"0";"0";"4";"1";"2";"0";"0";"1";"0";"0"
;;"8";"van der Lugt, S.";"195";"5";"2";"5";"32";"55";"2";"5";"2";"17";"4";"0";"5";"3";"4";"1";"3";"1";"28";"1";"1";"10";"3";"4";"1";"1"
;;"9";"Beijnon, B.";"29";"0";"1";"0";"2";"15";"0";"2";"0";"4";"0";"1";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Twickler, R.";"259";"15";"7";"1";"31";"80";"2";"8";"5";"27";"6";"1";"3";"1";"4";"0";"2";"4";"35";"1";"10";"6";"0";"1";"5";"4"
;;"11";"Ercan, C.";"558";"8";"2";"7";"37";"52";"3";"14";"9";"18";"15";"3";"4";"7";"11";"3";"4";"3";"306";"6";"13";"2";"5";"16";"4";"6"
;;"12";"Hamel, J.E.R.";"48";"0";"0";"1";"10";"14";"3";"2";"2";"2";"0";"1";"1";"0";"0";"0";"1";"0";"9";"0";"0";"0";"0";"1";"0";"1"
;;"13";"van Ewijk, W.H.E.";"11";"0";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"14";"van Laar, S.A.";"47";"0";"0";"0";"5";"20";"1";"2";"0";"5";"2";"0";"1";"0";"2";"0";"0";"0";"5";"1";"2";"0";"1";"0";"0";"0"
;;"15";"Tai, M.T.";"8";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Pajak, V.L.";"29";"1";"0";"0";"5";"15";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
;;"17";"Eigenhuis, F.";"13";"0";"1";"0";"1";"2";"0";"1";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
;;"18";"Verbeek, E.L.I.";"20";"0";"0";"0";"2";"8";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"1";"2";"0";"0";"0";"0"
;;"19";"Hemmes, B.J.A.";"9";"0";"0";"0";"1";"3";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"20";"Elsinga, D.";"32";"4";"0";"0";"11";"7";"0";"1";"0";"2";"1";"1";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"21";"Dreteler, S.J.";"23";"1";"1";"0";"6";"4";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"1";"0";"0";"1";"0";"0"
"11";"JA21";;;"4230";"207";"81";"122";"324";"380";"122";"269";"143";"287";"215";"79";"109";"90";"177";"100";"92";"117";"427";"141";"205";"123";"138";"82";"121";"79"
;;"1";"Eerdmans, B.J.";"3172";"153";"50";"99";"237";"284";"93";"190";"107";"212";"169";"61";"86";"72";"135";"81";"65";"93";"320";"111";"140";"100";"103";"59";"91";"61"
