"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"68";"Bruin, R.N.";"5";"0";"2";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"5";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"7";"3";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"74";"Rodoe, H.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"76";"de Wolff, I.";"4";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"9";"1";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"78";"Yildirim, M.";"6";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"79";"Mulder, H.";"70";"1";"0";"4";"3";"3";"0";"9";"1";"1";"1";"0";"4";"0";"0";"21";"0";"0";"9";"1";"12";"0";"0";"0";"0";"0"
;;"80";"van der Weijden, M.";"126";"10";"3";"6";"20";"14";"1";"5";"4";"13";"6";"3";"6";"3";"3";"1";"1";"1";"12";"1";"4";"2";"3";"0";"2";"2"
"2";"D66";;;"32251";"1459";"814";"800";"4505";"4373";"594";"926";"907";"2514";"1002";"430";"954";"482";"1116";"121";"295";"427";"6387";"341";"1030";"924";"513";"624";"475";"238"
;;"1";"Jetten, R.A.A.";"22115";"1047";"576";"556";"3048";"2829";"433";"662";"675";"1751";"673";"326";"701";"358";"845";"93";"214";"316";"4054";"239";"708";"692";"379";"436";"343";"161"
;;"2";"Paternotte, J.M.";"876";"31";"23";"19";"126";"119";"19";"25";"22";"74";"24";"11";"17";"20";"29";"5";"14";"14";"173";"8";"35";"20";"11";"13";"16";"8"
;;"3";"Vijlbrief, J.A.";"430";"18";"12";"25";"53";"52";"7";"5";"14";"23";"13";"3";"6";"6";"13";"2";"5";"5";"85";"5";"21";"14";"4";"21";"12";"6"
;;"4";"Podt, A.";"3214";"145";"84";"74";"490";"456";"42";"85";"92";"230";"91";"16";"84";"35";"94";"8";"22";"39";"757";"30";"104";"77";"49";"58";"30";"22"
;;"5";"Sneller, J.C.";"63";"1";"4";"1";"10";"12";"2";"3";"3";"3";"4";"1";"1";"1";"2";"1";"0";"0";"11";"0";"0";"1";"1";"0";"0";"1"
;;"6";"Rooderkerk, I.";"456";"12";"4";"5";"78";"89";"3";"10";"5";"34";"22";"5";"6";"4";"10";"0";"1";"3";"116";"4";"12";"12";"6";"5";"5";"5"
;;"7";"Paulusma, W.";"659";"21";"12";"25";"91";"92";"3";"31";"6";"38";"14";"3";"13";"7";"11";"2";"3";"4";"192";"9";"47";"5";"5";"12";"8";"5"
;;"8";"van der Werf, J.J.";"611";"26";"17";"13";"71";"127";"28";"11";"10";"62";"9";"6";"26";"3";"12";"0";"9";"6";"102";"9";"10";"19";"9";"7";"16";"3"
;;"9";"Bamenga, P.";"75";"0";"1";"0";"9";"23";"0";"3";"2";"6";"4";"0";"0";"0";"1";"0";"0";"1";"20";"0";"0";"2";"0";"0";"2";"1"
;;"10";"de Groot, T.C.";"196";"13";"2";"5";"26";"29";"2";"3";"4";"17";"6";"0";"6";"3";"6";"0";"2";"1";"37";"3";"16";"6";"4";"3";"2";"0"
