"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"51";"Achterbergh, M.";"37";"2";"1";"1";"0";"0";"1";"1";"0";"0";"4";"0";"0";"3";"1";"0";"1";"8";"0";"0";"2";"5";"1";"1";"5"
;;"52";"Wendel, H.";"25";"3";"1";"0";"0";"0";"4";"2";"1";"0";"0";"0";"0";"0";"2";"0";"1";"4";"0";"0";"0";"1";"0";"1";"5"
;;"53";"Kohli, N.R.";"45";"6";"0";"0";"0";"0";"1";"2";"8";"0";"0";"0";"1";"3";"1";"0";"0";"17";"0";"1";"0";"0";"0";"1";"4"
;;"54";"Klerks, I.C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"56";"Elkerbout, A.";"16";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"1";"1";"0";"0";"0";"5"
;;"57";"van Rijn, D.";"13";"3";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2"
;;"59";"de Regt, L.H.P.";"12";"2";"0";"1";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0"
;;"60";"van Veen, J.";"11";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"1";"0";"0";"0";"1";"2"
;;"61";"Vulpes, M.J.";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"62";"van Os, J.L.P.";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"63";"van der Klauw, R.A.";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"64";"Rahmani, A.";"5";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"4";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"67";"Talens, A.E.";"12";"1";"0";"0";"1";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"68";"Bruin, R.N.";"288";"14";"2";"4";"0";"1";"1";"175";"2";"0";"1";"0";"1";"1";"40";"2";"1";"2";"0";"0";"0";"0";"0";"32";"9"
;;"69";"van 't Hull-Bettink, G.D.W.";"19";"3";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"3"
;;"70";"Gadella, J.A.N.";"5";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"71";"Vermeulen, D.";"10";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2"
;;"72";"van Noort-Cnossen, M.G.";"7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1"
;;"73";"Van der Sanden, M.M.E.";"11";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1"
;;"74";"Rodoe, H.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
