"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"49";"Cliteur, P.B.";"19";"1";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"1";"2";"2";"2";"6";"0";"0";"0";"0";"0";"1";"0"
"8";"Partij voor de Dieren";;;"14753";"2078";"745";"738";"361";"302";"569";"537";"1101";"224";"498";"161";"131";"1160";"686";"307";"209";"2266";"217";"199";"351";"245";"264";"386";"1018"
;;"1";"Ouwehand, E.";"10625";"1397";"563";"522";"274";"245";"403";"403";"792";"155";"367";"91";"97";"846";"518";"253";"145";"1561";"161";"164";"256";"185";"196";"287";"744"
;;"2";"Kostić, I.";"919";"125";"42";"37";"25";"18";"33";"26";"91";"20";"25";"14";"5";"55";"42";"14";"16";"174";"15";"4";"23";"15";"15";"29";"56"
;;"3";"Teunissen, C.";"439";"61";"19";"22";"9";"9";"19";"19";"36";"3";"22";"5";"4";"36";"17";"7";"6";"67";"9";"5";"9";"3";"7";"14";"31"
;;"4";"Wassenberg, F.P.";"110";"16";"5";"7";"3";"2";"3";"2";"9";"0";"5";"1";"2";"9";"4";"2";"1";"21";"2";"1";"3";"1";"2";"3";"6"
;;"5";"Akerboom, E.S.";"427";"67";"12";"20";"7";"4";"17";"11";"32";"4";"15";"6";"4";"26";"22";"4";"14";"75";"3";"6";"11";"11";"6";"14";"36"
;;"6";"van Raan, L.";"168";"18";"5";"20";"8";"2";"9";"4";"7";"6";"2";"0";"0";"19";"7";"1";"2";"35";"2";"1";"3";"4";"3";"2";"8"
;;"7";"van Schaik, M.";"183";"25";"9";"8";"8";"6";"4";"4";"21";"2";"7";"3";"3";"16";"5";"2";"3";"24";"4";"5";"11";"0";"1";"2";"10"
;;"8";"Krijger, A.L.";"529";"81";"16";"20";"10";"2";"18";"15";"49";"15";"14";"6";"4";"67";"14";"6";"5";"98";"4";"7";"20";"8";"8";"9";"33"
;;"9";"Plusquin, P.S.M.L.";"46";"8";"2";"1";"3";"1";"3";"2";"2";"4";"5";"1";"0";"1";"2";"0";"1";"7";"0";"1";"0";"0";"1";"1";"0"
;;"10";"Groenewege, P.J.L.";"21";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"4";"0";"0";"5";"0";"0";"0";"1";"0";"0";"4"
;;"11";"van Heuven, M.";"9";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1"
;;"12";"van Hassel, F.";"23";"4";"0";"0";"1";"2";"1";"0";"2";"0";"1";"0";"0";"0";"3";"0";"1";"3";"3";"1";"0";"1";"0";"0";"0"
;;"13";"Bunnik, R.J.";"61";"8";"3";"3";"0";"1";"2";"4";"3";"1";"1";"0";"3";"4";"2";"2";"1";"12";"1";"1";"1";"0";"2";"1";"5"
;;"14";"Schmeets, H.H.J.";"25";"5";"2";"1";"0";"1";"0";"0";"2";"0";"1";"1";"1";"1";"1";"1";"1";"4";"0";"0";"0";"1";"0";"1";"1"
;;"15";"Pınar, K.";"418";"181";"24";"14";"0";"2";"24";"11";"11";"2";"10";"0";"2";"10";"20";"3";"3";"34";"1";"0";"0";"0";"11";"10";"45"
;;"16";"Jones, M.G.";"21";"2";"1";"0";"1";"1";"2";"1";"2";"0";"1";"1";"0";"1";"1";"0";"0";"2";"2";"0";"0";"1";"1";"0";"1"
;;"17";"Bosma, J.";"42";"6";"0";"1";"1";"0";"2";"3";"3";"1";"3";"0";"0";"4";"1";"1";"0";"9";"1";"0";"1";"0";"1";"1";"3"
;;"18";"Barker, R.N.";"8";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Wijlandt, K.";"5";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"20";"Batteau, J.M.";"11";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0"
;;"21";"Hollebeek, J.P.";"99";"1";"0";"0";"2";"0";"3";"0";"1";"5";"4";"28";"0";"10";"1";"0";"1";"35";"0";"0";"1";"3";"1";"1";"2"
;;"22";"Dicke, I.M.";"52";"5";"5";"2";"1";"0";"0";"2";"7";"2";"5";"0";"0";"6";"1";"0";"1";"6";"1";"1";"1";"2";"0";"1";"3"
;;"23";"Salemans, B.R.";"6";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Bersch, F.";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"25";"de Gram, F.";"3";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Krediet, L.";"38";"3";"2";"0";"3";"3";"2";"1";"6";"3";"0";"1";"0";"4";"1";"0";"0";"6";"0";"0";"1";"0";"2";"0";"0"
;;"27";"de Vos, D.J.C.";"50";"6";"5";"3";"0";"1";"1";"2";"4";"0";"2";"1";"1";"6";"1";"3";"0";"9";"0";"0";"1";"0";"1";"1";"2"
;;"28";"van der Velde, M.C.";"14";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"3";"1";"0";"0";"0";"0";"0";"2"
;;"29";"van Viegen, A.H.K.";"8";"2";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Gerritsen, L.";"17";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"2";"0";"5";"0";"0";"0";"3";"0";"0";"0"
;;"31";"Veenstra, M.";"10";"2";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Vlasveld, A.I.";"13";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"3";"0";"0";"2"
;;"33";"Janssens, T.A.O.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"34";"Coşkun, Z.P.";"23";"5";"0";"4";"0";"0";"0";"1";"1";"0";"0";"0";"0";"4";"1";"0";"0";"4";"0";"1";"2";"0";"0";"0";"0"
;;"35";"van der Pluijm, L.C.";"4";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"36";"Peeks, S.J.";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Pallandt, C.M.J.";"8";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1"
;;"38";"Pechler, W.I.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"39";"van Lierop, J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Spruit, V.";"157";"24";"15";"46";"0";"0";"10";"1";"2";"0";"4";"0";"2";"5";"7";"0";"6";"12";"2";"0";"1";"2";"4";"2";"12"
;;"41";"Kuijer, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"42";"Markandu, G.";"33";"2";"0";"0";"0";"0";"0";"8";"3";"0";"0";"0";"0";"4";"2";"0";"0";"8";"0";"0";"0";"0";"0";"2";"4"
;;"43";"Oudshoorn, J.";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"2";"0";"0";"0";"0";"0";"1"
;;"44";"Hanoeman, R.R.";"14";"2";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Samshuijzen, E.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0"
;;"46";"Brouwer, M.";"4";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Onderdelinden, S.E.";"9";"2";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
;;"48";"Rozema, J.G.";"6";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"49";"van de Peppel, S.";"9";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0"
;;"50";"Minnaert, X.D.E.";"58";"3";"4";"3";"2";"0";"3";"4";"5";"0";"1";"1";"1";"9";"3";"1";"1";"10";"0";"0";"2";"0";"1";"0";"4"
"9";"ChristenUnie";;;"5604";"595";"106";"121";"104";"112";"147";"543";"358";"47";"377";"56";"23";"354";"185";"114";"53";"847";"43";"101";"106";"126";"72";"301";"713"
;;"1";"Bikker, M.H.";"4386";"454";"84";"99";"84";"91";"115";"438";"256";"37";"326";"51";"19";"234";"153";"99";"40";"614";"34";"88";"85";"107";"63";"254";"561"
;;"2";"Grinwis, P.A.";"97";"15";"1";"3";"5";"2";"5";"2";"4";"2";"10";"0";"0";"5";"2";"2";"0";"13";"1";"1";"0";"0";"1";"4";"19"
;;"3";"Ceder, D.G.M.";"509";"47";"5";"5";"8";"2";"6";"38";"54";"5";"14";"0";"2";"86";"8";"3";"6";"141";"3";"1";"8";"4";"2";"18";"43"
;;"4";"te Rietstap, A.H.";"33";"8";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"1";"6";"0";"0";"8";"0";"0";"0";"0";"1";"1";"2"
;;"5";"Gooijer-Medema, J.K.";"109";"14";"7";"2";"1";"4";"7";"10";"9";"0";"7";"0";"0";"3";"3";"0";"1";"13";"1";"0";"1";"2";"1";"0";"23"
;;"6";"Drost, N.";"35";"2";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"2";"2";"1";"1";"8";"0";"2";"0";"4";"0";"1";"8"
;;"7";"Holtman, T.S.";"11";"1";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Otter-van den Bosch, C.";"25";"6";"2";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"4"
;;"9";"van der Graaf, S.J.F.";"67";"6";"4";"0";"1";"1";"2";"9";"7";"0";"0";"1";"0";"6";"1";"2";"0";"12";"0";"2";"1";"0";"1";"3";"8"
;;"10";"Klein, M.C.A.";"28";"3";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"2";"0";"2";"1";"0";"0";"9";"0";"0";"2";"5"
;;"11";"Niesink, C.C.M.";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1"
;;"12";"Setz, J.N.";"16";"3";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"1";"0";"0";"0";"2";"2"
;;"13";"van der Krift, H.J.C.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"14";"Langen, A.L.";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0"
;;"15";"Koppejan, E.J.A.";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"van Wageningen, E.";"17";"1";"0";"1";"0";"1";"1";"1";"2";"0";"2";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"4"
;;"17";"Tijhof, B.D.";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"18";"de Reus, W.T.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"19";"Mbwete, N.A.G.";"15";"1";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"4";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"2"
;;"20";"Treurniet, M.";"6";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"21";"Palland, A.S.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Westerbeek, A.E.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
;;"23";"Muilwijk, I.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Westerink-Petersen, J.";"6";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"25";"Dijkstra-Verbeek, I.A.W.";"10";"2";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"26";"van den Berg, G.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"de Haan, M.E.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1"
;;"29";"Koerts, A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"31";"Verweij, J.P.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"33";"Kumar, A.D.J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"34";"Kerklaan-van der Beek, E.M.";"5";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Visser, J.A.";"11";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"3";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Zande, J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"4";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"41";"Cornelissen, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"5";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1"
;;"43";"Schutte, J.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"45";"Adema, P.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1"
;;"46";"Bosman, F.G.";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"6";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3"
;;"48";"Stoorvogel, H.";"60";"11";"1";"3";"3";"2";"0";"10";"4";"0";"3";"0";"0";"0";"1";"0";"0";"4";"0";"1";"0";"5";"0";"7";"5"
;;"49";"van den Berg, R.C.";"13";"0";"0";"2";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"1";"0"
;;"50";"de Graaf, B.A.";"49";"6";"1";"2";"2";"1";"1";"8";"3";"3";"1";"0";"0";"1";"1";"1";"0";"5";"0";"0";"0";"0";"0";"3";"10"
"10";"Volt";;;"8766";"1267";"422";"491";"244";"166";"373";"253";"691";"142";"296";"71";"109";"618";"334";"131";"138";"1104";"182";"150";"247";"169";"169";"281";"718"
;;"1";"Dassen, L.A.J.M.";"5396";"730";"301";"307";"164";"106";"227";"161";"439";"77";"183";"41";"65";"361";"195";"73";"87";"623";"118";"104";"172";"115";"105";"168";"474"
;;"2";"Koekkoek, M.";"2032";"334";"85";"116";"49";"36";"86";"55";"156";"41";"79";"18";"31";"144";"87";"41";"32";"245";"30";"24";"44";"34";"43";"77";"145"
;;"3";"Boutkan, E.";"74";"12";"2";"5";"0";"0";"5";"1";"3";"1";"1";"0";"2";"5";"5";"0";"1";"10";"2";"2";"0";"0";"2";"5";"10"
;;"4";"Elfilali, I.";"311";"55";"9";"11";"10";"7";"12";"10";"22";"8";"7";"2";"1";"30";"17";"3";"3";"59";"4";"4";"10";"3";"3";"6";"15"
;;"5";"Hagoort, M.B.J.";"37";"8";"2";"1";"0";"2";"5";"1";"3";"0";"1";"0";"0";"4";"0";"0";"1";"3";"1";"0";"1";"0";"0";"0";"4"
;;"6";"Frijters, R.M.J.";"183";"32";"4";"12";"6";"3";"7";"5";"16";"3";"4";"1";"0";"12";"5";"4";"4";"24";"11";"1";"4";"5";"1";"3";"16"
;;"7";"de Boer, R.W.";"116";"8";"2";"9";"7";"1";"4";"0";"6";"4";"5";"2";"1";"12";"2";"1";"0";"32";"2";"1";"4";"2";"2";"3";"6"
;;"8";"van der Lugt, S.";"160";"25";"4";"7";"2";"6";"10";"6";"17";"3";"3";"1";"1";"7";"9";"2";"3";"17";"4";"1";"4";"3";"5";"4";"16"
;;"9";"Beijnon, B.";"35";"3";"2";"3";"0";"0";"1";"0";"2";"0";"0";"0";"0";"8";"1";"2";"0";"6";"2";"1";"1";"0";"0";"2";"1"
;;"10";"Twickler, R.";"89";"15";"3";"3";"0";"2";"2";"3";"6";"1";"2";"0";"5";"5";"6";"2";"2";"11";"4";"3";"1";"2";"2";"4";"5"
;;"11";"Ercan, C.";"27";"1";"1";"0";"0";"0";"2";"1";"2";"1";"2";"0";"0";"6";"0";"0";"1";"7";"0";"1";"1";"0";"0";"0";"1"
;;"12";"Hamel, J.E.R.";"45";"8";"2";"2";"2";"0";"5";"1";"2";"1";"2";"0";"0";"1";"3";"1";"2";"2";"1";"2";"1";"0";"1";"3";"3"
;;"13";"van Ewijk, W.H.E.";"8";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0"
;;"14";"van Laar, S.A.";"42";"5";"1";"2";"1";"0";"1";"1";"2";"0";"1";"0";"0";"5";"0";"0";"0";"13";"0";"1";"0";"1";"4";"2";"2"
;;"15";"Tai, M.T.";"7";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Pajak, V.L.";"21";"7";"0";"2";"0";"0";"1";"0";"2";"0";"0";"0";"1";"2";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"2"
;;"17";"Eigenhuis, F.";"13";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"1";"2";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"2"
;;"18";"Verbeek, E.L.I.";"111";"18";"1";"5";"3";"2";"1";"2";"8";"1";"5";"3";"0";"7";"2";"0";"2";"32";"1";"1";"3";"4";"1";"0";"9"
;;"19";"Hemmes, B.J.A.";"6";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
;;"20";"Elsinga, D.";"38";"4";"2";"3";"0";"0";"2";"2";"2";"1";"0";"1";"0";"4";"1";"0";"0";"7";"0";"2";"0";"0";"0";"2";"5"
;;"21";"Dreteler, S.J.";"15";"2";"0";"2";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"1";"2"
"11";"JA21";;;"5366";"535";"182";"227";"197";"91";"139";"268";"359";"46";"298";"55";"92";"414";"259";"69";"74";"589";"182";"174";"84";"89";"157";"281";"505"
;;"1";"Eerdmans, B.J.";"3929";"403";"145";"163";"151";"71";"100";"201";"259";"29";"226";"36";"73";"278";"177";"46";"53";"396";"140";"136";"49";"67";"117";"221";"392"
;;"2";"Nanninga, A.";"984";"82";"29";"46";"37";"17";"28";"45";"73";"15";"48";"18";"15";"106";"56";"15";"14";"98";"32";"27";"27";"16";"28";"38";"74"
;;"3";"Ceulemans, S.";"14";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"0";"1";"1";"2";"0";"2"
;;"4";"Bakker-Derks, E.H.M.";"46";"6";"1";"1";"2";"0";"1";"2";"6";"0";"2";"0";"0";"5";"5";"0";"2";"3";"1";"1";"1";"0";"2";"2";"3"
;;"5";"van Doorn, D.M.A.";"7";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"6";"Goudzwaard, M.";"26";"3";"1";"0";"1";"0";"1";"2";"1";"0";"3";"0";"0";"2";"4";"1";"0";"1";"0";"3";"0";"0";"0";"2";"1"
;;"7";"Schyns, P.F.M.";"7";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Uiterwijk, K.";"94";"17";"1";"5";"3";"1";"5";"4";"7";"0";"5";"0";"1";"6";"3";"2";"2";"7";"2";"1";"1";"1";"3";"7";"10"
;;"9";"Dijksterhuis, R.G.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"10";"van den Berg, D.J.";"34";"3";"1";"2";"1";"0";"1";"5";"1";"0";"3";"1";"1";"0";"1";"0";"0";"0";"2";"1";"1";"1";"0";"5";"4"
;;"11";"Omlo, H.";"7";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"12";"Hesselink, S.W.J.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
;;"13";"Nuijten, K.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
;;"14";"Roos, S.M.";"10";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"2"
;;"15";"Soltani, M.";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"16";"Baten, L.C.C.";"5";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"17";"Kövi, J.J.H.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"19";"van Vugt, T.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1"
;;"20";"Wanders, A.M.J.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Lodders, I.A.G.";"11";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
