"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"27";"Broekmaat-Hagens, A.W.";"7";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0"
;;"28";"de Haan, M.E.";"6";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"29";"Koerts, A.J.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Roor-Wubs, A.E.";"9";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
;;"31";"Verweij, J.P.";"3";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Paalman-Dijkenga, I.M.";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Kumar, A.D.J.M.";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"5";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
;;"35";"Visser, J.A.";"9";"0";"0";"0";"0";"0";"1";"1";"4";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van der Pol, L.A.";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"4";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"38";"van der Zande, J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"39";"Grandia, G.C.";"7";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"10";"1";"2";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0"
;;"41";"Cornelissen, B.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"42";"Nede, N.N.";"7";"0";"0";"1";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"43";"Schutte, J.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Adema, P.";"5";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Bosman, F.G.";"5";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"47";"Hoogenboom, E.";"14";"1";"0";"0";"0";"0";"0";"3";"3";"0";"0";"2";"1";"0";"0";"0";"1";"0";"3";"0"
;;"48";"Stoorvogel, H.";"39";"3";"2";"1";"0";"0";"0";"5";"8";"6";"0";"0";"7";"0";"1";"2";"1";"1";"1";"1"
;;"49";"van den Berg, R.C.";"7";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
;;"50";"de Graaf, B.A.";"73";"8";"3";"4";"1";"1";"1";"8";"8";"3";"1";"8";"11";"0";"2";"5";"7";"1";"1";"0"
"10";"Volt";;;"12466";"260";"1156";"289";"132";"508";"402";"2939";"1284";"305";"588";"1441";"395";"152";"251";"277";"582";"138";"249";"1118"
;;"1";"Dassen, L.A.J.M.";"7219";"146";"614";"178";"90";"316";"208";"1633";"789";"185";"364";"800";"243";"103";"138";"170";"343";"89";"137";"673"
;;"2";"Koekkoek, M.";"2942";"59";"267";"77";"26";"119";"94";"697";"264";"77";"123";"385";"94";"36";"57";"58";"149";"20";"69";"271"
;;"3";"Boutkan, E.";"133";"2";"11";"5";"2";"7";"1";"34";"25";"0";"7";"13";"1";"1";"2";"4";"5";"4";"3";"6"
;;"4";"Elfilali, I.";"631";"11";"73";"11";"4";"22";"27";"200";"47";"7";"34";"56";"18";"5";"14";"6";"18";"6";"16";"56"
;;"5";"Hagoort, M.B.J.";"43";"1";"5";"0";"0";"2";"1";"12";"6";"1";"2";"4";"0";"0";"3";"2";"3";"0";"0";"1"
;;"6";"Frijters, R.M.J.";"350";"5";"48";"7";"4";"8";"18";"93";"32";"9";"9";"33";"12";"2";"6";"12";"16";"6";"7";"23"
;;"7";"de Boer, R.W.";"163";"10";"38";"3";"0";"3";"14";"20";"19";"3";"2";"10";"0";"0";"10";"5";"8";"4";"1";"13"
;;"8";"van der Lugt, S.";"294";"3";"28";"2";"4";"15";"8";"82";"24";"8";"16";"36";"6";"3";"3";"5";"12";"5";"8";"26"
;;"9";"Beijnon, B.";"33";"1";"5";"1";"0";"0";"1";"7";"3";"1";"1";"9";"0";"0";"0";"0";"1";"0";"0";"3"
;;"10";"Twickler, R.";"117";"1";"10";"0";"1";"1";"4";"26";"15";"4";"8";"22";"6";"0";"4";"1";"4";"1";"2";"7"
;;"11";"Ercan, C.";"29";"0";"1";"0";"1";"0";"1";"10";"7";"0";"1";"4";"1";"0";"0";"0";"2";"0";"0";"1"
;;"12";"Hamel, J.E.R.";"70";"1";"7";"1";"0";"3";"3";"17";"8";"1";"3";"9";"2";"0";"1";"1";"1";"0";"2";"10"
;;"13";"van Ewijk, W.H.E.";"6";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"van Laar, S.A.";"70";"4";"5";"0";"0";"0";"0";"22";"10";"4";"3";"10";"2";"0";"1";"2";"2";"0";"0";"5"
;;"15";"Tai, M.T.";"18";"0";"3";"1";"0";"0";"2";"3";"2";"0";"0";"1";"2";"0";"1";"1";"0";"1";"0";"1"
;;"16";"Pajak, V.L.";"25";"1";"3";"0";"0";"1";"1";"8";"0";"0";"0";"6";"0";"0";"0";"1";"2";"0";"0";"2"
;;"17";"Eigenhuis, F.";"45";"7";"2";"0";"0";"2";"1";"7";"0";"0";"2";"14";"3";"0";"1";"0";"1";"0";"2";"3"
;;"18";"Verbeek, E.L.I.";"171";"6";"28";"0";"0";"7";"11";"40";"18";"3";"7";"13";"5";"2";"7";"5";"7";"2";"1";"9"
;;"19";"Hemmes, B.J.A.";"15";"2";"0";"0";"0";"0";"2";"2";"3";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"2"
;;"20";"Elsinga, D.";"60";"0";"6";"2";"0";"1";"3";"12";"7";"2";"4";"9";"0";"0";"1";"2";"5";"0";"1";"5"
;;"21";"Dreteler, S.J.";"32";"0";"2";"1";"0";"1";"2";"9";"5";"0";"2";"5";"0";"0";"0";"1";"3";"0";"0";"1"
"11";"JA21";;;"4178";"186";"283";"219";"60";"82";"74";"524";"829";"211";"120";"311";"196";"31";"59";"176";"357";"111";"118";"231"
;;"1";"Eerdmans, B.J.";"2949";"119";"172";"128";"44";"61";"49";"369";"618";"145";"90";"238";"130";"24";"43";"130";"244";"82";"95";"168"
;;"2";"Nanninga, A.";"869";"54";"94";"35";"10";"19";"20";"112";"166";"30";"24";"50";"29";"5";"14";"37";"82";"26";"16";"46"
;;"3";"Ceulemans, S.";"26";"0";"2";"2";"0";"0";"2";"5";"4";"1";"0";"3";"2";"1";"0";"0";"3";"0";"0";"1"
;;"4";"Bakker-Derks, E.H.M.";"26";"1";"0";"1";"0";"0";"0";"3";"7";"0";"0";"5";"4";"0";"0";"0";"3";"0";"0";"2"
;;"5";"van Doorn, D.M.A.";"7";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1"
;;"6";"Goudzwaard, M.";"13";"0";"0";"0";"0";"0";"0";"5";"0";"2";"0";"4";"1";"0";"0";"0";"1";"0";"0";"0"
;;"7";"Schyns, P.F.M.";"5";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"8";"Uiterwijk, K.";"118";"5";"0";"47";"0";"2";"2";"12";"11";"21";"1";"0";"0";"0";"1";"1";"12";"1";"2";"0"
;;"9";"Dijksterhuis, R.G.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"10";"van den Berg, D.J.";"53";"0";"2";"0";"5";"0";"0";"1";"5";"2";"0";"4";"24";"0";"0";"1";"0";"0";"3";"6"
;;"11";"Omlo, H.";"9";"0";"1";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
;;"12";"Hesselink, S.W.J.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Nuijten, K.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"14";"Roos, S.M.";"10";"2";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1"
;;"15";"Soltani, M.";"8";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2"
;;"16";"Baten, L.C.C.";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"18";"Wilson, L.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"van Vugt, T.";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"5";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Lodders, I.A.G.";"5";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Vos, L.L.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"22";"2";"0";"2";"1";"0";"0";"1";"1";"2";"2";"2";"2";"0";"1";"1";"3";"1";"0";"1"
;;"27";"Bloemenkamp, J.H.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"7";"0";"2";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"31";"Buijs, M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Pastors, M.G.T.";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"12";"0";"1";"0";"0";"0";"0";"1";"3";"1";"0";"1";"1";"1";"0";"2";"0";"1";"0";"0"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"2289";"126";"121";"30";"19";"17";"27";"192";"590";"44";"28";"231";"447";"4";"58";"53";"100";"14";"104";"84"
;;"1";"Stoffer, C.";"2003";"108";"107";"27";"17";"15";"21";"159";"493";"40";"22";"215";"408";"2";"51";"46";"91";"13";"94";"74"
;;"2";"van Dijk, D.J.H.";"109";"8";"1";"2";"2";"0";"2";"13";"54";"2";"0";"3";"13";"0";"2";"2";"2";"0";"2";"1"
;;"3";"Flach, A.J.";"23";"2";"2";"1";"0";"1";"0";"2";"6";"1";"0";"2";"2";"1";"0";"1";"1";"0";"1";"0"
;;"4";"Middelkoop, P.N.";"47";"1";"1";"0";"0";"0";"0";"5";"12";"0";"1";"3";"9";"1";"3";"1";"3";"0";"2";"5"
;;"5";"Vroegindeweij, W.J.";"14";"2";"0";"0";"0";"1";"1";"2";"4";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0"
;;"6";"van der Maas, A.J.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"7";"van der Wind, H.J.";"9";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0"
;;"8";"Both, D.D.";"7";"0";"1";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"9";"Kloosterman, J.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"10";"van Heijst, R.C.";"4";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"van der Wulp, A.D.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Polinder, H.J.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"13";"Slingerland, M.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"van Duijn, W.J.";"4";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"15";"Barth, L.G.I.";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0"
;;"16";"Lukasse, J.";"4";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Tanis, J.P.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Bosma, E.G.";"3";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schipaanboord, G.P.";"7";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
;;"20";"Veldman, J.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Hartog, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Koekoek, J.T.";"4";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"23";"de Knegt, L.";"5";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"24";"van Leeuwen, G.R.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"25";"Bakker, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Kok, W.H.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"27";"van Westreenen, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Noordergraaf, P.T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"29";"Boersma, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Talen, L.";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van de Waerdt, C.J.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Bulten, H.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Versteeg, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Laar, G.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Scheppink, A.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Heteren, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van den Belt, B.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Iwaarden, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van Tuijl, L.O.";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"44";"Proos, A.J.";"4";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"13";"DENK";;;"12463";"273";"902";"900";"129";"25";"656";"2878";"2476";"530";"84";"1350";"531";"20";"124";"268";"796";"63";"71";"387"
;;"1";"van Baarle, S.R.T.";"8578";"175";"633";"603";"89";"14";"417";"1948";"1805";"388";"59";"948";"327";"17";"77";"180";"500";"45";"49";"304"
;;"2";"Ergin, D.A.";"748";"9";"32";"88";"3";"1";"17";"272";"88";"17";"5";"105";"14";"0";"6";"12";"63";"6";"1";"9"
;;"3";"El Abassi, I.";"950";"23";"72";"32";"25";"2";"55";"209";"169";"8";"5";"127";"93";"3";"10";"35";"41";"2";"8";"31"
;;"4";"Alrubey, A.";"332";"12";"18";"17";"1";"1";"18";"56";"84";"11";"3";"21";"21";"0";"6";"7";"43";"3";"0";"10"
;;"5";"Gün, E.";"305";"7";"25";"14";"3";"1";"37";"91";"45";"7";"1";"9";"14";"0";"7";"10";"25";"1";"2";"6"
;;"6";"Usta, Y.";"98";"0";"0";"39";"0";"0";"2";"17";"7";"15";"0";"7";"2";"0";"0";"0";"8";"0";"1";"0"
;;"7";"Rijssel, N.E.";"80";"3";"9";"8";"0";"0";"7";"12";"14";"1";"0";"4";"7";"0";"1";"2";"4";"1";"0";"7"
;;"8";"Maroof, A.";"143";"22";"12";"13";"0";"1";"7";"18";"10";"25";"0";"11";"1";"0";"1";"2";"14";"1";"4";"1"
;;"9";"Mac Intosch, G.J.";"53";"1";"14";"0";"0";"0";"7";"7";"10";"1";"0";"2";"0";"0";"5";"2";"2";"0";"0";"2"
;;"10";"Safranti, M.";"37";"0";"0";"2";"1";"0";"0";"9";"5";"2";"0";"12";"1";"0";"0";"0";"2";"0";"0";"3"
;;"11";"Bayrakci, Y.C.";"22";"0";"1";"1";"0";"0";"1";"5";"3";"4";"0";"4";"1";"0";"0";"0";"2";"0";"0";"0"
;;"12";"Ghazi, M.I.";"174";"9";"30";"4";"1";"0";"33";"20";"46";"3";"0";"4";"5";"0";"5";"5";"8";"0";"0";"1"
;;"13";"Özçelik, S.";"64";"0";"3";"2";"0";"0";"2";"21";"6";"5";"1";"5";"6";"0";"0";"1";"10";"1";"1";"0"
;;"14";"Kaya, A.";"50";"1";"3";"8";"1";"1";"1";"19";"1";"2";"0";"10";"1";"0";"0";"0";"1";"1";"0";"0"
;;"15";"Konuksever-Tekin, A.";"96";"2";"4";"11";"0";"1";"4";"18";"14";"4";"0";"12";"4";"0";"1";"3";"14";"1";"1";"2"
;;"16";"Fkihi, O.";"22";"0";"1";"1";"0";"0";"1";"2";"5";"1";"0";"1";"2";"0";"0";"0";"3";"0";"2";"3"
;;"17";"Çetinkaya, T.";"20";"0";"0";"2";"0";"0";"0";"5";"2";"6";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Şahin, E.";"28";"0";"4";"5";"0";"0";"1";"3";"4";"1";"0";"5";"3";"0";"0";"1";"1";"0";"0";"0"
;;"19";"Kahramanoğlu, C.";"11";"0";"0";"1";"0";"0";"0";"7";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"20";"Kaplan, Ç.";"4";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Manhoef, E.E.";"46";"0";"3";"1";"0";"2";"5";"7";"16";"3";"2";"3";"2";"0";"0";"0";"0";"1";"0";"1"
;;"22";"Tan, C.";"4";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kondu, F.";"9";"1";"0";"1";"0";"0";"1";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"7";"0";"0";"0";"1";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"25";"Ileri, F.";"17";"0";"0";"2";"0";"0";"1";"3";"2";"0";"2";"2";"4";"0";"0";"0";"1";"0";"0";"0"
;;"26";"Buyatui, H.";"11";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"3";"2";"0";"0";"0";"1";"0";"0";"2"
;;"27";"van Burik, M.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"28";"Muradin, N.";"30";"0";"0";"0";"0";"0";"2";"4";"22";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Delener, I.";"15";"0";"3";"0";"0";"0";"0";"4";"5";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"5";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Ağirbaş, A.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"Özcan, R.";"17";"0";"1";"2";"0";"0";"1";"6";"0";"0";"0";"1";"0";"0";"1";"0";"4";"0";"1";"0"
;;"33";"Tangali, M.J.";"21";"1";"0";"0";"0";"0";"4";"3";"12";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Othman, R.";"78";"3";"1";"18";"0";"0";"2";"11";"18";"8";"1";"6";"4";"0";"0";"1";"5";"0";"0";"0"
;;"35";"Yildirim, A.";"7";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
;;"36";"Akhatab, N.";"34";"0";"2";"2";"3";"0";"0";"6";"2";"2";"1";"5";"4";"0";"1";"0";"5";"0";"0";"1"
;;"37";"Ben Touhami, M.";"43";"0";"5";"3";"0";"0";"3";"9";"9";"2";"2";"2";"1";"0";"1";"1";"5";"0";"0";"0"
;;"38";"Bal, M.I.";"6";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Pancar, Ş.";"15";"0";"0";"4";"0";"0";"0";"3";"3";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"40";"Akça, S.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"12";"1";"0";"1";"0";"0";"0";"2";"3";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
;;"42";"Icar, N.";"37";"0";"0";"0";"0";"0";"4";"8";"2";"0";"0";"2";"0";"0";"0";"0";"21";"0";"0";"0"
;;"43";"Khan, S.Y.";"84";"1";"16";"2";"0";"0";"9";"12";"27";"2";"0";"5";"6";"0";"0";"3";"1";"0";"0";"0"
;;"44";"Sungur, M.";"29";"0";"0";"2";"0";"0";"1";"9";"2";"2";"0";"12";"1";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Koyuncu, S.";"69";"1";"1";"10";"0";"0";"12";"21";"13";"3";"0";"3";"2";"0";"0";"0";"1";"0";"1";"1"
