"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"52";"Wendel, H.";"35";"2";"4";"0";"0";"8";"2";"5";"3";"0";"2";"2";"0";"0";"1";"2";"1";"0";"1";"2"
;;"53";"Kohli, N.R.";"526";"19";"143";"5";"0";"0";"16";"15";"161";"8";"1";"50";"1";"0";"6";"94";"4";"0";"1";"2"
;;"54";"Klerks, I.C.";"14";"4";"7";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"3";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"30";"0";"2";"5";"0";"2";"0";"4";"2";"2";"2";"1";"2";"0";"1";"2";"2";"0";"1";"2"
;;"57";"van Rijn, D.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0"
;;"58";"Aptroot, B.W.";"6";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"59";"de Regt, L.H.P.";"41";"2";"7";"0";"2";"2";"1";"0";"12";"0";"1";"2";"1";"1";"0";"0";"2";"0";"3";"5"
;;"60";"van Veen, J.";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"62";"van Os, J.L.P.";"4";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"63";"van der Klauw, R.A.";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"0";"0"
;;"64";"Rahmani, A.";"17";"1";"0";"0";"0";"2";"1";"0";"9";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"3";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"67";"Talens, A.E.";"5";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"68";"Bruin, R.N.";"7";"0";"0";"0";"1";"0";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"413";"9";"13";"0";"1";"4";"2";"9";"358";"3";"4";"2";"0";"0";"0";"4";"3";"1";"0";"0"
;;"70";"Gadella, J.A.N.";"12";"0";"0";"1";"1";"0";"0";"1";"2";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"3"
;;"71";"Vermeulen, D.";"12";"0";"2";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"1";"1"
;;"72";"van Noort-Cnossen, M.G.";"15";"0";"0";"1";"0";"2";"0";"2";"3";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"3"
;;"73";"Van der Sanden, M.M.E.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
