"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
;;"9";"van Dijk, J.J.";"63";"4";"2";"0";"2";"0";"0";"8";"1";"9";"1";"1";"3";"2";"0";"3";"0";"4";"2";"2";"3";"0";"0";"3";"2";"1";"1";"1";"4";"2";"2";"0"
;;"10";"Meijer, B.W.V.";"36";"1";"1";"0";"1";"0";"0";"8";"2";"1";"0";"0";"1";"3";"0";"1";"0";"2";"0";"1";"0";"1";"3";"0";"0";"0";"3";"0";"1";"1";"1";"4"
;;"11";"Elfrink, G.E.";"18";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"1";"8";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"12";"Wolters Gregório, J.";"673";"21";"4";"8";"2";"12";"2";"22";"14";"46";"11";"1";"9";"100";"5";"26";"5";"42";"8";"2";"18";"6";"21";"60";"34";"25";"36";"3";"59";"28";"19";"24"
;;"13";"Boerwinkel, E.M.J.";"17";"0";"0";"0";"0";"1";"2";"1";"1";"4";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"14";"Alberts, R.";"26";"1";"0";"0";"0";"0";"0";"3";"1";"4";"1";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"0";"3";"0";"1";"1";"0";"1";"2";"1";"1";"1"
;;"15";"van der Nat, H.F.A.";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"16";"Memiş, M.";"58";"1";"0";"0";"0";"0";"0";"3";"2";"6";"1";"0";"1";"10";"0";"2";"0";"8";"4";"2";"4";"0";"6";"0";"0";"0";"2";"1";"1";"2";"0";"2"
;;"17";"van Dijk, D.";"33";"0";"0";"1";"0";"0";"1";"3";"2";"3";"1";"0";"1";"1";"0";"0";"0";"1";"2";"1";"2";"0";"4";"0";"2";"0";"0";"0";"5";"2";"0";"1"
;;"18";"de Ridder, N.";"25";"0";"0";"0";"0";"1";"1";"3";"0";"4";"0";"0";"1";"2";"0";"0";"0";"2";"1";"0";"3";"0";"1";"0";"1";"0";"1";"1";"2";"1";"0";"0"
;;"19";"Yahyaoui, J.";"55";"0";"0";"0";"1";"2";"0";"2";"0";"6";"0";"1";"1";"6";"0";"0";"0";"7";"1";"0";"10";"0";"2";"1";"1";"0";"2";"0";"10";"1";"1";"0"
;;"20";"van Boven, A.W.";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"21";"Coppus, T.H.C.";"29";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Topma, X.M.";"6";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"23";"van Wijngaarden, T.J.J.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"24";"Coşkun, T.S.J.";"9";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"25";"van den Hout, S.G.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"26";"van der Wijk, N.H.F.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"Verdaasdonk, I.";"18";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"2";"2";"0";"3";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1"
;;"28";"van Rossum, L.";"14";"0";"0";"0";"0";"0";"2";"2";"1";"1";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
;;"29";"Rongen, K.S.";"5";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"van Hooft, J.W.H.";"26";"0";"0";"0";"3";"1";"3";"1";"2";"0";"0";"3";"0";"0";"0";"0";"1";"1";"3";"0";"0";"0";"5";"2";"0";"0";"0";"0";"0";"0";"1";"0"
;;"31";"Cramer, A.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"32";"van Scheltinga, E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"33";"van Unen, G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kuin, R.M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"35";"Harris, D.C.";"5";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"36";"van der Veen, J.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Zandvliet, S.K.D.S.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"38";"Spanner, A.M.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Boer, M.I.";"6";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
;;"40";"Ramesar, J.S.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"ten Heuw, M.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van der Sluis, J.H.A.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Schelvis, A.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"44";"de Man, W.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"45";"Hendriks-Berg, A.M.G.";"523";"40";"6";"0";"0";"29";"0";"152";"42";"27";"10";"0";"3";"1";"6";"20";"1";"9";"3";"14";"7";"8";"6";"4";"3";"6";"7";"10";"59";"3";"12";"35"
;;"46";"de Vries, E.";"19";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0";"4";"4";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"47";"Eikenaar, E.";"8";"4";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Clemens, J.M.M.";"342";"26";"3";"1";"0";"24";"0";"161";"17";"13";"3";"0";"0";"3";"9";"3";"2";"2";"1";"18";"2";"5";"4";"2";"1";"0";"5";"3";"17";"0";"5";"12"
;;"49";"Courbois, P.A.O.";"10";"0";"0";"0";"0";"0";"2";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"50";"Leijten, R.M.";"471";"15";"7";"7";"9";"9";"16";"48";"17";"59";"7";"3";"7";"13";"5";"11";"5";"36";"18";"6";"21";"8";"16";"15";"3";"8";"14";"7";"37";"14";"11";"19"
"7";"Forum voor Democratie";;;"15092";"617";"177";"155";"159";"549";"218";"1673";"766";"1429";"225";"67";"228";"776";"152";"428";"117";"1190";"463";"157";"684";"191";"433";"362";"341";"280";"415";"183";"1486";"423";"252";"496"
;;"1";"Baudet, T.H.P.";"10440";"414";"117";"111";"105";"391";"146";"1198";"537";"1002";"146";"35";"129";"553";"119";"274";"77";"879";"329";"109";"464";"136";"275";"236";"241";"209";"293";"118";"1036";"256";"162";"343"
;;"2";"Jansen, F.J.H.";"147";"7";"2";"1";"2";"4";"2";"15";"4";"12";"10";"1";"4";"18";"2";"3";"0";"11";"2";"1";"9";"2";"5";"3";"3";"3";"4";"2";"6";"4";"2";"3"
;;"3";"van Meijeren, G.F.C.";"3202";"145";"41";"31";"45";"122";"50";"318";"161";"265";"45";"25";"68";"155";"22";"97";"25";"213";"99";"35";"153";"35";"122";"84";"69";"49";"88";"54";"300";"114";"66";"106"
;;"4";"van Houwelingen, P.";"332";"17";"6";"2";"1";"6";"4";"38";"20";"26";"5";"3";"4";"12";"1";"12";"9";"29";"6";"4";"19";"5";"6";"18";"10";"9";"9";"4";"23";"8";"9";"7"
;;"5";"Dekker, R.J.";"261";"11";"3";"2";"1";"5";"10";"16";"16";"25";"6";"1";"9";"15";"4";"13";"1";"13";"9";"3";"17";"4";"9";"7";"4";"6";"4";"0";"21";"11";"7";"8"
;;"6";"de Vos, L.G.";"116";"7";"2";"1";"1";"3";"0";"10";"0";"11";"6";"0";"1";"4";"1";"6";"0";"14";"5";"1";"2";"3";"2";"5";"2";"1";"2";"0";"14";"4";"4";"4"
;;"7";"Russcher, T.K.";"13";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"0"
;;"8";"Etalle, M.J.S.";"8";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"9";"Bakir, A.";"13";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"2";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
;;"10";"Dessing, J.";"7";"3";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"11";"Vastenhouw, J.";"6";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"12";"Al Biyati, I.";"9";"0";"0";"0";"1";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
;;"13";"de Knegt, R.E.R.";"6";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"14";"Verstegen, P.J.T.";"23";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5";"3";"0";"2";"0";"6";"1";"0";"0";"0";"0";"0";"3";"0";"0"
;;"15";"van Schijndel, A.H.J.W.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"16";"Antolini, B.M.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Bos, M.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"18";"Koopman, P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"van Asch, R.W.G.T.";"6";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"20";"van den Boomgaard, M.R.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Jacobs, S.";"109";"8";"0";"0";"0";"6";"0";"49";"11";"2";"1";"0";"0";"0";"0";"3";"4";"0";"0";"2";"2";"1";"2";"0";"2";"0";"1";"1";"3";"0";"1";"10"
;;"22";"Nab, B.";"49";"0";"0";"2";"0";"0";"0";"1";"2";"26";"1";"0";"0";"0";"0";"4";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"3";"1";"6";"0";"0";"0"
;;"23";"Muurmans, W.A.A.O.";"12";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"2"
;;"24";"Heuvelmans, L.C.";"45";"1";"0";"0";"3";"1";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"14";"5";"0";"1";"0";"2";"3";"1";"1";"0";"0";"0";"7";"0";"1"
;;"25";"Seldenthuis-Jetten, N.P.M.";"103";"1";"1";"1";"0";"2";"1";"3";"7";"5";"1";"0";"1";"3";"0";"7";"0";"0";"0";"1";"0";"3";"0";"1";"1";"0";"3";"0";"53";"0";"0";"8"
;;"26";"Kooke, P.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"27";"de Lange, A.K.";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"28";"Hadderingh, B.S.T.";"4";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Wittebrood, J.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Bilgin, T.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"31";"Luurssen, G.A.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Minkels, J.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Heller, T.H.G.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Postuma, J.V.";"14";"1";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0"
;;"35";"Vos, A.V.B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Hartman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Panis, T.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Voort, J.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"Nijman, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Wijngaard, M.M.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"41";"van Rij, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"42";"van Run, E.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van de Breevaart, J.O.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Schaap, D.V.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"10";"0";"0";"0";"0";"1";"0";"2";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
;;"46";"Zwitser, T.";"14";"0";"0";"2";"0";"1";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"2";"0";"0"
;;"47";"van den Oetelaar, J.C.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"48";"Kerseboom, S.";"85";"1";"2";"0";"0";"3";"0";"5";"2";"30";"2";"0";"0";"5";"1";"3";"1";"1";"1";"0";"5";"1";"0";"0";"3";"0";"2";"1";"8";"4";"1";"3"
;;"49";"Cliteur, P.B.";"21";"0";"0";"0";"0";"1";"0";"0";"1";"6";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"2";"1";"0";"0";"0";"1";"0";"0";"1";"2";"0";"1"
"8";"Partij voor de Dieren";;;"11258";"362";"161";"109";"127";"253";"213";"939";"349";"1642";"178";"157";"120";"613";"86";"262";"114";"782";"329";"183";"414";"208";"382";"302";"246";"195";"289";"211";"1041";"289";"319";"383"
;;"1";"Ouwehand, E.";"7159";"227";"95";"75";"95";"141";"154";"537";"216";"989";"110";"122";"80";"402";"59";"143";"80";"553";"252";"118";"311";"123";"286";"199";"158";"128";"172";"139";"560";"207";"191";"237"
;;"2";"Kostić, I.";"361";"4";"3";"1";"6";"8";"8";"27";"11";"97";"6";"3";"4";"25";"0";"11";"2";"23";"8";"2";"7";"12";"16";"4";"9";"2";"5";"4";"35";"5";"6";"7"
;;"3";"Teunissen, C.";"216";"7";"3";"2";"5";"2";"10";"14";"7";"31";"2";"8";"3";"17";"0";"0";"1";"17";"7";"3";"8";"4";"13";"9";"2";"2";"4";"1";"22";"2";"4";"6"
;;"4";"Wassenberg, F.P.";"1295";"31";"31";"11";"5";"31";"4";"69";"34";"170";"33";"4";"11";"51";"4";"62";"18";"48";"15";"15";"32";"27";"13";"47";"30";"27";"56";"27";"272";"18";"43";"56"
;;"5";"Akerboom, E.S.";"200";"0";"2";"2";"2";"6";"2";"13";"4";"42";"3";"4";"2";"12";"3";"1";"0";"12";"11";"1";"10";"3";"10";"7";"9";"0";"1";"3";"18";"8";"6";"3"
;;"6";"van Raan, L.";"34";"2";"3";"0";"0";"1";"2";"2";"0";"4";"1";"0";"0";"2";"0";"0";"1";"2";"1";"0";"1";"1";"0";"2";"3";"0";"0";"0";"3";"3";"0";"0"
;;"7";"van Schaik, M.";"78";"2";"0";"1";"4";"1";"1";"4";"2";"21";"1";"2";"2";"7";"0";"3";"0";"4";"2";"0";"1";"2";"2";"4";"0";"2";"0";"0";"4";"3";"1";"2"
;;"8";"Krijger, A.L.";"209";"9";"3";"2";"1";"2";"5";"14";"1";"45";"2";"3";"2";"18";"1";"3";"0";"26";"8";"6";"7";"2";"6";"5";"5";"2";"3";"0";"13";"7";"4";"4"
;;"9";"Plusquin, P.S.M.L.";"1131";"65";"14";"7";"5";"49";"8";"204";"54";"134";"14";"1";"12";"45";"15";"25";"6";"47";"7";"34";"14";"25";"20";"19";"17";"23";"34";"35";"65";"24";"51";"58"
;;"10";"Groenewege, P.J.L.";"23";"0";"0";"0";"0";"0";"1";"9";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"2"
;;"11";"van Heuven, M.";"14";"4";"0";"0";"0";"2";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"12";"van Hassel, F.";"50";"0";"0";"1";"0";"0";"1";"7";"0";"24";"1";"0";"1";"1";"2";"0";"1";"0";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"3";"0";"3";"0"
;;"13";"Bunnik, R.J.";"28";"0";"2";"0";"0";"1";"0";"2";"1";"6";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"1";"0";"0";"2";"1";"1";"1";"0";"3";"1";"0";"1"
;;"14";"Schmeets, H.H.J.";"20";"1";"1";"0";"0";"1";"0";"2";"2";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"4";"0";"0";"1"
;;"15";"Pınar, K.";"26";"0";"0";"0";"0";"0";"0";"4";"1";"9";"0";"0";"0";"0";"0";"1";"0";"5";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0"
;;"16";"Jones, M.G.";"14";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"17";"Bosma, J.";"35";"0";"1";"0";"0";"0";"1";"2";"0";"7";"0";"1";"1";"5";"0";"2";"0";"6";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"3";"2";"0";"1"
;;"18";"Barker, R.N.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"19";"van Wijlandt, K.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Batteau, J.M.";"9";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
;;"21";"Hollebeek, J.P.";"6";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"22";"Dicke, I.M.";"11";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"1"
;;"23";"Salemans, B.R.";"30";"0";"0";"0";"3";"2";"2";"1";"0";"2";"0";"8";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"3";"1";"0";"0";"1";"0";"2";"0";"0";"0"
;;"24";"Bersch, F.";"7";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
;;"25";"de Gram, F.";"15";"0";"0";"0";"0";"1";"2";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0"
;;"26";"Krediet, L.";"18";"1";"0";"0";"0";"0";"1";"1";"0";"4";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
