"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"4";"Wassenberg, F.P.";"122";"5";"1";"22";"15";"3";"1";"3";"4";"1";"2";"3";"8";"2";"1";"5";"4";"7";"2";"3";"5";"12";"5";"8"
;;"5";"Akerboom, E.S.";"358";"5";"14";"64";"42";"10";"3";"5";"7";"5";"10";"33";"25";"5";"9";"12";"7";"22";"5";"17";"18";"22";"6";"12"
;;"6";"van Raan, L.";"68";"0";"1";"18";"6";"3";"1";"1";"1";"1";"1";"10";"5";"0";"0";"1";"3";"2";"1";"1";"4";"2";"1";"5"
;;"7";"van Schaik, M.";"235";"1";"6";"74";"24";"7";"1";"3";"3";"3";"7";"11";"22";"1";"2";"22";"9";"8";"3";"3";"7";"5";"5";"8"
;;"8";"Krijger, A.L.";"298";"10";"3";"88";"42";"5";"2";"1";"5";"2";"5";"18";"14";"5";"11";"14";"5";"14";"3";"6";"6";"19";"7";"13"
;;"9";"Plusquin, P.S.M.L.";"52";"0";"2";"13";"11";"5";"0";"0";"1";"0";"0";"3";"0";"1";"0";"3";"2";"2";"0";"1";"2";"4";"0";"2"
;;"10";"Groenewege, P.J.L.";"273";"4";"5";"2";"164";"2";"3";"8";"0";"11";"5";"0";"5";"4";"2";"2";"14";"2";"0";"4";"3";"21";"9";"3"
;;"11";"van Heuven, M.";"23";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"2";"1";"1";"1";"1";"1";"0";"1";"1";"4";"3";"0"
;;"12";"van Hassel, F.";"27";"2";"1";"5";"3";"4";"0";"0";"0";"2";"0";"0";"2";"1";"1";"1";"0";"2";"0";"0";"2";"1";"0";"0"
;;"13";"Bunnik, R.J.";"102";"0";"4";"23";"14";"6";"2";"1";"4";"1";"2";"2";"9";"1";"3";"2";"5";"4";"2";"1";"6";"3";"3";"4"
;;"14";"Schmeets, H.H.J.";"42";"0";"1";"4";"2";"1";"0";"0";"1";"1";"1";"10";"4";"0";"1";"3";"0";"7";"2";"2";"0";"1";"0";"1"
;;"15";"Pınar, K.";"48";"0";"2";"14";"9";"1";"0";"0";"1";"1";"0";"2";"3";"0";"0";"3";"3";"3";"0";"0";"4";"1";"0";"1"
;;"16";"Jones, M.G.";"44";"0";"1";"7";"5";"0";"0";"0";"1";"1";"1";"5";"10";"0";"2";"4";"1";"0";"0";"0";"4";"1";"0";"1"
;;"17";"Bosma, J.";"52";"0";"2";"11";"4";"1";"0";"0";"1";"1";"1";"4";"0";"5";"3";"1";"2";"0";"0";"3";"6";"3";"1";"3"
;;"18";"Barker, R.N.";"11";"1";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"1";"0";"0"
;;"19";"van Wijlandt, K.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2"
;;"20";"Batteau, J.M.";"17";"1";"1";"3";"2";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"1";"0"
;;"21";"Hollebeek, J.P.";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1"
;;"22";"Dicke, I.M.";"30";"0";"1";"5";"4";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"5";"1";"0";"5";"3";"0";"1"
;;"23";"Salemans, B.R.";"9";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
;;"24";"Bersch, F.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"25";"de Gram, F.";"10";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1"
;;"26";"Krediet, L.";"25";"0";"0";"2";"3";"1";"0";"0";"3";"0";"0";"1";"1";"1";"1";"1";"5";"2";"1";"1";"1";"1";"0";"0"
;;"27";"de Vos, D.J.C.";"40";"0";"1";"9";"7";"1";"1";"0";"0";"1";"1";"1";"2";"0";"0";"2";"2";"3";"2";"0";"1";"4";"1";"1"
;;"28";"van der Velde, M.C.";"18";"0";"1";"3";"1";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0";"2"
;;"29";"van Viegen, A.H.K.";"38";"0";"2";"11";"0";"1";"0";"1";"0";"0";"0";"4";"0";"2";"0";"1";"0";"4";"3";"0";"1";"5";"1";"2"
;;"30";"Gerritsen, L.";"18";"0";"2";"3";"3";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0"
;;"31";"Veenstra, M.";"14";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"2";"0";"1";"0";"2";"0";"0";"1";"2";"1";"1";"0"
;;"32";"Vlasveld, A.I.";"10";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"4";"0";"0"
;;"33";"Janssens, T.A.O.";"16";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"5";"0";"2";"0";"2"
;;"34";"Coşkun, Z.P.";"67";"1";"5";"8";"1";"0";"0";"0";"1";"2";"5";"3";"13";"1";"3";"5";"2";"0";"0";"1";"6";"7";"1";"2"
;;"35";"van der Pluijm, L.C.";"6";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Peeks, S.J.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0"
;;"37";"Pallandt, C.M.J.";"11";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"3"
;;"38";"Pechler, W.I.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"39";"van Lierop, J.";"3";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"Spruit, V.";"13";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0";"1";"0";"0";"2";"3";"0";"0"
;;"41";"Kuijer, B.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"42";"Markandu, G.";"22";"0";"0";"3";"3";"2";"0";"2";"0";"0";"0";"3";"2";"0";"0";"2";"0";"2";"0";"0";"1";"2";"0";"0"
;;"43";"Oudshoorn, J.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"44";"Hanoeman, R.R.";"19";"0";"0";"6";"3";"0";"0";"0";"0";"0";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1"
;;"45";"Samshuijzen, E.";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
;;"46";"Brouwer, M.";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
;;"47";"Onderdelinden, S.E.";"107";"1";"0";"69";"7";"0";"0";"0";"1";"0";"1";"6";"6";"0";"0";"2";"1";"6";"3";"1";"2";"0";"1";"0"
;;"48";"Rozema, J.G.";"45";"1";"3";"3";"0";"1";"0";"0";"1";"0";"2";"0";"6";"1";"2";"4";"0";"1";"0";"1";"7";"6";"1";"5"
;;"49";"van de Peppel, S.";"83";"0";"1";"4";"2";"1";"0";"0";"1";"0";"4";"0";"7";"0";"8";"4";"1";"2";"0";"7";"26";"5";"0";"10"
;;"50";"Minnaert, X.D.E.";"53";"0";"1";"9";"3";"4";"0";"2";"2";"0";"2";"4";"6";"1";"4";"5";"0";"1";"0";"1";"5";"0";"1";"2"
"9";"ChristenUnie";;;"22318";"697";"619";"1198";"2208";"775";"1285";"798";"469";"839";"1114";"387";"377";"1182";"227";"716";"980";"1166";"323";"1734";"626";"1720";"2504";"374"
;;"1";"Bikker, M.H.";"17770";"597";"516";"633";"1739";"633";"1113";"655";"381";"703";"910";"248";"273";"970";"164";"489";"795";"962";"234";"1313";"479";"1480";"2175";"308"
;;"2";"Grinwis, P.A.";"776";"15";"12";"32";"50";"22";"26";"23";"9";"15";"36";"19";"7";"41";"7";"13";"19";"35";"7";"269";"19";"49";"37";"14"
;;"3";"Ceder, D.G.M.";"768";"21";"30";"61";"125";"26";"24";"25";"13";"22";"49";"36";"28";"22";"20";"27";"42";"30";"18";"26";"31";"37";"42";"13"
;;"4";"te Rietstap, A.H.";"56";"0";"2";"8";"7";"1";"4";"1";"6";"0";"2";"0";"1";"1";"0";"1";"3";"4";"0";"5";"1";"4";"3";"2"
;;"5";"Gooijer-Medema, J.K.";"949";"13";"16";"358";"62";"27";"19";"26";"14";"27";"35";"37";"19";"18";"7";"16";"24";"45";"43";"25";"16";"36";"46";"20"
;;"6";"Drost, N.";"247";"9";"4";"5";"28";"10";"14";"13";"4";"16";"18";"5";"3";"14";"5";"6";"11";"14";"3";"22";"2";"10";"28";"3"
;;"7";"Holtman, T.S.";"28";"2";"2";"0";"3";"0";"2";"0";"1";"1";"0";"0";"1";"0";"1";"0";"5";"2";"0";"2";"1";"4";"1";"0"
;;"8";"Otter-van den Bosch, C.";"76";"4";"1";"7";"10";"5";"1";"1";"1";"3";"4";"1";"0";"3";"1";"10";"5";"1";"0";"3";"3";"4";"6";"2"
;;"9";"van der Graaf, S.J.F.";"373";"7";"10";"34";"45";"9";"17";"20";"6";"22";"24";"12";"3";"17";"0";"11";"24";"13";"3";"14";"12";"16";"50";"4"
;;"10";"Klein, M.C.A.";"20";"0";"1";"5";"2";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"3";"0";"0"
;;"11";"Niesink, C.C.M.";"29";"2";"0";"2";"4";"1";"0";"3";"0";"2";"0";"2";"1";"1";"1";"3";"2";"0";"0";"2";"0";"2";"0";"1"
;;"12";"Setz, J.N.";"18";"0";"0";"3";"4";"1";"1";"0";"1";"0";"1";"0";"0";"2";"0";"0";"1";"2";"1";"0";"0";"0";"1";"0"
;;"13";"van der Krift, H.J.C.";"32";"2";"1";"2";"5";"1";"2";"0";"2";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"2";"0";"7";"0"
;;"14";"Langen, A.L.";"15";"1";"0";"0";"4";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"2";"1";"0";"0";"0";"0";"0"
;;"15";"Koppejan, E.J.A.";"14";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"4";"1";"2";"0";"0"
;;"16";"van Wageningen, E.";"13";"0";"3";"1";"2";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0"
;;"17";"Tijhof, B.D.";"13";"0";"0";"2";"1";"0";"3";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0"
;;"18";"de Reus, W.T.";"158";"1";"2";"0";"3";"0";"0";"0";"16";"0";"0";"0";"14";"0";"2";"100";"0";"7";"2";"2";"1";"8";"0";"0"
;;"19";"Mbwete, N.A.G.";"112";"4";"2";"14";"11";"0";"1";"4";"3";"0";"5";"7";"2";"3";"5";"11";"8";"5";"1";"1";"22";"0";"2";"1"
;;"20";"Treurniet, M.";"18";"3";"0";"1";"4";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"2";"0";"1"
;;"21";"Palland, A.S.";"5";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"22";"Westerbeek, A.E.";"31";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"1";"9";"0";"1";"3";"1";"4";"0"
;;"23";"Muilwijk, I.";"79";"1";"0";"0";"1";"9";"7";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"57";"0"
;;"24";"Westerink-Petersen, J.";"24";"0";"1";"3";"1";"1";"2";"0";"0";"0";"2";"0";"0";"3";"0";"1";"0";"0";"0";"3";"1";"2";"4";"0"
;;"25";"Dijkstra-Verbeek, I.A.W.";"10";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"3";"1";"0";"0";"1";"0";"0";"0"
;;"26";"van den Berg, G.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"9";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"3";"0";"0"
;;"28";"de Haan, M.E.";"22";"0";"0";"2";"4";"1";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"4";"2";"1"
;;"29";"Koerts, A.J.";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"30";"Roor-Wubs, A.E.";"12";"0";"1";"0";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0"
;;"31";"Verweij, J.P.";"124";"3";"0";"1";"15";"6";"9";"3";"0";"5";"2";"0";"0";"57";"0";"0";"5";"1";"0";"1";"0";"7";"9";"0"
;;"32";"Paalman-Dijkenga, I.M.";"7";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"33";"Kumar, A.D.J.M.";"7";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0"
;;"34";"Kerklaan-van der Beek, E.M.";"9";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"35";"Visser, J.A.";"11";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"0";"2";"1";"1";"0";"0";"1";"0";"1";"0"
;;"36";"van der Pol, L.A.";"6";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
;;"37";"Oudman, A.G.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van der Zande, J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"39";"Grandia, G.C.";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"40";"van Oordt-Jonckheere, S.";"17";"0";"0";"2";"4";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"1";"0";"3";"1";"0"
;;"41";"Cornelissen, B.";"7";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0"
;;"42";"Nede, N.N.";"10";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"2";"0";"0"
;;"43";"Schutte, J.W.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Dijk, G.G.";"61";"2";"1";"0";"6";"1";"0";"2";"1";"0";"6";"0";"8";"0";"2";"4";"2";"1";"0";"4";"12";"7";"1";"1"
;;"45";"Adema, P.";"6";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
;;"46";"Bosman, F.G.";"4";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
;;"47";"Hoogenboom, E.";"33";"0";"2";"0";"4";"1";"2";"2";"0";"1";"0";"1";"3";"3";"1";"1";"3";"1";"0";"3";"1";"1";"3";"0"
;;"48";"Stoorvogel, H.";"128";"5";"3";"2";"22";"5";"10";"2";"2";"5";"3";"1";"1";"5";"3";"1";"10";"9";"1";"13";"2";"14";"8";"1"
;;"49";"van den Berg, R.C.";"20";"1";"0";"2";"0";"0";"2";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"2";"2";"1";"1";"1";"1";"1"
;;"50";"de Graaf, B.A.";"170";"3";"6";"7";"18";"10";"21";"9";"4";"7";"5";"6";"2";"8";"4";"11";"7";"7";"4";"7";"6";"10";"7";"1"
"10";"Volt";;;"9637";"70";"311";"3024";"865";"314";"57";"151";"201";"123";"173";"564";"570";"85";"197";"416";"183";"591";"185";"162";"325";"486";"172";"412"
;;"1";"Dassen, L.A.J.M.";"5396";"44";"185";"1417";"517";"193";"31";"90";"119";"72";"104";"328";"295";"49";"111";"256";"129";"368";"107";"107";"196";"307";"118";"253"
;;"2";"Koekkoek, M.";"1953";"14";"58";"605";"185";"73";"14";"37";"50";"26";"29";"106";"117";"23";"33";"81";"26";"121";"44";"31";"65";"99";"32";"84"
;;"3";"Boutkan, E.";"115";"2";"1";"53";"6";"0";"2";"3";"0";"2";"3";"10";"5";"1";"0";"2";"1";"6";"0";"2";"5";"5";"1";"5"
;;"4";"Elfilali, I.";"766";"6";"34";"252";"70";"18";"2";"7";"13";"7";"23";"36";"71";"2";"24";"37";"13";"22";"7";"8";"31";"37";"9";"37"
;;"5";"Hagoort, M.B.J.";"48";"0";"0";"16";"0";"2";"0";"1";"1";"2";"0";"6";"5";"0";"1";"2";"0";"3";"0";"1";"2";"4";"2";"0"
;;"6";"Frijters, R.M.J.";"258";"3";"5";"108";"26";"6";"1";"4";"3";"7";"5";"14";"10";"0";"9";"10";"3";"17";"4";"5";"3";"4";"1";"10"
;;"7";"de Boer, R.W.";"35";"0";"2";"17";"3";"1";"0";"1";"0";"0";"1";"3";"1";"0";"2";"0";"0";"4";"0";"0";"0";"0";"0";"0"
;;"8";"van der Lugt, S.";"209";"0";"7";"81";"15";"7";"1";"3";"3";"1";"3";"15";"21";"2";"1";"6";"4";"8";"10";"1";"4";"11";"5";"0"
;;"9";"Beijnon, B.";"36";"0";"0";"20";"3";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"1";"1";"1";"1";"1";"1";"0"
;;"10";"Twickler, R.";"169";"0";"2";"95";"12";"5";"0";"1";"1";"2";"0";"6";"10";"0";"5";"2";"2";"5";"1";"0";"6";"5";"1";"8"
;;"11";"Ercan, C.";"18";"0";"1";"8";"1";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1"
;;"12";"Hamel, J.E.R.";"44";"0";"0";"13";"6";"5";"1";"1";"1";"0";"0";"4";"2";"2";"2";"1";"0";"3";"0";"0";"0";"1";"2";"0"
;;"13";"van Ewijk, W.H.E.";"10";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"14";"van Laar, S.A.";"107";"0";"5";"53";"3";"0";"1";"1";"1";"2";"1";"15";"4";"0";"0";"4";"2";"11";"0";"1";"1";"1";"0";"1"
;;"15";"Tai, M.T.";"41";"0";"4";"5";"3";"0";"1";"1";"1";"1";"0";"1";"6";"2";"3";"1";"1";"0";"0";"1";"4";"4";"0";"2"
;;"16";"Pajak, V.L.";"36";"0";"1";"20";"5";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"2"
;;"17";"Eigenhuis, F.";"12";"0";"0";"6";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1"
;;"18";"Verbeek, E.L.I.";"25";"1";"2";"10";"1";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"2"
;;"19";"Hemmes, B.J.A.";"23";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1";"6";"0";"0";"3";"0";"4";"1";"0";"2";"1";"0";"0"
;;"20";"Elsinga, D.";"302";"0";"2";"222";"7";"2";"1";"1";"4";"0";"1";"15";"7";"1";"6";"4";"0";"9";"9";"2";"2";"3";"0";"4"
;;"21";"Dreteler, S.J.";"34";"0";"2";"10";"2";"0";"0";"0";"3";"1";"1";"2";"1";"0";"0";"2";"0";"6";"0";"0";"0";"2";"0";"2"
"11";"JA21";;;"6434";"82";"285";"362";"437";"193";"89";"161";"177";"151";"251";"223";"256";"136";"191";"299";"232";"699";"119";"270";"445";"672";"233";"471"
;;"1";"Eerdmans, B.J.";"5223";"71";"252";"271";"337";"162";"70";"132";"153";"128";"207";"161";"205";"120";"158";"218";"189";"550";"97";"231";"356";"547";"203";"405"
;;"2";"Nanninga, A.";"706";"9";"17";"60";"67";"23";"10";"14";"11";"19";"27";"34";"21";"11";"24";"37";"28";"97";"14";"22";"46";"61";"13";"41"
;;"3";"Ceulemans, S.";"50";"1";"2";"1";"3";"0";"1";"1";"0";"1";"2";"2";"3";"2";"0";"4";"2";"8";"0";"4";"6";"6";"0";"1"
;;"4";"Bakker-Derks, E.H.M.";"59";"0";"1";"4";"3";"1";"0";"1";"3";"1";"4";"6";"5";"1";"2";"3";"1";"6";"1";"2";"4";"8";"0";"2"
;;"5";"van Doorn, D.M.A.";"18";"0";"5";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"6";"0";"0";"1";"0";"0";"0"
;;"6";"Goudzwaard, M.";"18";"1";"1";"2";"1";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"2";"0";"0";"1";"0";"2";"2";"1";"0"
;;"7";"Schyns, P.F.M.";"11";"0";"0";"2";"1";"0";"1";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1"
;;"8";"Uiterwijk, K.";"26";"0";"1";"2";"1";"2";"1";"1";"0";"0";"1";"0";"1";"0";"0";"2";"0";"4";"0";"1";"2";"3";"1";"3"
;;"9";"Dijksterhuis, R.G.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"1";"0"
;;"10";"van den Berg, D.J.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1"
;;"11";"Omlo, H.";"10";"0";"0";"0";"1";"1";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"12";"Hesselink, S.W.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Nuijten, K.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"58";"0";"0";"2";"3";"1";"1";"0";"0";"1";"1";"1";"0";"1";"3";"1";"2";"3";"1";"4";"4";"26";"0";"3"
;;"15";"Soltani, M.";"20";"0";"0";"6";"1";"0";"3";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2";"0"
;;"16";"Baten, L.C.C.";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2"
;;"17";"Kövi, J.J.H.M.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"11";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"1";"2";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0"
;;"19";"van Vugt, T.";"47";"0";"1";"3";"2";"0";"0";"0";"3";"0";"1";"0";"1";"0";"1";"23";"0";"4";"3";"1";"3";"1";"0";"0"
;;"20";"Wanders, A.M.J.M.";"34";"0";"1";"0";"3";"0";"0";"1";"0";"0";"2";"1";"4";"0";"0";"2";"3";"3";"0";"0";"7";"3";"2";"2"
;;"21";"Lodders, I.A.G.";"22";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"3";"1";"1";"3";"1";"2";"2";"3"
;;"22";"Vos, L.L.";"10";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0"
;;"23";"Kauffmann, F.W.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"24";"de Rijke, W.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"25";"Hogendoorn, G.A.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"15";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"3";"1";"2"
;;"27";"Bloemenkamp, J.H.";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"28";"Waitz, J.W.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"10";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"1";"0"
