"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"63";"van der Klauw, R.A.";"24";"0";"0";"3";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"1";"5";"1"
;;"64";"Rahmani, A.";"16";"0";"3";"1";"1";"2";"0";"0";"0";"0";"0";"0";"3";"0";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"65";"Bouma, R.A.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"66";"van Berlo, J.T.M.";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"67";"Talens, A.E.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"68";"Bruin, R.N.";"7";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"12";"0";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"1";"0";"0"
;;"70";"Gadella, J.A.N.";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"71";"Vermeulen, D.";"9";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"8";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"1";"0";"0";"0"
;;"74";"Rodoe, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"76";"de Wolff, I.";"12";"0";"1";"2";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0"
;;"77";"de Boer, Y.";"11";"0";"2";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0"
;;"78";"Yildirim, M.";"19";"0";"0";"0";"3";"2";"0";"0";"0";"0";"1";"4";"1";"0";"0";"2";"0";"3";"0";"0";"1";"1";"0";"1"
;;"79";"Mulder, H.";"43";"0";"5";"1";"4";"2";"1";"4";"1";"0";"3";"1";"0";"0";"0";"2";"1";"5";"0";"1";"2";"2";"3";"5"
;;"80";"van der Weijden, M.";"285";"3";"15";"24";"19";"8";"3";"15";"5";"17";"9";"10";"6";"3";"8";"11";"15";"20";"4";"15";"14";"21";"17";"23"
"2";"D66";;;"36879";"392";"1557";"6138";"3682";"1331";"185";"811";"984";"811";"925";"2402";"1882";"423";"861";"1857";"1008";"2943";"984";"884";"1587";"2437";"748";"2047"
;;"1";"Jetten, R.A.A.";"25203";"292";"1085";"3638";"2575";"957";"133";"582";"705";"603";"673";"1535";"1242";"304";"588";"1298";"730";"1997";"648";"658";"1104";"1777";"551";"1528"
;;"2";"Paternotte, J.M.";"1131";"8";"50";"202";"100";"45";"7";"33";"25";"27";"21";"71";"60";"11";"24";"43";"30";"89";"43";"27";"55";"91";"15";"54"
;;"3";"Vijlbrief, J.A.";"464";"7";"23";"83";"54";"10";"1";"8";"9";"9";"7";"36";"18";"3";"5";"41";"4";"36";"7";"11";"20";"36";"11";"25"
;;"4";"Podt, A.";"3809";"36";"175";"697";"403";"144";"19";"84";"84";"80";"93";"201";"193";"53";"95";"187";"93";"314";"122";"83";"154";"229";"88";"182"
;;"5";"Sneller, J.C.";"175";"2";"2";"38";"16";"3";"0";"4";"3";"0";"6";"19";"5";"0";"5";"9";"6";"28";"4";"0";"6";"13";"2";"4"
;;"6";"Rooderkerk, I.";"535";"5";"20";"126";"46";"21";"3";"11";"18";"16";"12";"43";"21";"5";"15";"19";"15";"50";"11";"9";"17";"27";"9";"16"
;;"7";"Paulusma, W.";"289";"2";"10";"54";"39";"15";"2";"1";"5";"3";"6";"21";"21";"4";"4";"10";"5";"28";"9";"4";"14";"13";"4";"15"
;;"8";"van der Werf, J.J.";"752";"3";"22";"189";"58";"18";"0";"12";"11";"5";"7";"128";"26";"6";"19";"33";"10";"97";"23";"9";"22";"22";"5";"27"
;;"9";"Bamenga, P.";"110";"0";"4";"35";"11";"4";"0";"2";"1";"1";"1";"4";"6";"0";"2";"7";"3";"7";"2";"1";"9";"4";"1";"5"
;;"10";"de Groot, T.C.";"205";"0";"6";"54";"22";"10";"0";"2";"2";"6";"3";"16";"9";"3";"3";"6";"2";"16";"8";"5";"6";"8";"11";"7"
;;"11";"Synhaeve, M.";"507";"3";"17";"162";"53";"11";"0";"12";"22";"7";"6";"36";"19";"6";"11";"19";"17";"43";"9";"4";"8";"24";"7";"11"
;;"12";"van Ginneken, L.M.";"627";"13";"21";"217";"59";"21";"5";"11";"12";"4";"7";"47";"28";"7";"6";"31";"12";"40";"18";"9";"15";"22";"6";"16"
;;"13";"Belhaj, S.";"685";"6";"44";"84";"52";"15";"2";"15";"22";"14";"26";"25";"85";"1";"34";"50";"18";"25";"15";"13";"48";"45";"4";"42"
;;"14";"Boulakjar, F.";"39";"0";"1";"14";"5";"1";"0";"1";"1";"2";"0";"0";"2";"0";"1";"0";"1";"2";"1";"1";"2";"1";"2";"1"
;;"15";"Sahla, F.";"93";"0";"2";"23";"1";"0";"0";"1";"3";"3";"3";"15";"7";"1";"2";"9";"2";"10";"0";"1";"3";"1";"2";"4"
;;"16";"Klos, F.C.O.";"222";"0";"1";"157";"3";"0";"0";"0";"1";"0";"0";"11";"5";"1";"0";"4";"0";"12";"19";"1";"3";"1";"0";"3"
;;"17";"Kat, H.";"103";"1";"4";"15";"15";"1";"0";"2";"3";"2";"2";"7";"4";"2";"0";"8";"3";"16";"1";"4";"4";"4";"2";"3"
;;"18";"Warmerdam, S.";"35";"2";"1";"5";"3";"2";"0";"0";"0";"0";"0";"3";"6";"2";"1";"3";"1";"2";"2";"0";"1";"0";"1";"0"
;;"19";"Alberg, S.T.";"48";"0";"2";"12";"5";"3";"1";"0";"2";"1";"0";"3";"5";"0";"0";"1";"1";"4";"0";"0";"3";"3";"1";"1"
;;"20";"Hammelburg, A.R.";"12";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"2"
;;"21";"Hollander, J.";"60";"0";"2";"20";"7";"1";"0";"2";"3";"0";"1";"3";"6";"1";"0";"2";"1";"3";"2";"0";"5";"1";"0";"0"
